escenario,afp,grupo_cobertura,periodos,peso_exterior_mediano,peso_exterior_p90,peso_total_fondo_mediano,peso_exterior_mediano_pct,peso_total_fondo_mediano_pct
ampliado_15pct,Habitat,mapeo_alta_confianza,133,0.3099275520801642,0.4972361862938276,0.1561769273506998,30.99275520801642,15.61769273506998
ampliado_15pct,Habitat,mapeo_baja_confianza,102,0.014411701558786051,0.0724272526250956,0.00811099564446945,1.4411701558786052,0.811099564446945
ampliado_15pct,Habitat,mapeo_confianza_media,133,0.25554625810091175,0.3337203833522542,0.14482622017547908,25.554625810091174,14.482622017547907
ampliado_15pct,Habitat,privados_alternativos,92,0.23449935034737668,0.3521207111110063,0.12776948333017954,23.449935034737667,12.776948333017954
ampliado_15pct,Habitat,residual_no_mapeado,133,0.28505531065377354,0.4150980118827194,0.15385807540779695,28.505531065377355,15.385807540779695
ampliado_15pct,Integra,mapeo_alta_confianza,110,0.3676354961038014,0.48266903257278787,0.21761776037948333,36.76354961038014,21.761776037948334
ampliado_15pct,Integra,mapeo_baja_confianza,77,0.0091732138728321,0.020933689391385735,0.0056174540196415,0.91732138728321,0.56174540196415
ampliado_15pct,Integra,mapeo_confianza_media,110,0.21830438194413399,0.31603244179077566,0.12031728442383618,21.8304381944134,12.031728442383619
ampliado_15pct,Integra,privados_alternativos,110,0.15394880643818531,0.39724762068613195,0.08592502054222831,15.394880643818531,8.59250205422283
ampliado_15pct,Integra,residual_no_mapeado,110,0.2490819993870098,0.3319970335834235,0.14808627342973085,24.90819993870098,14.808627342973086
ampliado_15pct,Prima,mapeo_alta_confianza,128,0.24953107861627202,0.6045834502482139,0.13530635792284512,24.953107861627203,13.530635792284512
ampliado_15pct,Prima,mapeo_baja_confianza,74,0.02845756195215245,0.07647491574924581,0.017137598903048848,2.845756195215245,1.7137598903048847
ampliado_15pct,Prima,mapeo_confianza_media,128,0.1979766192209845,0.3336075642403877,0.10332393275016206,19.79766192209845,10.332393275016207
ampliado_15pct,Prima,privados_alternativos,128,0.14360979340177182,0.5044020459362508,0.08144412351746266,14.360979340177183,8.144412351746267
ampliado_15pct,Prima,residual_no_mapeado,128,0.34277908284614367,0.4410271993849456,0.19965295031511127,34.27790828461437,19.965295031511126
ampliado_15pct,Profuturo,mapeo_alta_confianza,118,0.39050913819404615,0.5794456616572592,0.24193372513688555,39.05091381940461,24.193372513688555
ampliado_15pct,Profuturo,mapeo_baja_confianza,40,0.01545317802923445,0.1062119791485415,0.00855518302211875,1.545317802923445,0.8555183022118751
