periodo,afp,identificador_final,valor_redondeado,ocurrencias,monto_una_ocurrencia,filas_excel,estados,monto_duplicado_excedente
2020-08,Integra,Skandinaviska E,8174.560158,2,8174.56015838,602 | 603,entidad_sin_isin_pendiente,8174.56015838
2020-08,Prima,JP Morgan Bank,26489.354887,2,26489.35488738,608 | 609,entidad_sin_isin_pendiente,26489.35488738
2020-09,Integra,Skandinaviska E,2381.505722,2,2381.50572166,607 | 608,entidad_sin_isin_pendiente,2381.50572166
2020-09,Prima,CITIBANK N.A.,14706.996062,2,14706.9960622,609 | 610,entidad_sin_isin_pendiente,14706.9960622
2020-10,Integra,Sumitomo Mitsui,1789.07356,2,1789.07356023,609 | 610,entidad_sin_isin_pendiente,1789.07356023
2020-10,Prima,A NZ Bank Group,22393.70629,2,22393.706290494,603 | 604,entidad_sin_isin_pendiente,22393.706290494
2020-11,Prima,A NZ Bank Group,30766.260478,2,30766.26047838,598 | 599,entidad_sin_isin_pendiente,30766.26047838
2020-12,Prima,A NZ Bank Group,29076.824158,2,29076.82415802,609 | 610,entidad_sin_isin_pendiente,29076.82415802
2021-01,Integra,Sumitomo Mitsui,2712.14715,2,2712.1471503971,626 | 627,entidad_sin_isin_pendiente,2712.1471503971
2021-01,Prima,A NZ Bank Group,38535.25998,2,38535.25997952,620 | 621,entidad_sin_isin_pendiente,38535.25997952
2021-02,Integra,NovaScotia,11734.437623,2,11734.43762304,638 | 639,entidad_sin_isin_pendiente,11734.43762304
2021-02,Prima,CITIBANK N.A.,13060.660508,2,13060.66050816,636 | 637,entidad_sin_isin_pendiente,13060.66050816
2021-03,Integra,CITIBANK N.A.,10250.466469,2,10250.466469368,630 | 631,entidad_sin_isin_pendiente,10250.466469368
2021-03,Prima,A NZ Bank Group,28682.917446,2,28682.917445892,628 | 629,entidad_sin_isin_pendiente,28682.917445892
2021-04,Integra,Skandinaviska E,12540.314556,2,12540.314555955,623 | 624,entidad_sin_isin_pendiente,12540.314555955
2021-04,Prima,JP Morgan Bank,72765.488565,2,72765.48856521,627 | 628,entidad_sin_isin_pendiente,72765.48856521
2021-05,Integra,Sumitomo Mitsui,8108.661023,2,8108.6610226659,626 | 627,entidad_sin_isin_pendiente,8108.6610226659
2021-05,Prima,NovaScotia,9378.943501,2,9378.9435007418,624 | 625,entidad_sin_isin_pendiente,9378.9435007418
2021-06,Integra,Skandinaviska E,48378.664433,2,48378.664432644,615 | 616,entidad_sin_isin_pendiente,48378.664432644
2021-06,Prima,JP Morgan Bank,37974.465022,2,37974.465021941,617 | 618,entidad_sin_isin_pendiente,37974.465021941
2021-07,Integra,DBS Bank,896.434194,2,896.434193928,606 | 607,entidad_sin_isin_pendiente,896.434193928
2021-07,Prima,A NZ Bank Group,22967.636133,2,22967.636132805,604 | 605,entidad_sin_isin_pendiente,22967.636132805
2021-08,Integra,JP Morgan Bank,5849.870383,2,5849.870383125,600 | 601,entidad_sin_isin_pendiente,5849.870383125
2021-08,Prima,A NZ Bank Group,15466.102119,2,15466.102118625,596 | 597,entidad_sin_isin_pendiente,15466.102118625
2021-09,Integra,A NZ Bank Group,14747.194364,2,14747.194364388,623 | 624,entidad_sin_isin_pendiente,14747.194364388
2021-09,Prima,JP Morgan Bank,32730.490638,2,32730.49063785,627 | 628,entidad_sin_isin_pendiente,32730.49063785
2021-10,Integra,JP Morgan Bank,15901.94086,2,15901.940860035,631 | 632,entidad_sin_isin_pendiente,15901.940860035
2021-10,Prima,A NZ Bank Group,8465.464498,2,8465.46449763,625 | 626,entidad_sin_isin_pendiente,8465.46449763
2021-10,Prima,NovaScotia,16111.770289,2,16111.770288755,633 | 634,entidad_sin_isin_pendiente,16111.770288755
2021-11,Integra,Sumitomo Mitsui,13671.54132,2,13671.54132014,644 | 645,entidad_sin_isin_pendiente,13671.54132014
2021-11,Prima,A NZ Bank Group,21753.317832,2,21753.31783229,638 | 639,entidad_sin_isin_pendiente,21753.31783229
2021-12,Integra,A NZ Bank Group,20242.429892,2,20242.429891544,644 | 645,entidad_sin_isin_pendiente,20242.429891544
2021-12,Prima,NovaScotia,11889.051161,2,11889.051161498,648 | 649,entidad_sin_isin_pendiente,11889.051161498
2022-01,Integra,NovaScotia,795.81615,2,795.816150048,646 | 647,entidad_sin_isin_pendiente,795.816150048
2022-01,Prima,JP Morgan Bank,3189.399716,2,3189.399716076,644 | 645,entidad_sin_isin_pendiente,3189.399716076
2022-02,Integra,A NZ Bank Group,1026.540093,2,1026.54009271,658 | 659,entidad_sin_isin_pendiente,1026.54009271
2022-02,Prima,CITIBANK N.A.,15652.300961,2,15652.30096072,660 | 661,entidad_sin_isin_pendiente,15652.30096072
2022-03,Integra,Skandinaviska E,20468.382751,2,20468.382750895,663 | 664,entidad_sin_isin_pendiente,20468.382750895
2022-03,Prima,A NZ Bank Group,22598.599747,2,22598.59974716,661 | 662,entidad_sin_isin_pendiente,22598.59974716
2022-04,Integra,NovaScotia,142942.927597,2,142942.927596623,664 | 665,entidad_sin_isin_pendiente,142942.927596623
2022-04,Prima,CITIBANK N.A.,19093.059437,2,19093.059437287,660 | 661,entidad_sin_isin_pendiente,19093.059437287
2022-05,Integra,Skandinaviska E,2136.83024,2,2136.8302402744,660 | 661,entidad_sin_isin_pendiente,2136.8302402744
2022-05,Integra,Sumitomo Mitsui,72360.639059,2,72360.639059002,668 | 669,entidad_sin_isin_pendiente,72360.639059002
2022-05,Prima,A NZ Bank Group,42791.152704,2,42791.152703977,658 | 659,entidad_sin_isin_pendiente,42791.152703977
2022-06,Integra,A NZ Bank Group,49511.387224,2,49511.387224,659 | 660,entidad_sin_isin_pendiente,49511.387224
2022-06,Integra,JP Morgan Bank,13453.128819,2,13453.12881888,663 | 664,entidad_sin_isin_pendiente,13453.12881888
2022-06,Prima,A NZ Bank Group,44818.92107,2,44818.9210696,659 | 660,entidad_sin_isin_pendiente,44818.9210696
2022-07,Integra,A NZ Bank Group,9315.744415,2,9315.744414765,638 | 639,entidad_sin_isin_pendiente,9315.744414765
2022-07,Prima,CITIBANK N.A.,4180.224225,2,4180.224225465,640 | 641,entidad_sin_isin_pendiente,4180.224225465
2022-08,Integra,A NZ Bank Group,23878.508331,2,23878.508330556,646 | 647,entidad_sin_isin_pendiente,23878.508330556
2022-08,Prima,JP Morgan Bank,16712.567529,2,16712.567529228,652 | 653,entidad_sin_isin_pendiente,16712.567529228
2022-09,Integra,DBS Bank,35524.380547,2,35524.380546650995,637 | 638,entidad_sin_isin_pendiente,35524.380546650995
2022-09,Prima,CITIBANK N.A.,7690.47066,2,7690.470660156,639 | 640,entidad_sin_isin_pendiente,7690.470660156
2022-10,Integra,JP Morgan Bank,16646.670181,2,16646.67018053,638 | 639,entidad_sin_isin_pendiente,16646.67018053
