fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,motivo,fuente,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,39,Prima,3,10.301782,miles_soles,3.419733077815045e-06,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,3344285.975979006,0.0003080413001159,pendiente_sin_categoria,,3033496.843050938,0.000339600880864573,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,55,Prima,3,2401.7999216800004,miles_soles,0.0007972906666499,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,3344285.975979006,0.0718180185226802,pendiente_sin_categoria,,3033496.843050938,0.07917594927392083,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,98,Prima,3,38731.1593128834,miles_soles,0.0128570209158368,CEMENTOS PACASMAYO S.A.A.,,sin_categoria_adyacente,,3344285.975979006,1.158129406129667,pendiente_sin_categoria,,3033496.843050938,1.2767825818447054,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,101,Prima,3,205921.31527872,miles_soles,0.0683567108375831,CIA MINERA BUENAVENTURA,,sin_categoria_adyacente,,3344285.975979006,6.157407493192582,pendiente_sin_categoria,,3033496.843050938,6.788248873587577,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,116,Prima,3,0.3839231808,miles_soles,1.2744540708798984e-07,Fossal S.A.A.,,sin_categoria_adyacente,,3344285.975979006,1.1479974606167176e-05,pendiente_sin_categoria,,3033496.843050938,1.2656125938600596e-05,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,210,Prima,3,6762.76502,miles_soles,0.002244936966865,Macrocapitales SAFI S.A.,,sin_categoria_adyacente,,3344285.975979006,0.2022185025017266,pendiente_sin_categoria,,3033496.843050938,0.222936280137953,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,213,Prima,3,32439.27558152,miles_soles,0.0107683955772391,SIGMA SAFI SA,,sin_categoria_adyacente,,3344285.975979006,0.9699910777523664,pendiente_sin_categoria,,3033496.843050938,1.0693690239312796,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,17,Profuturo,3,777.5371170770999,miles_soles,0.0002184956695062,BANCO CONTINENTAL,,sin_categoria_adyacente,,4454524.3766899705,0.0174549974660788,pendiente_sin_categoria,,3652176.098114818,0.02128969403962885,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,22,Profuturo,3,201.52309448,miles_soles,5.6629995510565336e-05,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,4454524.3766899705,0.004524009241807,pendiente_sin_categoria,,3652176.098114818,0.005517890952301623,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,35,Profuturo,3,131.70636000000002,miles_soles,3.701079816563217e-05,BANCO INTERAMERICANO DE FINANZAS,,sin_categoria_adyacente,,4454524.3766899705,0.0029566873781004,pendiente_sin_categoria,,3652176.098114818,0.003606243413837144,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,39,Profuturo,3,32550.91595008,miles_soles,0.0091471313939195,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,4454524.3766899705,0.7307383055397635,pendiente_sin_categoria,,3652176.098114818,0.891274546341896,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,55,Profuturo,3,26908.50793384,miles_soles,0.0075615585768042,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,4454524.3766899705,0.6040714037765563,pendiente_sin_categoria,,3652176.098114818,0.7367801335683032,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,98,Profuturo,3,18556.3312409808,miles_soles,0.0052145137885107,CEMENTOS PACASMAYO S.A.A.,,sin_categoria_adyacente,,4454524.3766899705,0.4165726724514969,pendiente_sin_categoria,,3652176.098114818,0.5080897180877783,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,101,Profuturo,3,60215.75313408,miles_soles,0.016921226018523,CIA MINERA BUENAVENTURA,,sin_categoria_adyacente,,4454524.3766899705,1.3517886095580107,pendiente_sin_categoria,,3652176.098114818,1.648763682703093,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,116,Profuturo,3,2.2220204123,miles_soles,6.244098538563367e-07,Fossal S.A.A.,,sin_categoria_adyacente,,4454524.3766899705,4.9882326919739965e-05,pendiente_sin_categoria,,3652176.098114818,6.0840998697925974e-05,sin_categoria_identificada,hoja_3,,,,,,,,
2026-01-30,CA-0001-en2026.XLS,3,210,Profuturo,3,9841.229812,miles_soles,0.0027654835368127,Macrocapitales SAFI S.A.,,sin_categoria_adyacente,,4454524.3766899705,0.2209266125806395,pendiente_sin_categoria,,3652176.098114818,0.2694620836350101,sin_categoria_identificada,hoja_3,,,,,,,,
