fecha,ACWI,SPY,QQQ,EEM,ILF,EPU,VGK,EWJ,MCHI,XLK,XLF,XLE,XLB,XLI,XLV,XLY,XLP,GLD,CPER,COPX,USO,TLT,LQD,HYG,^VIX,DX-Y.NYB,PEN=X
2014-12-18,46.98023223876953,169.8654327392578,95.40901184082031,30.04231071472168,18.621660232543945,22.4732608795166,36.82466742959848,36.784202575683594,39.31990051269531,18.173904418945312,16.17469596862793,24.90107536315918,19.168107986450195,45.90546798706055,58.13995361328125,31.15365219116211,35.85399627685547,115.1500015258789,19.200000762939453,17.39531707763672,165.9199981689453,91.6888613950801,81.56236444798172,49.241266004995985,16.809999465942383,89.23999786376953,2.9519999027252197
2014-12-19,47.1082649230957,170.5881805419922,95.82881927490234,30.25260353088379,18.931135177612305,22.38184356689453,36.68737473241359,36.97695541381836,39.48133850097656,18.194042205810547,16.185190200805664,25.69683074951172,19.40420150756836,46.16324234008789,58.28067398071289,31.238746643066406,35.81714630126953,114.7699966430664,19.489999771118164,17.633283615112305,175.67999267578125,92.92173226739955,81.52137734565278,49.7151049978322,16.489999771118164,89.5999984741211,2.937999963760376
2014-12-22,47.38834762573242,171.37295532226562,96.06768035888672,30.673221588134766,18.90137481689453,22.248245239257812,36.92965505955637,36.88058090209961,40.2320671081543,18.41288185119629,16.296674728393555,25.43529510498047,19.41613006591797,46.60375213623047,57.72607421875,31.542884826660156,36.16339874267578,112.55000305175781,19.489999771118164,17.39531707763672,167.36000061035156,93.04726582594377,81.78085854911704,49.59387721789736,15.25,89.7699966430664,2.9570000171661377
2014-12-23,47.372337341308594,171.60421752929688,95.72779083251953,30.39281463623047,18.925180435180664,22.26934242248535,36.79161001052066,36.9448356628418,39.723514556884766,18.461023330688477,16.388484954833984,25.74466896057129,19.567153930664062,46.775062561035156,56.4017219543457,31.719202041625977,36.41386032104492,112.73999786376953,19.239999771118164,17.41910743713379,172.47999572753906,91.20163668508718,81.15942060301965,49.77021381700556,14.800000190734863,90.05999755859375,2.9690001010894775
2014-12-24,47.460365295410156,171.62069702148438,95.81046295166016,30.462915420532227,18.954938888549805,22.206056594848633,37.053923624956425,36.88058090209961,39.457130432128906,18.44350814819336,16.362255096435547,25.55647850036621,19.499588012695312,46.82400131225586,56.81557083129883,31.666297912597656,36.37702941894531,112.7699966430664,19.239999771118164,17.44290542602539,168.39999389648438,91.69806203927862,81.42101887671438,49.939522831018486,14.369999885559082,89.97000122070312,2.9760000705718994
2014-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9760000705718994
2014-12-26,47.65241241455078,172.17417907714844,96.49022674560547,30.704374313354492,18.889474868774414,22.5842227935791,37.0815264931158,37.13758850097656,40.425804138183594,18.522289276123047,16.362255096435547,25.55011558532715,19.567153930664062,46.82400131225586,57.22117233276367,31.83821678161621,36.43595504760742,114.83000183105469,18.90999984741211,17.60948371887207,166.24000549316406,92.0383313717831,81.48260849705791,49.78457891377146,14.5,90.02999877929688,2.9760000705718994
2014-12-29,47.54838562011719,172.40542602539062,96.47185516357422,30.517440795898438,18.954938888549805,22.513668060302734,36.763991788241874,36.752079010009766,40.40157699584961,18.430381774902344,16.42127227783203,25.642606735229492,19.567153930664062,46.89741897583008,57.419830322265625,32.080650329589844,36.325462341308594,113.66999816894531,19.09000015258789,17.65819549560547,162.39999389648438,92.72637887487852,81.64011229552523,49.81225148286498,15.0600004196167,90.19000244140625,2.9739999771118164
2014-12-30,47.23629379272461,171.48037719726562,95.82881927490234,30.57975196838379,18.98469352722168,22.541887283325195,36.44647243748735,36.30231857299805,39.92531967163086,18.299081802368164,16.401607513427734,25.43848991394043,19.499588012695312,46.620059967041016,57.171512603759766,31.9307804107666,36.16339874267578,115.19999694824219,19.260000228881836,17.90175437927246,162.32000732421875,92.9779172256329,81.70859017746412,49.712652703805006,15.920000076293945,89.98999786376953,2.9137001037597656
2014-12-31,46.81218338012695,169.77870178222656,94.84590911865234,30.603116989135742,18.931135177612305,22.548946380615234,36.17725714637928,36.109554290771484,40.54688262939453,18.097755432128906,16.217973709106445,25.247129440307617,19.308807373046875,46.15508270263672,56.60038375854492,31.80293846130371,35.72138214111328,113.58000183105469,19.020000457763672,17.92611312866211,162.8800048828125,93.15545644055372,81.7633849363695,49.5798607885287,19.200000762939453,90.2699966430664,2.993000030517578
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9749999046325684
2015-01-02,46.700172424316406,169.68785095214844,94.56114196777344,30.198087692260742,18.413372039794922,22.527782440185547,35.990881167988164,36.17382049560547,40.57109832763672,18.062734603881836,16.217973709106445,25.365129470825195,19.33662986755371,46.097984313964844,56.80731964111328,31.5737361907959,35.618247985839844,114.08000183105469,19.020000457763672,18.047897338867188,159.1199951171875,94.19115851196707,82.05093288707992,49.5798607885287,17.790000915527344,91.08000183105469,2.9393999576568604
2015-01-05,45.779930114746094,166.6233367919922,93.17404174804688,29.6606502532959,17.889650344848633,22.189125061035156,34.94166125701378,35.75617218017578,40.514591217041016,17.78700065612793,15.876965522766113,24.31583023071289,18.843780517578125,45.021209716796875,56.51759719848633,30.96985626220703,35.36779022216797,115.80000305175781,19.020000457763672,17.58512306213379,150.32000732421875,95.6707935972452,82.38651965198981,49.120553477992615,19.920000076293945,91.37999725341797,2.924099922180176
2015-01-06,45.30779266357422,165.05392456054688,91.92473602294922,29.53602409362793,18.181264877319336,22.379615783691406,34.54821194727431,35.17790222167969,40.12712860107422,17.57254409790039,15.634318351745605,23.958620071411133,18.676834106445312,44.466487884521484,56.327232360839844,30.661306381225586,35.32358169555664,117.12000274658203,18.739999771118164,17.48770523071289,144.39999389648438,97.39447364547537,82.72202080008891,48.93243192085801,21.1200008392334,91.5,2.9835000038146973
2015-01-07,45.899959564208984,167.1106719970703,93.10975646972656,30.174732208251953,18.61571502685547,22.32317543029785,34.90714903512239,35.691917419433594,41.15230178833008,17.72135353088379,15.798262596130371,24.00965118408203,18.88749885559082,44.800933837890625,57.6515998840332,31.14617919921875,35.927650451660156,116.43000030517578,18.739999771118164,17.512060165405273,146.9600067138672,97.20214850864356,82.83155583447467,49.236779817818295,19.309999465942383,91.88999938964844,2.9839999675750732
2015-01-08,46.620140075683594,170.07608032226562,94.89183807373047,30.688798904418945,18.91328239440918,22.57716941833496,35.41105587985758,36.14168167114258,41.56398391723633,18.110885620117188,16.034358978271484,24.548656463623047,19.33662986755371,45.698265075683594,58.63661193847656,31.6134033203125,36.472782135009766,115.94000244140625,18.68000030517578,17.77997589111328,148.39999389648438,95.91489263619168,82.56445473485012,49.6074946168003,17.010000228881836,92.37000274658203,2.984999895095825
2015-01-09,46.332061767578125,168.7131805419922,94.26719665527344,30.587539672851562,18.871620178222656,22.478391647338867,35.20397487144954,35.75617218017578,41.42675018310547,18.053987503051758,15.817944526672363,24.354106903076172,19.237262725830078,45.20881652832031,58.115116119384766,31.247554779052734,36.17812728881836,117.26000213623047,18.610000610351562,17.682554244995117,146.24000549316406,96.9654269803684,82.78361820377886,49.856485753326965,17.549999237060547,91.94000244140625,2.924999952316284
2015-01-12,46.0679931640625,167.39149475097656,93.28430938720703,30.338289260864258,18.484783172607422,22.407838821411133,35.19708854889664,35.62766647338867,41.047359466552734,17.84389877319336,15.686776161193848,23.65243911743164,19.19354820251465,44.898826599121094,58.13993835449219,31.08005142211914,36.067623138427734,118.55999755859375,18.610000610351562,17.09800910949707,139.27999877929688,97.52027758399184,82.94111421889974,49.79564716659243,19.600000381469727,91.9800033569336,2.9839999675750732
2015-01-13,46.100006103515625,166.9207000732422,93.25670623779297,30.603116989135742,18.58000946044922,21.8504638671875,35.35583862794927,35.91680145263672,41.51554489135742,17.830774307250977,15.634318351745605,23.46427345275879,18.978912353515625,44.80910873413086,57.88334655761719,31.08005142211914,36.060264587402344,118.16000366210938,18.610000610351562,16.367321014404297,140.9600067138672,97.52027758399184,83.01642587900895,49.79564716659243,20.559999465942383,92.30999755859375,2.990999937057495
2015-01-14,45.88394546508789,165.9129180908203,92.74231719970703,30.431758880615234,18.65142250061035,21.095539093017578,35.31442089085572,35.852561950683594,41.087730407714844,17.7301082611084,15.411343574523926,23.53762435913086,18.756338119506836,44.56439208984375,57.79231643676758,30.70538330078125,35.949764251708984,117.97000122070312,16.920000076293945,15.076446533203125,146.16000366210938,98.26006036349162,83.16022320440347,49.67946731575306,21.479999542236328,92.16000366210938,2.9191999435424805
2015-01-15,45.779930114746094,164.39305114746094,91.5389404296875,30.501861572265625,18.35385513305664,21.22254180908203,35.514596384061605,36.109554290771484,41.329891204833984,17.502513885498047,15.221155166625977,23.23781394958496,18.720558166503906,44.35228729248047,57.171512603759766,30.308671951293945,36.008689880371094,120.94000244140625,17.489999771118164,14.930306434631348,139.60000610351562,99.80623982251127,83.5915918305477,49.37512716695715,22.389999389648438,92.3499984741211,2.992000102996826
2015-01-16,46.31605911254883,166.54901123046875,92.61370849609375,30.758907318115234,18.8299560546875,21.363649368286133,36.01159003653494,36.430824279785156,41.12808609008789,17.673202514648438,15.404773712158203,23.99370574951172,19.01865577697754,44.64595413208008,58.24757766723633,30.70979118347168,36.295997619628906,122.5199966430664,17.829999923706055,15.320012092590332,146.63999938964844,98.53381622282282,83.12594534670183,49.56324485000955,20.950000762939453,92.5199966430664,2.997999906539917
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.015000104904175
2015-01-20,46.42008590698242,166.9041290283203,93.34858703613281,30.7121639251709,18.60976219177246,21.427141189575195,36.26009262056638,36.71995162963867,40.81327438354492,17.822021484375,15.33920669555664,24.02240562438965,19.050460815429688,44.96409606933594,58.24757766723633,30.533472061157227,36.44332504272461,124.19999694824219,17.56999969482422,15.61227798461914,139.83999633789062,99.84332050441974,83.31771921952434,49.47470657560617,19.889999389648438,93.05000305175781,2.9449000358581543
2015-01-21,46.7641716003418,167.7467041015625,93.82630157470703,31.38981056213379,19.10371971130371,21.377758026123047,36.55690694130398,36.784202575683594,42.120975494384766,17.852657318115234,15.378552436828613,24.51038360595703,19.237262725830078,45.3311882019043,58.36344909667969,30.731826782226562,36.62013244628906,124.2300033569336,17.520000457763672,15.758415222167969,142.16000366210938,98.6891920051613,83.28347249520844,49.740336895145106,18.850000381469727,92.9000015258789,2.94569993019104
2015-01-22,47.30831527709961,170.24131774902344,95.56243896484375,31.989564895629883,19.50246238708496,21.617637634277344,36.660458961097554,36.9448356628418,42.83133316040039,18.145893096923828,15.758919715881348,24.625198364257812,19.47971534729004,46.057193756103516,59.058738708496094,31.309267044067383,36.988468170166016,125.2300033569336,17.399999618530273,15.880196571350098,139.27999877929688,98.3340749496093,83.24236085933651,49.80670767124902,16.399999618530273,94.23999786376953,3.005000114440918
2015-01-23,47.020240783691406,169.307861328125,95.7737045288086,31.748109817504883,19.05611228942871,21.349533081054688,36.453385629749214,36.81632614135742,42.66181182861328,18.141515731811523,15.588409423828125,24.449787139892578,19.177644729614258,45.67378616333008,58.71938705444336,31.265188217163086,36.575923919677734,124.2300033569336,16.90999984741211,15.295652389526367,136.0,99.70268429313987,83.72848532765398,49.80670767124902,16.65999984741211,95.0,3.003999948501587
2015-01-26,47.340335845947266,169.7043914794922,95.6634750366211,31.763683319091797,19.050159454345703,21.67407989501953,37.040108756022256,37.233970642089844,42.58916091918945,18.067106246948242,15.667102813720703,24.800613403320312,19.26111602783203,45.73089599609375,59.025630950927734,31.42827606201172,36.575923919677734,122.98999786376953,17.059999465942383,15.344361305236816,134.9600067138672,99.39937976541287,83.70797620979666,50.033589420709085,15.520000457763672,94.80000305175781,2.924799919128418
2015-01-27,47.012237548828125,167.46588134765625,93.18321228027344,31.592327117919922,19.14537811279297,21.61058235168457,37.053923624956425,37.29822540283203,41.89494323730469,17.54629135131836,15.496589660644531,24.78466033935547,19.129945755004883,45.127235412597656,58.603477478027344,31.17702865600586,36.15602111816406,124.4000015258789,16.729999542236328,15.198225021362305,137.67999267578125,99.55471692204104,83.76965923029739,49.9948408506302,17.219999313354492,94.0199966430664,2.9463000297546387
2015-01-28,46.388084411621094,165.31825256347656,92.70555114746094,31.24959945678711,18.633567810058594,21.293088912963867,36.336030256611025,37.233970642089844,41.28953170776367,17.515649795532227,15.214598655700684,23.808725357055664,18.78415870666504,44.73568344116211,57.759185791015625,30.771503448486328,35.73611831665039,123.41999816894531,16.75,14.8328857421875,132.47999572753906,101.18230392813386,84.33792913689439,49.8897215044474,20.440000534057617,94.47000122070312,2.9460999965667725
