fuente,fecha_cartera,archivo,afp,fila_principal,fila_secundaria,identificador,categoria_asignada,valor,accion,fila_administradora,fila_instrumento,administradora,instrumento_sin_isin
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,1382.3821180248,fusion_administradora_fondo_sin_isin,448.0,449.0,PASIA VI GP LLC,"Pantheon Asia Fund VI, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,1394.9582307736,fusion_administradora_fondo_sin_isin,450.0,451.0,"Partners Group Secondary 2011 (USD), L.P. Inc",Partners Group Secondary 2011
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,14559.4227972407,fusion_administradora_fondo_sin_isin,456.0,457.0,TRG MANAGEMENT L.P.,"TRG Latin America Private Equity Fund I, L.P. (LAPEF)"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,72.8262637556,fusion_administradora_fondo_sin_isin,458.0,459.0,Apollo Credit Opportunity Advisors III LP,Apollo Credit Opportunity Fund III LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,69333.15627083699,fusion_administradora_fondo_sin_isin,465.0,466.0,Lexington Partners GP Holdings VIII LLC,Lexington Capital Partners VIII-A feeder LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,10692.4470238362,fusion_administradora_fondo_sin_isin,467.0,468.0,"ASSF Operating Manager IV, LP","Ares Special Situations IV, LP"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,36659.1610105323,fusion_administradora_fondo_sin_isin,469.0,470.0,"Oaktree Principal Fund VI GP, L.P.",Oaktree Principal Fund VI L.P. (Feeder)
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,7915.6420377584,fusion_administradora_fondo_sin_isin,471.0,472.0,"Avenue Europe Capital Partners III, LLC","Avenue Europe Special Situations Fund III (US), LP"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,18974.9955117599,fusion_administradora_fondo_sin_isin,477.0,478.0,Partners Group Management XI Limited.,"Partners Group Secondary 2015 (USD) C,LP"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,39084.1884802275,fusion_administradora_fondo_sin_isin,494.0,495.0,Harbourvest Co-Investment IV Associates LP,Harbourvest Partners Co-investment Fund IV LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,22500.907781445203,fusion_administradora_fondo_sin_isin,504.0,505.0,Carlyle Realty VIII LLC,"Carlyle Realty Foreign Investors VIII-B, LP"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Integra,,,,,115595.997294296,fusion_administradora_fondo_sin_isin,531.0,532.0,"Hellman & Friedman Investors IX, L.P.","Hellman & Friedman Capital Partners IX, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Prima,,,,,16426.3354836587,fusion_administradora_fondo_sin_isin,428.0,429.0,Arias Resource Capital GP II Ltd.,Fondo Arias Resource Capital Fund II L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Prima,,,,,97.7157839695,fusion_administradora_fondo_sin_isin,432.0,433.0,Carlyle South America Buyout General Partner,"Carlyle South America Buyout Fund, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Prima,,,,,44.73377584,fusion_administradora_fondo_sin_isin,434.0,435.0,Dover VII Associates L.P.,Dover Street VII Cayman Fund L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Prima,,,,,16745.908261464,fusion_administradora_fondo_sin_isin,440.0,441.0,Larráin Vial S.A. SAF,Fondo Energético Americano
hoja_10,2026-01-30,CA-0001-en2026.XLS,Prima,,,,,9684.7575183071,fusion_administradora_fondo_sin_isin,454.0,455.0,TerranumCapital LatAmerica Real Estate FundGP,"Terranum Capital Latin America Real Estate Fund I, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,11090.7802777004,fusion_administradora_fondo_sin_isin,421.0,422.0,Actis GP LLP,Actis Global 4 L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,775.0872204944,fusion_administradora_fondo_sin_isin,426.0,427.0,APAX VIII GP L.P. INC.,APAX VIII-A L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,9034.4074137818,fusion_administradora_fondo_sin_isin,428.0,429.0,Arias Resource Capital GP II Ltd.,Fondo Arias Resource Capital Fund II L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,203.4945599829,fusion_administradora_fondo_sin_isin,430.0,431.0,"Coller International General Partner VI, L.P.","Coller International Partners VI Parallel Fund (Latin America),L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,53.7431758002,fusion_administradora_fondo_sin_isin,432.0,433.0,Carlyle South America Buyout General Partner,"Carlyle South America Buyout Fund, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,2691.6751835928,fusion_administradora_fondo_sin_isin,436.0,437.0,HIPEP VI-Associates L.P.,"HIPEP VI- Cayman Fund, L.P"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,207.9504218847,fusion_administradora_fondo_sin_isin,442.0,443.0,Lexington Partners GP Holdings VII LLC,"Lexington Capital Partners VII (Offshore), L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,257.0868880375,fusion_administradora_fondo_sin_isin,446.0,447.0,PARTNERS GROUP MANAGEMENT VI LIMITED,"Partners Group Direct Investments 2009, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,1382.3821180248,fusion_administradora_fondo_sin_isin,448.0,449.0,PASIA VI GP LLC,"Pantheon Asia Fund VI, L.P."
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,389.6472815104,fusion_administradora_fondo_sin_isin,450.0,451.0,"Partners Group Secondary 2011 (USD), L.P. Inc",Partners Group Secondary 2011
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,5914.6256173394,fusion_administradora_fondo_sin_isin,452.0,453.0,Partners Group Management X Limited,Partners Group Direct Investment 2012
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,11162.2289783597,fusion_administradora_fondo_sin_isin,456.0,457.0,TRG MANAGEMENT L.P.,"TRG Latin America Private Equity Fund I, L.P. (LAPEF)"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,55420.9553011373,fusion_administradora_fondo_sin_isin,465.0,466.0,Lexington Partners GP Holdings VIII LLC,Lexington Capital Partners VIII-A feeder LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,73669.3822430445,fusion_administradora_fondo_sin_isin,473.0,474.0,HIPEP VII Associates LLC,HIPEP VII PARTNERSHIP FEEDER FUND L.P.
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,47985.7777259582,fusion_administradora_fondo_sin_isin,484.0,485.0,Bridgepoint Advisers Limited,Bridgepoint Europe V D LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,19783.4634637639,fusion_administradora_fondo_sin_isin,494.0,495.0,Harbourvest Co-Investment IV Associates LP,Harbourvest Partners Co-investment Fund IV LP
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,27882.947843248698,fusion_administradora_fondo_sin_isin,500.0,501.0,Partners Group Management VII Limited,"Partners Group Direct Equity 2016 (USD) C-G, L.P"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,13303.0589070998,fusion_administradora_fondo_sin_isin,506.0,507.0,"Apollo EPF Adivosrs III, L.P","Apollo European Principal Finance Fund III (EURO B), L.P"
hoja_10,2026-01-30,CA-0001-en2026.XLS,Profuturo,,,,,29815.2469478597,fusion_administradora_fondo_sin_isin,508.0,509.0,"Starwood XI Management GP, L.L.C.","Starwood Opportunity Fund XI Investor KP, L.P."
