fecha,afp,fecha_cartera,peso_rv_exterior,peso_rv_local,peso_rf_exterior,peso_rf_local,peso_alternativos,peso_liquidez_transito,peso_rv_total,peso_exterior_total,peso_mapeado_total
2015-02-02,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-03,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-04,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-05,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-06,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-09,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-10,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-11,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-12,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-13,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
2015-02-16,Habitat,2015-01-30,0.6249108061000423,0.20749736967141197,0.0,0.15787983000314096,0.0,0.009711994225404674,0.8324081757714543,0.6249108061000423,1.0
