fecha_cuota,afp,factor,corr_120,corr_250,beta_120,beta_250
2015-05-27,Habitat,ret_IDX_VIX,,,,
2015-05-28,Habitat,ret_IDX_VIX,,,,
2015-05-29,Habitat,ret_IDX_VIX,,,,
2015-06-01,Habitat,ret_IDX_VIX,,,,
2015-06-02,Habitat,ret_IDX_VIX,,,,
2015-06-03,Habitat,ret_IDX_VIX,,,,
2015-06-04,Habitat,ret_IDX_VIX,,,,
2015-06-05,Habitat,ret_IDX_VIX,,,,
2015-06-08,Habitat,ret_IDX_VIX,,,,
2015-06-09,Habitat,ret_IDX_VIX,,,,
2015-06-10,Habitat,ret_IDX_VIX,,,,
2015-06-11,Habitat,ret_IDX_VIX,,,,
2015-06-12,Habitat,ret_IDX_VIX,,,,
2015-06-15,Habitat,ret_IDX_VIX,,,,
2015-06-16,Habitat,ret_IDX_VIX,,,,
2015-06-17,Habitat,ret_IDX_VIX,,,,
2015-06-18,Habitat,ret_IDX_VIX,,,,
2015-06-19,Habitat,ret_IDX_VIX,,,,
2015-06-22,Habitat,ret_IDX_VIX,-0.7738615739117265,,-0.05325584596419212,
2015-06-23,Habitat,ret_IDX_VIX,-0.7663988833282535,,-0.053037648141739537,
2015-06-24,Habitat,ret_IDX_VIX,-0.7717622550498314,,-0.052351428037107295,
2015-06-25,Habitat,ret_IDX_VIX,-0.7695711413693461,,-0.05213865466197715,
2015-06-26,Habitat,ret_IDX_VIX,-0.7656280899186862,,-0.05223880572327414,
2015-06-29,Habitat,ret_IDX_VIX,-0.6990415718524181,,-0.04261174856610868,
2015-06-30,Habitat,ret_IDX_VIX,-0.6455393541253626,,-0.041298407147332836,
2015-07-01,Habitat,ret_IDX_VIX,-0.647440514177397,,-0.041118712460534945,
2015-07-02,Habitat,ret_IDX_VIX,-0.6479385737254219,,-0.04073432438265882,
2015-07-03,Habitat,ret_IDX_VIX,-0.6465389970133807,,-0.04060040126252465,
2015-07-06,Habitat,ret_IDX_VIX,-0.637270898888743,,-0.04000942436078859,
2015-07-07,Habitat,ret_IDX_VIX,-0.6371257291425773,,-0.039910539652419176,
2015-07-08,Habitat,ret_IDX_VIX,-0.6682543170146966,,-0.0422005069323322,
2015-07-09,Habitat,ret_IDX_VIX,-0.6631625327881931,,-0.0420659080779068,
2015-07-10,Habitat,ret_IDX_VIX,-0.6670235906630677,,-0.042277325911810874,
2015-07-13,Habitat,ret_IDX_VIX,-0.6790341222577012,,-0.042489600667066495,
2015-07-14,Habitat,ret_IDX_VIX,-0.6771959811868199,,-0.04231000139551443,
2015-07-15,Habitat,ret_IDX_VIX,-0.672306262326448,,-0.04211594729358583,
2015-07-16,Habitat,ret_IDX_VIX,-0.6744382641236236,,-0.043171175093466296,
2015-07-17,Habitat,ret_IDX_VIX,-0.6704893588012235,,-0.0427603564591393,
2015-07-20,Habitat,ret_IDX_VIX,-0.6698001136766853,,-0.04316046034865875,
2015-07-21,Habitat,ret_IDX_VIX,-0.6654722098022032,,-0.042652398137911655,
2015-07-22,Habitat,ret_IDX_VIX,-0.6607966804500837,,-0.042510549117213504,
2015-07-23,Habitat,ret_IDX_VIX,-0.6676644112095202,,-0.043273352958940886,
2015-07-24,Habitat,ret_IDX_VIX,-0.6699117004252211,,-0.04384449833275526,
2015-07-27,Habitat,ret_IDX_VIX,-0.6758030701197896,,-0.043847533334489076,
2015-07-28,Habitat,ret_IDX_VIX,-0.6768561269472432,,-0.043474668587623305,
2015-07-29,Habitat,ret_IDX_VIX,-0.6762572213156602,,-0.043050402129586905,
2015-07-30,Habitat,ret_IDX_VIX,-0.6772988964299688,,-0.04310868806291435,
2015-07-31,Habitat,ret_IDX_VIX,-0.6773146603283029,,-0.04338552115020372,
2015-08-03,Habitat,ret_IDX_VIX,-0.678986540898933,,-0.042890801993289596,
2015-08-04,Habitat,ret_IDX_VIX,-0.6818526391719621,,-0.042962271311480255,
2015-08-05,Habitat,ret_IDX_VIX,-0.6839333065362326,,-0.043120032976368586,
2015-08-06,Habitat,ret_IDX_VIX,-0.6851684887841116,,-0.042933696202756215,
2015-08-07,Habitat,ret_IDX_VIX,-0.6820611185097973,,-0.04274683610133478,
2015-08-10,Habitat,ret_IDX_VIX,-0.6862506637233327,,-0.043188332462746976,
2015-08-11,Habitat,ret_IDX_VIX,-0.6866400673802995,,-0.04280298481278453,
2015-08-12,Habitat,ret_IDX_VIX,-0.6819170256799385,,-0.0428584108433351,
2015-08-13,Habitat,ret_IDX_VIX,-0.6818896251437281,,-0.04286084255007948,
2015-08-14,Habitat,ret_IDX_VIX,-0.671851131787631,,-0.04233318203403026,
2015-08-17,Habitat,ret_IDX_VIX,-0.6732866813128151,,-0.04255034813953028,
2015-08-18,Habitat,ret_IDX_VIX,-0.6743677383420557,,-0.04255233546636224,
2015-08-19,Habitat,ret_IDX_VIX,-0.6774367433444954,,-0.042692100671234426,
2015-08-20,Habitat,ret_IDX_VIX,-0.7078093158696432,,-0.04493116787769563,
2015-08-21,Habitat,ret_IDX_VIX,-0.7542497071722722,,-0.04527613208400023,
2015-08-24,Habitat,ret_IDX_VIX,-0.8014448858615354,,-0.0499245075827578,
2015-08-25,Habitat,ret_IDX_VIX,-0.7950805311260372,,-0.04918417058035767,
2015-08-26,Habitat,ret_IDX_VIX,-0.7837657383212129,,-0.051534449279105415,
2015-08-27,Habitat,ret_IDX_VIX,-0.7883689064583093,,-0.05202418210247387,
2015-08-28,Habitat,ret_IDX_VIX,-0.7817295508646381,,-0.051694291971827885,
2015-08-31,Habitat,ret_IDX_VIX,-0.7801969213928732,,-0.05144469491940717,
2015-09-01,Habitat,ret_IDX_VIX,-0.7774040564081248,,-0.05228140666326458,
2015-09-02,Habitat,ret_IDX_VIX,-0.7804838587997914,,-0.05209426279256376,
2015-09-03,Habitat,ret_IDX_VIX,-0.7706261700411158,,-0.05207737206054855,
2015-09-04,Habitat,ret_IDX_VIX,-0.77193426244729,,-0.05222430577894889,
2015-09-07,Habitat,ret_IDX_VIX,-0.7736296154478467,,-0.05251158607594825,
2015-09-08,Habitat,ret_IDX_VIX,-0.7639938077833542,,-0.05260849213848018,
2015-09-09,Habitat,ret_IDX_VIX,-0.7642456596340199,,-0.05250510035009505,
2015-09-10,Habitat,ret_IDX_VIX,-0.7605711435249928,,-0.05231471124479886,
2015-09-11,Habitat,ret_IDX_VIX,-0.7589390242093879,,-0.052135027489188135,
2015-09-14,Habitat,ret_IDX_VIX,-0.758709519164777,,-0.052131871417974394,
2015-09-15,Habitat,ret_IDX_VIX,-0.7619490163309434,,-0.05195652667052303,
2015-09-16,Habitat,ret_IDX_VIX,-0.7619820027467926,,-0.051930000919367156,
2015-09-17,Habitat,ret_IDX_VIX,-0.7600272560769602,,-0.05184108213307618,
2015-09-18,Habitat,ret_IDX_VIX,-0.7592429930893764,,-0.0520141794600728,
2015-09-21,Habitat,ret_IDX_VIX,-0.7621441412117572,,-0.05182109316067921,
2015-09-22,Habitat,ret_IDX_VIX,-0.7631898998718216,,-0.051697815852302285,
2015-09-23,Habitat,ret_IDX_VIX,-0.7623947027350599,,-0.05161926891112562,
2015-09-24,Habitat,ret_IDX_VIX,-0.7606496932080847,,-0.0516264114494797,
2015-09-25,Habitat,ret_IDX_VIX,-0.7576423220023268,,-0.051568461371337145,
2015-09-28,Habitat,ret_IDX_VIX,-0.7642448715908595,,-0.052063880725267755,
2015-09-29,Habitat,ret_IDX_VIX,-0.7613702263894119,,-0.051903252022448866,
2015-09-30,Habitat,ret_IDX_VIX,-0.7623718588834546,,-0.052437393198443594,
2015-10-01,Habitat,ret_IDX_VIX,-0.7639327159622838,,-0.052539779837874584,
2015-10-02,Habitat,ret_IDX_VIX,-0.7629595729778141,,-0.05237517514633577,
2015-10-05,Habitat,ret_IDX_VIX,-0.7612255827967235,,-0.05286757111515179,
2015-10-06,Habitat,ret_IDX_VIX,-0.7616462527847642,,-0.052840305742557464,
2015-10-07,Habitat,ret_IDX_VIX,-0.7615856433735142,,-0.05302126244227074,
2015-10-08,Habitat,ret_IDX_VIX,-0.762208481634395,,-0.053052753281378796,
2015-10-09,Habitat,ret_IDX_VIX,-0.7622696327281983,,-0.05306018617373613,
2015-10-12,Habitat,ret_IDX_VIX,-0.7643124165579658,,-0.05321656063011193,
2015-10-13,Habitat,ret_IDX_VIX,-0.7650890678632246,,-0.05320675573644508,
2015-10-14,Habitat,ret_IDX_VIX,-0.7632443918156797,,-0.05312060063901313,
2015-10-15,Habitat,ret_IDX_VIX,-0.7652337861002396,,-0.05339772007795167,
2015-10-16,Habitat,ret_IDX_VIX,-0.7647993276843891,,-0.05364071385738932,
2015-10-19,Habitat,ret_IDX_VIX,-0.7695358400357548,,-0.0536915228193604,
2015-10-20,Habitat,ret_IDX_VIX,-0.7666459436861456,,-0.053526936493470144,
2015-10-21,Habitat,ret_IDX_VIX,-0.765338844734244,,-0.05338045128934611,
2015-10-22,Habitat,ret_IDX_VIX,-0.7693425627559056,,-0.05369902731023435,
