afp,escenario,anio,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct
Habitat,M0_sin_pesos,2025,259,0.0040847612979505385,0.0030718897594758663,0.49836915057685205,0.7312665078949729,71.81467181467181
Habitat,M0_sin_pesos,2026,113,0.010208275394924858,0.0074227256884825815,0.3607910441633845,0.783177735885657,81.41592920353983
Habitat,M1_afp_equivocada_45d,2025,259,0.004035180146933464,0.0030204953163906105,0.5104729125297367,0.7396254090834894,72.2007722007722
Habitat,M1_afp_equivocada_45d,2026,113,0.01018038926629201,0.0074067552009923696,0.3642785512995089,0.769375702710722,81.41592920353983
Habitat,M1_oraculo_1d,2025,259,0.004082456538465135,0.003053064550652523,0.4989350648166335,0.7388622816887375,72.58687258687259
Habitat,M1_oraculo_1d,2026,113,0.010071197100181506,0.007276556954865658,0.37784257767264173,0.7793803424948642,81.41592920353983
Habitat,M1_pesos_12m_atras,2025,259,0.004004430353661592,0.0030055590505490043,0.5179052955219694,0.729348870827759,73.74517374517374
Habitat,M1_pesos_12m_atras,2026,113,0.00970971432023349,0.006986768796900988,0.4217029190233512,0.7867827650770441,78.76106194690266
Habitat,M1_pesos_constantes_train,2025,259,0.0040847612979505385,0.0030718897594758663,0.49836915057685205,0.7312665078949729,71.81467181467181
Habitat,M1_pesos_constantes_train,2026,113,0.010208275394924858,0.0074227256884825815,0.3607910441633845,0.7831777358856572,81.41592920353983
Habitat,M1_publico_30d,2025,259,0.004075807435051461,0.003051165157853817,0.5005659061603288,0.7408510137545181,72.2007722007722
Habitat,M1_publico_30d,2026,113,0.010074456943154824,0.0072884563687802065,0.377439752921119,0.7814890607664737,82.30088495575221
Habitat,M1_publico_45d,2025,259,0.004080653090947468,0.003057388053434914,0.4993776633893916,0.7388533033287901,71.81467181467181
Habitat,M1_publico_45d,2026,113,0.010107285339241231,0.007311553334660064,0.37337582107209744,0.7805464272453171,81.41592920353983
Habitat,M1_publico_60d,2025,259,0.004086072271792762,0.0030609791362729392,0.49804710950566544,0.7378140630554209,72.2007722007722
Habitat,M1_publico_60d,2026,113,0.010120651059145292,0.0073235331831587635,0.3717174487885889,0.7790169727934513,81.41592920353983
Habitat,M2_hibrido_publico_45d,2025,259,0.00402328301745313,0.0030153189063417403,0.5133552530354125,0.7359707715503235,72.58687258687259
Habitat,M2_hibrido_publico_45d,2026,113,0.009985114119648014,0.007222208532930543,0.3884328334968019,0.7879538986771575,81.41592920353983
Integra,M0_sin_pesos,2025,259,0.004560196858075492,0.0033442052021419406,0.46075501459563883,0.7410418912025443,71.81467181467181
Integra,M0_sin_pesos,2026,113,0.01075995893916699,0.008293126737921774,0.3667570463678471,0.8599476812982046,83.1858407079646
Integra,M1_afp_equivocada_45d,2025,259,0.004560715903082738,0.0033569450084765112,0.4606322530768491,0.7466472529777252,72.58687258687259
Integra,M1_afp_equivocada_45d,2026,113,0.01061482587561323,0.008170292488523126,0.3837245226901369,0.8639058532357513,83.1858407079646
Integra,M1_oraculo_1d,2025,259,0.004404275590022861,0.0032148219649437973,0.49700009170042303,0.7496718586191141,73.35907335907336
Integra,M1_oraculo_1d,2026,113,0.01022790761340607,0.00785077582934163,0.427833099143311,0.8537799139689256,79.64601769911505
Integra,M1_pesos_12m_atras,2025,259,0.004484820939802856,0.0033385097706821127,0.4784341480780665,0.7183804574464621,71.04247104247105
Integra,M1_pesos_12m_atras,2026,113,0.0103972523295688,0.007970662223705693,0.40872937169664514,0.8517238464110942,83.1858407079646
Integra,M1_pesos_constantes_train,2025,259,0.0045601968580754925,0.0033442052021419406,0.4607550145956386,0.7410418912025443,71.81467181467181
Integra,M1_pesos_constantes_train,2026,113,0.01075995893916699,0.008293126737921772,0.3667570463678471,0.8599476812982046,83.1858407079646
Integra,M1_publico_30d,2025,259,0.004546816475384033,0.0033386068146477495,0.46391484257532223,0.7483842733229786,72.2007722007722
Integra,M1_publico_30d,2026,113,0.01047421142718889,0.008050431840302985,0.399943962129923,0.8617539147615096,83.1858407079646
Integra,M1_publico_45d,2025,259,0.004557574610034952,0.0033538993056424606,0.4613749999140936,0.7461184431844355,72.2007722007722
