escenario,afp,comparaciones_consecutivas,turnover_mediano,turnover_p90,solapamiento_mediano,nuevos_mediano,salientes_mediano
ampliado_15pct,Habitat,132,0.15116893406993478,0.25242775998628014,0.848831065930062,4.0,4.0
ampliado_15pct,Integra,107,0.12395464370270091,0.24860335332256006,0.8760453562972949,3.0,3.0
ampliado_15pct,Prima,124,0.12986744910657932,0.24703226019795624,0.8701325508934195,3.0,3.0
ampliado_15pct,Profuturo,111,0.14165845670400656,0.24424466337854478,0.8583415432959907,2.0,2.0
principal_5pct,Habitat,117,0.1409024149989306,0.23642776753586817,0.8590975850010669,4.0,3.0
principal_5pct,Integra,42,0.08655964336986208,0.15022084706135308,0.9134403566301341,1.0,1.0
principal_5pct,Prima,90,0.11316092809008398,0.24143626523196252,0.886839071909914,3.0,3.0
principal_5pct,Profuturo,43,0.11949048622206575,0.16638048944757436,0.8805095137779313,1.0,1.0
