afp,fecha,open,high,low,close,n_estimaciones,primera_hora,ultima_hora,estado,fuentes
Habitat,2026-07-01 00:00:00,33.49726658953101,33.49726658953101,33.49726658953101,33.49726658953101,1,2026-07-05 11:48:36,2026-07-05 11:48:36,CERRADA,EJECUCION_MODELO79
Habitat,2026-07-02 00:00:00,33.57556847809353,33.57556847809353,33.57556847809353,33.57556847809353,2,2026-07-05 11:48:36,2026-07-05 22:53:52,CERRADA,EJECUCION_MODELO79 | SNAPSHOT_VIGENTE
Integra,2026-07-01 00:00:00,72.12403979634551,72.12403979634551,72.12403979634551,72.12403979634551,1,2026-07-05 11:48:36,2026-07-05 11:48:36,CERRADA,EJECUCION_MODELO79
Integra,2026-07-02 00:00:00,72.44235727169071,72.44235727169071,72.44235727169071,72.44235727169071,2,2026-07-05 11:48:36,2026-07-05 22:53:52,CERRADA,EJECUCION_MODELO79 | SNAPSHOT_VIGENTE
Prima,2026-07-01 00:00:00,65.57636864055486,65.57636864055486,65.57636864055486,65.57636864055486,1,2026-07-05 11:48:36,2026-07-05 11:48:36,CERRADA,EJECUCION_MODELO79
Prima,2026-07-02 00:00:00,65.83039267788772,65.83039267788772,65.83039267788772,65.83039267788772,2,2026-07-05 11:48:36,2026-07-05 22:53:52,CERRADA,EJECUCION_MODELO79 | SNAPSHOT_VIGENTE
Profuturo,2026-07-01 00:00:00,71.74794491459173,71.74794491459173,71.74794491459173,71.74794491459173,1,2026-07-05 11:48:36,2026-07-05 11:48:36,CERRADA,EJECUCION_MODELO79
Profuturo,2026-07-02 00:00:00,72.14741828814147,72.14741828814147,72.14741828814147,72.14741828814147,2,2026-07-05 11:48:36,2026-07-05 22:53:52,CERRADA,EJECUCION_MODELO79 | SNAPSHOT_VIGENTE
