identificador_original,clasificacion_original,isin_corregido_propuesto,cambio_realizado,peso_max_total_fondo_pct,meses_presentes,gestora_reportada,lista_afp,corregido_ya_existe_en_universo,correccion_resuelta_openfigi,numero_resultados_corregido,ticker_corregido,nombre_corregido,figi_corregido,confianza_correccion,match_gestora,match_moneda,match_afp,senales_metadata,meses_colision_original_corregido,colisiones_compatibles,correccion_aprobada,razon_decision
SCHLUMBERGER,identificador_no_estandar,SCHLUMBERGE5,R -> 5,0.8453546146888985,1,SCC,Profuturo,False,False,0,,,,baja,False,False,False,0,0,True,False,texto_no_isin_o_correccion_no_confirmada
AMERICAMOVIL,identificador_no_estandar,AMERICAMOVI4,L -> 4,0.0287383723819486,4,BON EMP PRI EXT,Integra,False,False,0,,,,baja,False,False,False,0,0,True,False,texto_no_isin_o_correccion_no_confirmada
