escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-04,Profuturo,mapeo_alta_confianza,0.3863458101055106,0.2390918534715089
ampliado_15pct,2015-04,Profuturo,mapeo_baja_confianza,0.0122665291367364,0.0075911970836791
ampliado_15pct,2015-04,Profuturo,mapeo_confianza_media,0.4412244205518126,0.2730537299675007
ampliado_15pct,2015-04,Profuturo,privados_alternativos,0.023366829030322,0.0144606679210155
ampliado_15pct,2015-04,Profuturo,residual_no_mapeado,0.1367964111756157,0.0846570782980573
ampliado_15pct,2015-05,Habitat,mapeo_alta_confianza,0.642661721199759,0.4250115681989615
ampliado_15pct,2015-05,Habitat,mapeo_baja_confianza,0.0062640311023233,0.0041425925867739
ampliado_15pct,2015-05,Habitat,mapeo_confianza_media,0.1811487555985891,0.1197991325055375
ampliado_15pct,2015-05,Habitat,residual_no_mapeado,0.1699254920993265,0.1123768500468485
ampliado_15pct,2015-05,Integra,mapeo_alta_confianza,0.4876870139951425,0.31336648888418295
ampliado_15pct,2015-05,Integra,mapeo_baja_confianza,0.016073497166406284,0.010328131007352937
ampliado_15pct,2015-05,Integra,mapeo_confianza_media,0.28337221135648993,0.1820826726401501
ampliado_15pct,2015-05,Integra,privados_alternativos,0.0384787010427807,0.024724741681804
ampliado_15pct,2015-05,Integra,residual_no_mapeado,0.1743885764391774,0.11205452335624434
ampliado_15pct,2015-05,Prima,mapeo_alta_confianza,0.2617114226309978,0.1526827547344074
ampliado_15pct,2015-05,Prima,mapeo_confianza_media,0.3990855260774961,0.232826969811157
ampliado_15pct,2015-05,Prima,privados_alternativos,0.0598236784752279,0.0349012050605902
ampliado_15pct,2015-05,Prima,residual_no_mapeado,0.2793793728162756,0.16299025785245766
ampliado_15pct,2015-05,Profuturo,mapeo_alta_confianza,0.3977314016997079,0.2531116308824096
ampliado_15pct,2015-05,Profuturo,mapeo_baja_confianza,0.0119225553193752,0.0075873753198176
ampliado_15pct,2015-05,Profuturo,mapeo_confianza_media,0.4311587313191917,0.2743843940584472
ampliado_15pct,2015-05,Profuturo,privados_alternativos,0.0246513394184443,0.015687825243300802
ampliado_15pct,2015-05,Profuturo,residual_no_mapeado,0.1345359722432781,0.085617125530754
ampliado_15pct,2015-06,Habitat,mapeo_alta_confianza,0.6477310842390476,0.4193855174266396
ampliado_15pct,2015-06,Habitat,mapeo_baja_confianza,0.0125264648072224,0.0081104922282297
ampliado_15pct,2015-06,Habitat,mapeo_confianza_media,0.17381315182769339,0.1125385524772966
ampliado_15pct,2015-06,Habitat,residual_no_mapeado,0.1659292991260346,0.1074340056598701
ampliado_15pct,2015-06,Integra,mapeo_alta_confianza,0.5041081364689329,0.318091314100433
ampliado_15pct,2015-06,Integra,mapeo_baja_confianza,0.016315947439020394,0.010295333056960947
ampliado_15pct,2015-06,Integra,mapeo_confianza_media,0.27022735509197593,0.17051296789054773
ampliado_15pct,2015-06,Integra,privados_alternativos,0.0401291582441067,0.0253214256151939
ampliado_15pct,2015-06,Integra,residual_no_mapeado,0.16921940275596076,0.10677713430886306
ampliado_15pct,2015-06,Prima,mapeo_alta_confianza,0.23939850485224745,0.14592259254338139
ampliado_15pct,2015-06,Prima,mapeo_confianza_media,0.39882956599590375,0.2431019537444181
ampliado_15pct,2015-06,Prima,privados_alternativos,0.059260729389208,0.0361216928811733
