escenario,periodo,fecha_cartera,afp,estado_cobertura,factor_reescala,error_cobertura_pct,total_exterior_miles_soles,total_fondo_miles_soles,numero_identificadores,numero_isin,numero_fondos_sin_isin,peso_isin_exterior,peso_fondos_sin_isin_exterior,peso_usd_exterior,peso_eur_exterior,peso_jpy_exterior,peso_sin_moneda_exterior,peso_otras_monedas_exterior,top1_exterior,top5_exterior,top10_exterior,hhi_identificadores,hhi_gestoras,suma_pesos_exterior,suma_pesos_total_fondo,exterior_sobre_total_fondo
principal_5pct,2015-01,2015-01-30,Habitat,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,41,41,0,0.9999999999999978,0.0,0.9699082869730635,0.0300917130269344,0.0,0.0,0.0,0.1290809182886941,0.45249522546181,0.6699106900809146,0.05914619623646711,0.24003931009229404,0.9999999999999978,0.6316908183829295,0.6316908183829315
principal_5pct,2015-01,2015-01-30,Integra,operativo,1.0329482971344497,3.189733428657837,5017774.973323989,8400569.1195552,80,71,9,0.9596445491143702,0.0403554508856264,0.8747514090754839,0.0772376083270277,0.025913500301688402,0.0004811269633682,0.02161635533242862,0.1078718293973093,0.3903888051335737,0.6069011462746137,0.047560201974451426,0.18436567071140642,0.9999999999999968,0.5973136940976266,0.5973136940976297
principal_5pct,2015-01,2015-01-30,Prima,estricto,1.0113432472333963,1.121602113271325,4543462.126603353,8030752.206630416,55,49,6,0.9396885236349581,0.0603114763650396,0.7977608766489873,0.1359637518193226,0.0329012285194692,0.0,0.033374143012218596,0.0951278004251219,0.3575105878436177,0.5377871295954086,0.042173811198253995,0.2545710549493436,0.9999999999999977,0.5657579775468753,0.5657579775468781
principal_5pct,2015-01,2015-01-30,Profuturo,estricto,0.9955363284183318,0.4483685280234573,3405711.9822542835,5397129.861704912,58,46,12,0.978426885131871,0.021573114868125798,0.9169127181890494,0.0572024450718977,0.0,0.0133965780384268,0.012488258700623102,0.1022494679760582,0.3777999002664432,0.5752531430861729,0.0442285962908743,0.23442128796090037,0.9999999999999969,0.631022797212893,0.6310227972128959
principal_5pct,2015-02,2015-02-27,Habitat,estricto,1.0200660670674164,1.96713406270872,68999.0067603531,109141.202694716,41,41,0,0.9999999999999979,0.0,0.8622771287154201,0.0281074341106437,0.0,0.1096154371739342,0.0,0.127815825610574,0.4486691328997266,0.6752539204983992,0.05937437608519692,0.23585893684903764,0.9999999999999979,0.6321994357470412,0.632199435747043
principal_5pct,2015-02,2015-02-27,Integra,estricto,1.0185319725443664,1.819478724666068,5349101.317381278,8638383.194662321,81,72,9,0.9621626331193355,0.0378373668806613,0.6995795186709439,0.0616856115024607,0.0,0.2371348096632189,0.0016000601633731999,0.1225444182519626,0.35855817962482633,0.5565723501345251,0.04480809750844447,0.16357250592529507,0.9999999999999968,0.6192248244655869,0.6192248244655899
principal_5pct,2015-02,2015-02-27,Prima,estricto,1.0164677616862696,1.620096800605897,4908542.60366562,8241739.896272887,53,46,7,0.9406410460622533,0.05935895393774399,0.7583403411186643,0.0394518299244891,0.0,0.202207828956844,0.0,0.0945343412944159,0.32818857143528773,0.5299182265165928,0.04052305825786597,0.24856982615754264,0.9999999999999972,0.595571161604525,0.5955711616045274
principal_5pct,2015-02,2015-02-27,Profuturo,estricto,1.0073252410905833,0.727197214144315,3571793.6753761773,5595425.418597999,55,43,12,0.9787603223527743,0.0212396776472232,0.6981676324954,0.034332843025590504,0.0,0.2664387143373631,0.0010608101416439,0.1096551146485158,0.42559715179071855,0.5994726996995592,0.05078732600635315,0.24771917941857438,0.9999999999999976,0.638341753873492,0.6383417538734942
principal_5pct,2015-03,2015-03-31,Habitat,estricto,1.0033600477135698,0.3348795600568999,71993.8719910647,110835.6072428368,45,45,0,0.9999999999999973,0.0,0.9722049748965691,0.0277950251034283,0.0,0.0,0.0,0.1186896995416392,0.43016246998120156,0.6445687630942333,0.05486552419734337,0.2378659823679165,0.9999999999999973,0.649555443255059,0.649555443255061
principal_5pct,2015-03,2015-03-31,Integra,operativo,1.02236992000269,2.1880455953390165,5221484.189117448,8496595.532139499,81,72,9,0.9610763411226855,0.03892365887731179,0.8711656351647874,0.06632606154661225,0.0355484255985872,0.0004436204965585,0.026516257193451936,0.1280145600916117,0.3668170067030357,0.5700464835468638,0.04615778109598992,0.17899600564727922,0.9999999999999973,0.6145383959218098,0.6145383959218127
