factor_1,factor_2,correlacion_train
ret_IDX_PEN_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,ret_IDX_PEN_ESTADOS_UNIDOS_NASDAQ_100,0.9950212764641934
ret_IDX_PEN_INDIA_NIFTY_50,ret_IDX_PEN_INDIA_BSE_SENSEX,0.9978046740255067
