factor,coef_estandarizado,coef_original,coef_abs_estandarizado,valor_factor,contribucion_retorno,contribucion_puntos_pct,afp,metodo,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion
peru_usd,0.0013251935667190219,0.09333261866386951,0.0013251935667190219,0.0126121868430044,0.0011771284251356018,0.11771284251356018,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,1
tecnologia_usd,0.0005018529858918069,0.03512770565320014,0.0005018529858918069,0.0275605442501583,0.0009681386860615584,0.09681386860615583,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,2
emergentes_usd,0.0005107527977094511,0.04116155192433629,0.0005107527977094511,0.0145336401082349,0.0005982271819647274,0.05982271819647274,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,3
mercado_global_usd,0.0006133412102327264,0.05988046810306486,0.0006133412102327264,0.0073802710976105,0.00044193408805243703,0.0441934088052437,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,4
mineras_cobre_usd,0.0005590483746550424,0.025478513028279803,0.0005590483746550424,0.0162398124059357,0.00041376627196145274,0.04137662719614527,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,5
vix,-0.00045134179795623685,-0.005591157606608478,0.00045134179795623685,-0.0679886051856325,0.0003801350070463498,0.03801350070463498,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,6
bonos_tesoro_usd,-8.307865360245207e-05,-0.00932688777643534,8.307865360245207e-05,-0.0117781260146612,0.00010985325955545864,0.010985325955545864,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,7
fx_usdpen,-6.226787673532165e-05,-0.00487764274403092,6.226787673532165e-05,0.0200904493159528,-9.799403433027813e-05,-0.009799403433027813,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,8
spread_credito_usd,-5.3286801541088315e-05,-0.010853702580753999,5.3286801541088315e-05,0.005242957081523799,-5.690549680651731e-05,-0.005690549680651731,Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,0.026219478310062643,9
peru_pen,0.001130291071206163,0.06046087584410563,0.001130291071206163,0.0329560206594901,0.001992549873409211,0.1992549873409211,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,1
mineras_cobre_pen,0.000857868843951335,0.034119016204607215,0.000857868843951335,0.0366565268499305,0.0012506846335973982,0.1250684633597398,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,2
vix,-0.0010653146879048138,-0.013196965908502622,0.0010653146879048138,-0.0679886051856325,0.0008972433048014367,0.08972433048014368,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,3
tecnologia_pen,0.0003286576574280041,0.017458055618138256,0.0003286576574280041,0.048204697283489,0.000841560286230669,0.0841560286230669,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,4
bonos_tesoro_pen,-0.0011348077143848072,-0.07313511745845062,0.0011348077143848072,0.0080756954575571,-0.0005906169358471147,-0.05906169358471147,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,5
emergentes_pen,0.00028369946388004266,0.016253039244136836,0.00028369946388004266,0.0349160767841585,0.0005674923662242232,0.056749236622422324,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,6
spread_credito_pen,-4.39259426869496e-05,-0.008989973258860485,4.39259426869496e-05,0.005348290445035701,-4.808098808149e-05,-0.004808098808149,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,7
mercado_global_pen,-1.9324285418650997e-05,-0.0012131078082158742,1.9324285418650997e-05,0.0276189933759878,-3.350481651947331e-05,-0.003350481651947331,Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,0.02927375034909935,8
mercado_global,0.0018918374282594179,0.18469998247156386,0.0018918374282594179,0.0073802710976105,0.0013631359423640487,0.13631359423640488,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,1
vix,-0.000839130274202038,-0.010395025758272674,0.000839130274202038,-0.0679886051856325,0.000706743302173681,0.07067433021736809,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,2
emergentes_extra,0.000538224872102597,0.0831899502620921,0.000538224872102597,0.007016752145032654,0.0005837232619466944,0.05837232619466944,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,3
peru_extra,0.0012044831965181964,0.1132917586299509,0.0012044831965181964,0.0022963840902201164,0.0002601613920708768,0.02601613920708768,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,4
tecnologia_extra,7.422709752272356e-05,0.011767243186182929,7.422709752272356e-05,0.018021645982582577,0.00021206509089234578,0.02120650908923458,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,5
spread_credito,0.00016655938435416778,0.03392558696583962,0.00016655938435416778,0.005242957081523799,0.00017787039642740032,0.017787039642740032,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,6
fx_usdpen,-6.812496665825106e-05,-0.0053364474064276956,6.812496665825106e-05,0.0200904493159528,-0.00010721162614608339,-0.01072116261460834,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,7
bonos_tesoro,-3.985404405271749e-05,-0.004474244347958898,3.985404405271749e-05,-0.0117781260146612,5.2698213750645536e-05,0.005269821375064553,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,8
cobre_extra,8.256845745738778e-05,0.006672502355077434,8.256845745738778e-05,-0.0028156294313177108,-1.8787294011492762e-05,-0.0018787294011492763,Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,0.03163035895372736,9
peru_usd,0.0012760973468489245,0.08987480021224638,0.0012760973468489245,0.0126121868430044,0.0011335177727545428,0.11335177727545427,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,1
tecnologia_usd,0.0004962844978392817,0.034737933718507225,0.0004962844978392817,0.0275605442501583,0.0009573963594079844,0.09573963594079844,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,2
emergentes_usd,0.0006921114684163807,0.05577724150001722,0.0006921114684163807,0.0145336401082349,0.0008106463541913545,0.08106463541913544,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,3
mercado_global_usd,0.0006541801888843935,0.06386757530817992,0.0006541801888843935,0.0073802710976105,0.0004713600201214223,0.04713600201214223,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,4
vix,-0.000475635981108995,-0.005892110471036191,0.000475635981108995,-0.0679886051856325,0.0004005963725254107,0.040059637252541073,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,5
mineras_cobre_usd,0.000530910024143355,0.024196113574835896,0.000530910024143355,0.0162398124059357,0.0003929403454080492,0.03929403454080492,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,6
bonos_tesoro_usd,-0.00014030756987987414,-0.015751735273852836,0.00014030756987987414,-0.0117781260146612,0.00018552592300502253,0.018552592300502255,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,7
spread_credito_usd,-0.00012142038666425233,-0.02473146681693345,0.00012142038666425233,0.005242957081523799,-0.00012966601908431208,-0.012966601908431208,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,8
fx_usdpen,-1.3362364115392277e-05,-0.0010467168914010925,1.3362364115392277e-05,0.0200904493159528,-2.102901265484532e-05,-0.002102901265484532,Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,0.014398759240542616,9
peru_pen,0.0019929001630344203,0.1066030621637498,0.0019929001630344203,0.0329560206594901,0.0035132127190334456,0.35132127190334456,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,1
tecnologia_pen,0.0008053590937044501,0.04278008904613975,0.0008053590937044501,0.048204697283489,0.0020622012422298703,0.20622012422298702,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,2
emergentes_pen,0.0008070888466955004,0.04623782688709512,0.0008070888466955004,0.0349160767841585,0.0016144435139224416,0.16144435139224417,Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,0.01745532819622528,3
