fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado
2015-01-30,CA-0001-en2015.XLS,10,97,Integra,3,7116.4892398438,miles_soles,0.0008471437040233,40,TIT.EMP.PUB.EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,0.0710428945976487,0.0847143704023306,2015-01,TIT.EMP.PUB.EXT,fondo_sin_isin,7116.48924
2015-01-30,CA-0001-en2015.XLS,10,100,Integra,3,34795.4148944073,miles_soles,0.004142030664733,42,BON SIS FIN EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,0.3473576519985147,0.4142030664733067,2015-01,BON SIS FIN EXT,fondo_sin_isin,34795.414894
2015-01-30,CA-0001-en2015.XLS,10,194,Integra,3,4522320.241115091,miles_soles,0.5383349838272081,78,FONDO MUTUO EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,45.14567638598788,53.83349838272081,2015-01,FONDO MUTUO EXT,fondo_sin_isin,4522320.241115
2015-01-30,CA-0001-en2015.XLS,10,345,Integra,3,196035.53445303463,miles_soles,0.0233359825582167,116,FMAE,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,1.9569947121632083,2.333598255821678,2015-01,FMAE,fondo_sin_isin,196035.534453
2015-01-30,CA-0001-en2015.XLS,10,387,Integra,3,3935.7993587,miles_soles,0.0004685157996662,158,DEP ON CMS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,0.039290522274963,0.0468515799666248,2015-01,DEP ON CMS,fondo_sin_isin,3935.799359
2015-01-30,CA-0001-en2015.XLS,10,394,Integra,3,3935.7993587,miles_soles,0.0004685157996662,165,Skandinaviska E,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,0.039290522274963,0.0468515799666248,2015-01,Skandinaviska E,fondo_sin_isin,3935.799359
2015-01-30,CA-0001-en2015.XLS,10,395,Integra,3,3935.7993587,miles_soles,0.0004685157996662,166,USD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,10017172.414142208,0.039290522274963,0.0468515799666248,2015-01,USD,fondo_sin_isin,3935.799359
2015-01-30,CA-0001-en2015.XLS,10,6,Prima,3,10085.3916762345,miles_soles,0.0012558464533257,1,CTA CTE EXT,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.110537001376699,0.1255846453325718,2015-01,CTA CTE EXT,fondo_sin_isin,10085.391676
2015-01-30,CA-0001-en2015.XLS,10,7,Prima,3,10085.3916762345,miles_soles,0.0012558464533257,2,BROWN BROTHERS,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,0.110537001376699,0.1255846453325718,2015-01,BROWN BROTHERS,fondo_sin_isin,10085.391676
2015-01-30,CA-0001-en2015.XLS,10,11,Prima,3,0.0022684027,miles_soles,2.8246453652587383e-10,6,CAD,,,,entidad_sin_isin,,entidad_sin_isin_pendiente,,9123996.08332462,2.486194293907933e-08,2.824645365258738e-08,2015-01,CAD,fondo_sin_isin,0.002268
