fecha,afp,valor_cuota,variacion_porcentual,fuente_tipo
2022-10-03,Integra,49.6873475,8.426448962375277,mensual_sbs
2024-08-05,Prima,44.8239285,-5.338975210368069,mensual_sbs
2020-03-12,Prima,34.42049,-5.122964744633862,mensual_sbs
