fecha_cuota,afp,tipo_fondo,cuota_sbs,fuente
2026-06-22,Habitat,3,34.2627474,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-22,Integra,3,74.0760815,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-22,Prima,3,67.3691678,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-22,Profuturo,3,72.766161,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-23,Habitat,3,33.2654714,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-23,Integra,3,71.3360771,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-23,Prima,3,64.7777094,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-23,Profuturo,3,70.9600594,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-24,Habitat,3,33.0983887,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-24,Integra,3,71.1290286,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-24,Prima,3,64.5050353,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-24,Profuturo,3,70.7652183,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-25,Habitat,3,33.4136279,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-25,Integra,3,72.0405519,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-25,Prima,3,65.3616475,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-25,Profuturo,3,71.4791849,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-26,Habitat,3,33.1006036,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-26,Integra,3,71.0881743,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-26,Prima,3,64.5121925,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-26,Profuturo,3,71.1445756,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-29,Habitat,3,33.1735992,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-29,Integra,3,71.3522784,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-29,Prima,3,64.8337666,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-29,Profuturo,3,71.2934767,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-30,Habitat,3,33.5370629,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-30,Integra,3,72.3284597,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-30,Prima,3,65.7918163,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-06-30,Profuturo,3,71.9348302,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-01,Habitat,3,33.1019868,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-01,Integra,3,70.968107,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-01,Prima,3,64.5091479,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-01,Profuturo,3,70.9226332,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-02,Habitat,3,32.8852411,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-02,Integra,3,70.2858522,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-02,Prima,3,63.9206382,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-02,Profuturo,3,70.3358541,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-03,Habitat,3,32.9033232,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-03,Integra,3,70.3888031,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-03,Prima,3,63.9694471,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-03,Profuturo,3,70.3944744,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-06,Habitat,3,33.3286403,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-06,Integra,3,71.2425063,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-06,Prima,3,64.8574126,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
2026-07-06,Profuturo,3,71.3369613,https://www.sbs.gob.pe/app/spp/variablesSPP_net/PagSS/variables_spp.aspx
