fecha,afp,retorno_real,retorno_predicho,segmento
2024-02-26,Habitat,0.0019222664572737802,-0.0020451813264365146,prueba_intocable
2024-02-27,Habitat,-0.0002943195237536944,0.0030966488008757793,prueba_intocable
2024-02-28,Habitat,-0.0028007562377548867,-0.002285381981037021,prueba_intocable
2024-02-29,Habitat,0.0004234486753136313,0.0007427630881896013,prueba_intocable
2024-03-01,Habitat,0.0022815748209255027,0.0026519982437643716,prueba_intocable
2024-03-04,Habitat,0.0033835428018016422,-0.0020054609992762617,prueba_intocable
2024-03-05,Habitat,-0.00472275024283475,-0.0013388879727712546,prueba_intocable
2024-03-06,Habitat,0.0021329726973080554,0.0018520250460371808,prueba_intocable
2024-03-07,Habitat,0.0012981996551719721,0.001710892616867386,prueba_intocable
2024-03-08,Habitat,-0.005123098941332227,-0.0013183700939674884,prueba_intocable
2024-03-11,Habitat,-0.0010267827267891327,0.0011184258248303051,prueba_intocable
2024-03-12,Habitat,0.0020984939944472814,0.0026045462767537017,prueba_intocable
2024-03-13,Habitat,0.001167143825787198,0.005381969434382448,prueba_intocable
2024-03-14,Habitat,-0.00041057121088949877,-0.001220655663134987,prueba_intocable
2024-03-15,Habitat,0.00024343674680782357,0.0025618257627363647,prueba_intocable
2024-03-18,Habitat,0.005180512848205643,-0.0010564277323004212,prueba_intocable
2024-03-19,Habitat,-0.004202196997884378,0.0009350176656153569,prueba_intocable
2024-03-20,Habitat,0.004343356849127344,0.0034598126843909814,prueba_intocable
2024-03-21,Habitat,0.0005550947493080383,-8.731361969939531e-05,prueba_intocable
2024-03-22,Habitat,0.0034323066054442464,-0.0020465324259097057,prueba_intocable
2024-03-25,Habitat,-0.0013455750675547273,-0.0006423789453776161,prueba_intocable
2024-03-26,Habitat,-0.008302291110609872,0.0009380308428169029,prueba_intocable
2024-03-27,Habitat,-0.010418747411144014,0.002206860447257764,prueba_intocable
2024-03-28,Habitat,0.00020163296155417676,0.001910366517762961,prueba_intocable
2024-04-02,Habitat,-0.005392904124236431,0.0006974283441239096,prueba_intocable
2024-04-03,Habitat,-0.001318825994413908,0.002245396561912366,prueba_intocable
2024-04-04,Habitat,-0.011139673241167714,-0.0022155417352401415,prueba_intocable
2024-04-05,Habitat,-0.019399649822493203,-7.577619886821356e-05,prueba_intocable
2024-04-08,Habitat,-0.0006346591467241147,0.0016113149096534604,prueba_intocable
2024-04-09,Habitat,0.0012000976366373095,0.0022846278568872634,prueba_intocable
2024-04-10,Habitat,0.0014368253879903925,0.00018247173436551812,prueba_intocable
2024-04-11,Habitat,-0.0011857044808564199,0.00118352634938238,prueba_intocable
2024-04-12,Habitat,-0.00385065200746737,-0.004659491232013141,prueba_intocable
2024-04-15,Habitat,-0.0012002654605678398,-0.0010972637514585317,prueba_intocable
2024-04-16,Habitat,-0.001323646057886596,0.001623040655703081,prueba_intocable
2024-04-17,Habitat,-0.0010087892284185163,0.0018725270472116228,prueba_intocable
2024-04-18,Habitat,-0.0006267472670973273,0.0013524122954743768,prueba_intocable
2024-04-19,Habitat,-0.003965502248598041,0.0001248185148762006,prueba_intocable
2024-04-22,Habitat,0.009627492316584885,7.896547800912454e-05,prueba_intocable
2024-04-23,Habitat,0.00787768737521466,0.0009052442224587618,prueba_intocable
2024-04-24,Habitat,0.008114458055080265,0.0008029767093820051,prueba_intocable
2024-04-25,Habitat,0.006637832735191473,0.003655800613412474,prueba_intocable
2024-04-26,Habitat,0.0027836761680601896,0.003598553235895183,prueba_intocable
2024-04-29,Habitat,0.0023677191117277285,0.0009405838193304811,prueba_intocable
2024-04-30,Habitat,0.0043963701792197885,-0.0038476227030559327,prueba_intocable
2024-05-01,Habitat,-0.0037761313341667657,0.0007440107515909815,prueba_intocable
2024-05-02,Habitat,0.0008440816080521607,0.0022928849975820892,prueba_intocable
2024-05-03,Habitat,0.005022285598152765,0.003065022251562372,prueba_intocable
2024-05-06,Habitat,0.005822402895138135,-0.00011965451257260699,prueba_intocable
2024-05-07,Habitat,-0.004173601882197953,0.0016690719227393555,prueba_intocable
2024-05-08,Habitat,0.0034084154077171913,-0.0006667519268083461,prueba_intocable
2024-05-09,Habitat,-0.0003058278108354351,0.0034235117183490766,prueba_intocable
2024-05-10,Habitat,0.007876787821512687,0.0008385097083763904,prueba_intocable
2024-05-13,Habitat,0.0010563359830511043,-0.0017290283137432446,prueba_intocable
2024-05-14,Habitat,0.00459714717872628,0.003129721145341952,prueba_intocable
2024-05-15,Habitat,0.006791043146471054,0.0013417263561902718,prueba_intocable
2024-05-16,Habitat,0.003271014363301017,0.0007761360110649432,prueba_intocable
2024-05-17,Habitat,0.005045453604766159,0.004367679875482928,prueba_intocable
2024-05-20,Habitat,0.002224312389523586,0.00032167492758888215,prueba_intocable
2024-05-21,Habitat,0.001692797801942536,-0.0007395688446847006,prueba_intocable
2024-05-22,Habitat,-0.002662329030951649,-0.004859449113719651,prueba_intocable
