fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,participacion_reportada_pct,fuente_detalle,identificador_final,categoria_final,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct,valor_abs,ranking
2026-01-30,CA-0001-en2026.XLS,10,145,Habitat,3,302810.6071,miles_soles,0.060729320865548365,,,,USD,isin,,2710476.0101406495,,6.072932086554837,hoja_10,US4642875235,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642875235,,isin,,,11.17186080847426,302810.6071,1
2026-01-30,CA-0001-en2026.XLS,10,189,Habitat,3,252748.06893327998,miles_soles,0.05068917077705927,,,,USD,isin,,2710476.0101406495,,5.068917077705927,hoja_10,US92189F6768,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F6768,,isin,,,9.324859101784288,252748.06893327998,2
2026-01-30,CA-0001-en2026.XLS,10,188,Habitat,3,220009.09938240002,miles_soles,0.04412329976711073,,,,USD,isin,,2710476.0101406495,,4.412329976711073,hoja_10,US92189F1066,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F1066,,isin,,,8.116991205946276,220009.09938240002,3
2026-01-30,CA-0001-en2026.XLS,10,314,Habitat,3,188616.32333840002,miles_soles,0.03782741077070319,,,,USD,isin,,2710476.0101406495,,3.7827410770703187,hoja_10,US5007673065,"Krane Funds Advisors, LLC",125.0,"Krane Funds Advisors, LLC",US5007673065,,isin,,,6.958789623399491,188616.32333840002,4
2026-01-30,CA-0001-en2026.XLS,10,371,Habitat,3,99744.621732,miles_soles,0.020003999185454476,,,,USD,isin,,2710476.0101406495,,2.0003999185454475,hoja_10,US37954Y8488,Global X Management Company LLC,147.0,Global X Management Company LLC,US37954Y8488,,isin,,,3.6799669636929986,99744.621732,5
2026-01-30,CA-0001-en2026.XLS,10,163,Habitat,3,80742.30025428919,miles_soles,0.0161930425969057,,,,JPY,isin,,2710476.0101406495,,1.61930425969057,hoja_10,LU0102000758,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,76.0,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,,isin,,,2.978897431750351,80742.30025428919,6
2026-01-30,CA-0001-en2026.XLS,10,254,Habitat,3,78475.62023886161,miles_soles,0.0157384550272207,,,,USD,isin,,2710476.0101406495,,1.57384550272207,hoja_10,US33741X1028,First Trust Advisors L.P.,103.0,First Trust Advisors L.P.,US33741X1028,,isin,,,2.8952707917451526,78475.62023886161,7
2026-01-30,CA-0001-en2026.XLS,10,370,Habitat,3,77748.3733752,miles_soles,0.015592604098963144,,,,USD,isin,,2710476.0101406495,,1.5592604098963145,hoja_10,US37954Y8306,Global X Management Company LLC,147.0,Global X Management Company LLC,US37954Y8306,,isin,,,2.868439826964768,77748.3733752,8
2026-01-30,CA-0001-en2026.XLS,10,191,Habitat,3,60382.0071792,miles_soles,0.01210974187334365,,,,USD,isin,,2710476.0101406495,,1.210974187334365,hoja_10,US92189H6071,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189H6071,,isin,,,2.227727046957583,60382.0071792,9
2026-01-30,CA-0001-en2026.XLS,10,571,Habitat,3,60123.3382703284,miles_soles,0.012057865265336925,,,,EUR,isin,,2710476.0101406495,,1.2057865265336924,hoja_10,PRIVFAEAIP4B,Antin Infrastructure Partners IV Luxembourg G,297.0,Antin Infrastructure Partners IV Luxembourg G,PRIVFAEAIP4B,,isin,,,2.218183745046632,60123.3382703284,10
2026-01-30,CA-0001-en2026.XLS,10,204,Habitat,3,60042.9607232,miles_soles,0.01204174537476673,,,,USD,isin,,2710476.0101406495,,1.204174537476673,hoja_10,US97717Y5437,WisdomTree Asset Management Inc.,88.0,WisdomTree Asset Management Inc.,US97717Y5437,,isin,,,2.215218304776079,60042.9607232,11
2026-01-30,CA-0001-en2026.XLS,10,160,Habitat,3,55815.142656,miles_soles,0.01119384733571501,,,,USD,isin,,2710476.0101406495,,1.119384733571501,hoja_10,US4642891802,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642891802,,isin,,,2.0592376559386594,55815.142656,12
2026-01-30,CA-0001-en2026.XLS,10,538,Habitat,3,55668.9752350768,miles_soles,0.011164533143948921,,,,USD,isin,,2710476.0101406495,,1.116453314394892,hoja_10,PRIVFAEEQTI4,EQT Infrastructure IV (GP) SCS,281.0,EQT Infrastructure IV (GP) SCS,PRIVFAEEQTI4,,isin,,,2.053844971392611,55668.9752350768,13
2026-01-30,CA-0001-en2026.XLS,10,153,Habitat,3,54688.528132,miles_soles,0.010967902361148155,,,,USD,isin,,2710476.0101406495,,1.0967902361148154,hoja_10,US4642867729,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642867729,,isin,,,2.017672465183049,54688.528132,14
2026-01-30,CA-0001-en2026.XLS,10,253,Habitat,3,51804.5060272,miles_soles,0.010389505502916918,,,,USD,isin,,2710476.0101406495,,1.0389505502916918,hoja_10,US33738R7044,First Trust Advisors L.P.,103.0,First Trust Advisors L.P.,US33738R7044,,isin,,,1.9112696748978717,51804.5060272,15
2026-01-30,CA-0001-en2026.XLS,10,362,Habitat,3,48834.697114123206,miles_soles,0.009793903915116376,,,,USD,isin,,2710476.0101406495,,0.9793903915116376,hoja_10,LU2301227331,Carne Global Fund Managers (Luxembourg) S.A.,143.0,Carne Global Fund Managers (Luxembourg) S.A.,LU2301227331,,isin,,,1.801701875663866,48834.697114123206,16
2026-01-30,CA-0001-en2026.XLS,10,185,Habitat,3,48169.2725338731,miles_soles,0.009660451579239364,,,,EUR,isin,,2710476.0101406495,,0.9660451579239363,hoja_10,LU0106820292,SCHRODER INVESTMENT MANAGEMENT,84.0,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,,isin,,,1.7771517753213224,48169.2725338731,17
2026-01-30,CA-0001-en2026.XLS,10,594,Habitat,3,43593.3066561343,miles_soles,0.008742731745312845,,,,EUR,isin,,2710476.0101406495,,0.8742731745312845,hoja_10,PRIVFAEEQTI5,EQT Infrastructure V (General Partner) S.à.r.,308.0,EQT Infrastructure V (General Partner) S.à.r.,PRIVFAEEQTI5,,isin,,,1.6083265999418381,43593.3066561343,18
2026-01-30,CA-0001-en2026.XLS,10,181,Habitat,3,42728.0229009148,miles_soles,0.008569197220503024,,,,USD,isin,,2710476.0101406495,,0.8569197220503024,hoja_10,LU024805611X,JP MORGAN FLEMING FUNDS SICAV,82.0,JP MORGAN FLEMING FUNDS SICAV,LU024805611X,,isin,,,1.5764029174601548,42728.0229009148,19
2026-01-30,CA-0001-en2026.XLS,10,343,Habitat,3,40182.3161995584,miles_soles,0.008058650246680555,,,,USD,isin,,2710476.0101406495,,0.8058650246680555,hoja_10,LU2134542260,BlackRock Luxembourg S.A.,135.0,BlackRock Luxembourg S.A.,LU2134542260,,isin,,,1.4824818979848968,40182.3161995584,20
2026-01-30,CA-0001-en2026.XLS,10,189,Integra,3,289571.633968,miles_soles,0.0852271992292309,,,,USD,isin,,2093586.452720453,,8.52271992292309,hoja_10,US92189F6768,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F6768,,isin,,,13.831367393103072,289571.633968,1
2026-01-30,CA-0001-en2026.XLS,10,339,Integra,3,174887.25636000003,miles_soles,0.05147310472438899,,,,USD,isin,,2093586.452720453,,5.1473104724389,hoja_10,US46090E1038,Invesco Capital Management LLC,134.0,Invesco Capital Management LLC,US46090E1038,,isin,,,8.353476692244909,174887.25636000003,2
2026-01-30,CA-0001-en2026.XLS,10,146,Integra,3,130524.468928,miles_soles,0.03841617621581516,,,,USD,isin,,2093586.452720453,,3.841617621581516,hoja_10,US46434G1031,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US46434G1031,,isin,,,6.234491475543969,130524.468928,3
2026-01-30,CA-0001-en2026.XLS,10,531,Integra,3,115595.997294296,miles_soles,0.03402240390918718,,,,USD,fondo_sin_isin_pareja_exacta,,2093586.452720453,,3.4022403909187178,hoja_10,"Hellman & Friedman Capital Partners IX, L.P.","Hellman & Friedman Investors IX, L.P.",277.0,"Hellman & Friedman Investors IX, L.P.",,,entidad_sin_isin,"Hellman & Friedman Capital Partners IX, L.P.",532.0,5.521434146848246,115595.997294296,4
2026-01-30,CA-0001-en2026.XLS,10,385,Integra,3,106969.023239232,miles_soles,0.031483298726607045,,,,EUR,isin,,2093586.452720453,,3.1483298726607045,hoja_10,DE0006289309,BlackRock Asset Management (Deutschland) AG,154.0,BlackRock Asset Management (Deutschland) AG,DE0006289309,,isin,,,5.109367377699357,106969.023239232,5
2026-01-30,CA-0001-en2026.XLS,10,188,Integra,3,93561.62544,miles_soles,0.027537211370871874,,,,USD,isin,,2093586.452720453,,2.7537211370871875,hoja_10,US92189F1066,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F1066,,isin,,,4.468964026702787,93561.62544,6
