fecha_mercado,SPY,QQQ,IWM,DIA,VT,ACWI,EFA,IEFA,EEM,VWO,ILF,EPU,EWZ,EWW,ECH,ARGT,GXG,INDA,MCHI,EWY,EWT,EWJ,EWG,EWU,XLB,XLI,XLF,XLK,XLE,XLY,XLP,XLV,XLU,XLC,VNQ,COPX,PICK,REMX,LIT,URA,SLX,ICLN,GLD,SLV,GDX,GDXJ,USO,BNO,CPER,DBA,SHY,IEF,TLT,TIP,LQD,HYG,EMB,AGG,BNDX,SCCO,BVN,BAP,FCX,NEM,RIO,BHP,VALE,^VIX,^TNX,^FVX,^IRX,PEN=X,DX-Y.NYB,EURUSD=X,JPY=X,BRL=X,CLP=X,COP=X,MXN=X
2014-12-16,162.5789031982422,91.50112915039062,97.40348052978516,135.33213806152344,45.29619216918945,45.21337127685547,42.55437088012695,38.603450775146484,28.9713134765625,27.15286636352539,17.385713577270508,21.355226516723633,19.244556427001953,41.13520431518555,26.803009033203125,15.81490707397461,28.113798141479492,25.10129737854004,38.19785690307617,44.93329620361328,16.958965301513672,35.60838317871094,20.702926635742188,22.486234664916992,18.24386978149414,44.36420822143555,15.456979751586914,17.34227752685547,23.458871841430664,30.073808670043945,34.67641830444336,55.55046463012695,15.589710235595703,,49.79646682739258,16.348264694213867,17.78868865966797,50.359527587890625,18.949735641479492,15.414985656738281,22.212915420532227,7.709051609039307,114.94999694824219,15.079999923706055,15.274733543395996,18.094276428222656,170.39999389648438,23.479999542236328,19.260000228881836,21.5585994720459,68.75689697265625,82.96129608154297,93.03135681152344,83.50440216064453,79.8486557006836,47.14094543457031,61.12808609008789,80.43888092041016,38.32494354248047,16.802370071411133,8.244024276733398,88.57926177978516,18.566652297973633,13.822904586791992,18.15865135192871,19.645784378051758,3.291093587875366,23.56999969482422,2.071000099182129,1.5260000228881836,0.029999999329447746,2.9600000381469727,88.12999725341797,1.2443537712097168,117.74099731445312,2.6921000480651855,618.5499877929688,24.25,14.749259948730469
2014-12-17,165.76625061035156,93.16678619384766,100.4100570678711,137.50257873535156,46.16590881347656,45.97997283935547,43.06303787231445,38.96905517578125,29.637279510498047,27.995311737060547,18.156709671020508,21.92479133605957,20.176773071289062,42.296512603759766,27.65608787536621,16.104684829711914,29.948345184326172,25.896692276000977,39.0938835144043,44.668914794921875,17.07621192932129,36.2059326171875,20.937238693237305,22.781591415405273,18.74154281616211,44.77791213989258,15.809317588806152,17.668838500976562,24.43197250366211,30.648849487304688,35.18108367919922,56.58955001831055,15.867361068725586,,50.94029235839844,17.014570236206055,18.17831039428711,51.50169372558594,19.154409408569336,15.779754638671875,23.041658401489258,7.676998138427734,114.2699966430664,15.100000381469727,16.060800552368164,19.383716583251953,170.72000122070312,23.760000228881836,19.260000228881836,21.541406631469727,68.69193267822266,82.38841247558594,92.19293975830078,83.11285400390625,79.86874389648438,48.101261138916016,62.66728591918945,80.33694458007812,38.32494354248047,17.214698791503906,8.41767692565918,92.68101501464844,19.39027976989746,14.382658004760742,19.02643585205078,20.10609245300293,3.3892650604248047,19.440000534057617,2.1480000019073486,1.6119999885559082,0.019999999552965164,2.9670000076293945,89.12999725341797,1.2512043714523315,116.61299896240234,2.7351999282836914,620.25,2399.0,14.58473014831543
2014-12-18,169.86550903320312,95.40901184082031,101.90469360351562,140.82936096191406,46.97353744506836,46.9802360534668,43.831390380859375,39.713008880615234,30.04230499267578,28.427337646484375,18.621665954589844,22.473257064819336,20.539745330810547,43.90987014770508,28.009477615356445,16.280305862426758,30.591617584228516,26.42519760131836,39.31989669799805,44.56381607055664,17.12264633178711,36.78419494628906,21.24714469909668,23.30810546875,19.168107986450195,45.90547180175781,16.174694061279297,18.17390251159668,24.90108299255371,31.153671264648438,35.8539924621582,58.13996887207031,16.17928695678711,,51.29654312133789,17.395315170288086,18.419565200805664,52.66463851928711,19.13735580444336,16.009424209594727,23.204795837402344,7.86932373046875,115.1500015258789,15.25,16.75754737854004,20.89227294921875,165.9199981689453,23.270000457763672,19.200000762939453,21.902433395385742,68.65132141113281,81.92389678955078,90.55243682861328,82.5884017944336,79.94905090332031,48.486446380615234,63.53772735595703,80.12592315673828,38.28156280517578,17.813867568969727,8.847245216369629,94.9889907836914,19.99486541748047,15.074576377868652,19.13436508178711,20.279796600341797,3.5575597286224365,16.809999465942383,2.2039999961853027,1.659000039100647,0.032999999821186066,2.9519999027252197,89.23999786376953,1.2338976860046387,118.7959976196289,2.7119998931884766,617.4000244140625,2317.0,14.54916000366211
2014-12-19,170.58816528320312,95.8288345336914,102.13665008544922,141.0222930908203,47.12883377075195,47.108272552490234,43.895423889160156,39.74134826660156,30.25261688232422,28.56415367126465,18.93113136291504,22.381847381591797,20.747159957885742,43.99164962768555,27.804515838623047,16.4559326171875,31.97349739074707,26.28426742553711,39.48134994506836,44.701263427734375,17.273555755615234,36.976959228515625,21.03550148010254,23.53926658630371,19.404205322265625,46.163238525390625,16.185184478759766,18.194040298461914,25.696828842163086,31.238739013671875,35.81715774536133,58.280670166015625,16.20592498779297,,51.27156448364258,17.63327980041504,18.78144073486328,52.93460464477539,19.171470642089844,15.914850234985352,23.889976501464844,7.825263500213623,114.7699966430664,15.390000343322754,16.552093505859375,20.3528995513916,175.67999267578125,24.309999465942383,19.489999771118164,21.868051528930664,68.60255432128906,82.22578430175781,91.77001953125,82.99466705322266,79.90892791748047,48.953041076660156,64.2006607055664,80.25688934326172,38.33214569091797,17.949167251586914,8.764986991882324,92.95563507080078,20.503053665161133,14.86467456817627,19.59200096130371,21.01369285583496,3.805326461791992,16.489999771118164,2.1760001182556152,1.6540000438690186,0.02500000037252903,2.937999963760376,89.5999984741211,1.229044795036316,118.93800354003906,2.6593000888824463,613.6500244140625,2299.0,14.579509735107422
2014-12-22,171.3729248046875,96.06765747070312,102.83245086669922,142.379638671875,47.4007682800293,47.388343811035156,44.108848571777344,39.91849136352539,30.673227310180664,28.93587875366211,18.901378631591797,22.248245239257812,21.092849731445312,44.07343673706055,27.804515838623047,16.37689971923828,32.09261703491211,26.583751678466797,40.23207092285156,45.21868896484375,17.447683334350586,36.88058090209961,21.28493881225586,23.629159927368164,19.41612434387207,46.60375213623047,16.296669006347656,18.412872314453125,25.4352970123291,31.54288673400879,36.16340255737305,57.726104736328125,16.247419357299805,,52.12875747680664,17.395315170288086,18.817628860473633,52.48335647583008,19.273807525634766,16.090484619140625,23.397363662719727,7.866060733795166,112.55000305175781,14.989999771118164,15.69881820678711,18.87389373779297,167.36000061035156,23.469999313354492,19.489999771118164,21.747709274291992,68.61875915527344,82.22578430175781,91.89398193359375,83.07595825195312,80.16328430175781,48.83363723754883,64.304443359375,80.38060760498047,38.38273620605469,17.607704162597656,8.298861503601074,93.3237533569336,19.75828742980957,14.118326187133789,19.233661651611328,20.59246063232422,3.781952142715454,15.25,2.1619999408721924,1.659000039100647,0.014999999664723873,2.9570000171661377,89.7699966430664,1.2225985527038574,119.49700164794922,2.6565001010894775,610.7000122070312,2327.0,14.670889854431152
2014-12-23,171.60423278808594,95.72775268554688,102.9613037109375,142.91162109375,47.37733459472656,47.372337341308594,43.96656036376953,39.79094314575195,30.392812728881836,28.704450607299805,18.9251766204834,22.269338607788086,21.012191772460938,43.961910247802734,27.853988647460938,16.578868865966797,32.2593879699707,26.1873722076416,39.7235221862793,44.70934295654297,17.261951446533203,36.9448356628418,21.17911720275879,23.423686981201172,19.567157745361328,46.775054931640625,16.388484954833984,18.46101951599121,25.744667053222656,31.719192504882812,36.413856506347656,56.4017219543457,16.28891944885254,,51.983028411865234,17.419109344482422,18.73318862915039,51.8086051940918,19.290864944458008,16.076974868774414,23.6871337890625,7.89870023727417,112.73999786376953,15.039999961853027,15.554957389831543,18.542774200439453,172.47999572753906,24.110000610351562,19.239999771118164,21.80788230895996,68.54570007324219,81.54456329345703,90.07125091552734,82.47757720947266,79.55413055419922,49.00727462768555,64.05074310302734,80.00946044921875,38.3559455871582,17.87185287475586,8.25316333770752,94.45143127441406,20.012378692626953,14.025038719177246,19.380451202392578,20.544694900512695,3.805326461791992,14.800000190734863,2.256999969482422,1.7269999980926514,0.019999999552965164,2.9690001010894775,90.05999755859375,1.2223743200302124,120.1500015258789,2.662400007247925,608.4500122070312,2345.0,14.749710083007812
2014-12-24,171.62074279785156,95.8104248046875,103.25879669189453,142.91162109375,47.510162353515625,47.46035385131836,44.16576385498047,39.98224639892578,30.462919235229492,28.762306213378906,18.954938888549805,22.2060546875,21.064044952392578,44.07343673706055,27.988271713256836,16.64034080505371,32.18790817260742,25.984777450561523,39.457130432128906,44.95996856689453,17.401248931884766,36.88058090209961,21.292491912841797,23.61631965637207,19.499591827392578,46.824005126953125,16.362255096435547,18.443513870239258,25.556499481201172,31.666290283203125,36.37703323364258,56.81559371948242,16.589805603027344,,51.767616271972656,17.442907333374023,18.636688232421875,51.998382568359375,19.342037200927734,15.928362846374512,23.59952735900879,7.915017604827881,112.7699966430664,15.09000015258789,15.977550506591797,19.171052932739258,168.39999389648438,23.579999923706055,19.239999771118164,21.601577758789062,68.58065032958984,81.60348510742188,90.5615463256836,82.38890838623047,79.81050109863281,49.174015045166016,64.26289367675781,80.09638977050781,38.3342170715332,17.974929809570312,8.49079418182373,93.69186401367188,20.073715209960938,14.437081336975098,19.436580657958984,20.38836669921875,3.781952142715454,14.369999885559082,2.2639999389648438,1.7589999437332153,0.019999999552965164,2.9760000705718994,89.97000122070312,1.217492938041687,120.69000244140625,2.691200017929077,608.9000244140625,2353.0,14.699379920959473
2014-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9760000705718994,,1.2198543548583984,120.45899963378906,2.691200017929077,609.0,2345.0,14.733699798583984
2014-12-26,172.17416381835938,96.490234375,103.93128967285156,143.03863525390625,47.721153259277344,47.65241241455078,44.279605865478516,40.08852767944336,30.704381942749023,28.95757293701172,18.88947868347168,22.58422088623047,21.02370834350586,44.058563232421875,28.030677795410156,16.789615631103516,31.830535888671875,25.879079818725586,40.425811767578125,45.178260803222656,17.436079025268555,37.137577056884766,21.300050735473633,23.64200210571289,19.567157745361328,46.824005126953125,16.362255096435547,18.522293090820312,25.55011558532715,31.83821678161621,36.43596267700195,57.2211799621582,16.79038429260254,,51.951377868652344,17.60948371887207,18.757314682006836,52.73638916015625,19.529659271240234,16.076974868774414,23.828651428222656,7.955819606781006,114.83000183105469,15.350000381469727,16.4001407623291,19.90970802307129,166.24000549316406,23.270000457763672,18.90999984741211,21.67034339904785,68.5562515258789,81.71199035644531,90.89759063720703,82.41844940185547,79.8709716796875,49.021453857421875,64.2165298461914,80.1329116821289,38.37767791748047,18.206867218017578,8.746708869934082,94.457275390625,20.599437713623047,14.654769897460938,19.790597915649414,20.640233993530273,3.8146755695343018,14.5,2.25,1.75600004196167,0.009999999776482582,2.9760000705718994,90.02999877929688,1.2210012674331665,120.37000274658203,2.695199966430664,609.0,2370.0,14.697799682617188
2014-12-29,172.40542602539062,96.47186279296875,104.37100982666016,142.97512817382812,47.596126556396484,47.54838180541992,43.95945358276367,39.81929016113281,30.517436981201172,28.863561630249023,18.954938888549805,22.513668060302734,21.046754837036133,44.08830261230469,28.30632209777832,16.7172794342041,31.589046478271484,26.160945892333984,40.401580810546875,45.00847244262695,17.528945922851562,36.7520751953125,21.171558380126953,23.436534881591797,19.567157745361328,46.89741897583008,16.421274185180664,18.430383682250977,25.64261245727539,32.08064651489258,36.32546615600586,57.41984176635742,16.984054565429688,,52.23645782470703,17.658193588256836,18.938255310058594,52.778560638427734,19.424516677856445,15.986830711364746,23.922996520996094,7.931339740753174,113.66999816894531,15.109999656677246,16.022506713867188,19.442745208740234,162.39999389648438,22.649999618530273,19.09000015258789,21.687536239624023,68.62127685546875,81.9911117553711,91.57707977294922,82.54405975341797,80.02528381347656,49.048702239990234,63.903541564941406,80.30082702636719,38.421104431152344,18.193981170654297,8.45423698425293,95.0298843383789,20.380390167236328,14.452628135681152,19.769004821777344,20.92249870300293,3.8333752155303955,15.0600004196167,2.2070000171661377,1.7120000123977661,0.003000000026077032,2.9739999771118164,90.19000244140625,1.216944694519043,120.42400360107422,2.692699909210205,607.2000122070312,2375.0,14.782190322875977
