id_cluster,fuente,periodo,archivo,fingerprint_vector,numero_filas,filas_excel,fila_conservada,monto_vector_total,prioridades
hoja3_000035,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|4472.949689|0.0|4472.949689,2,432 | 433,432,8945.899378825801,10.12 | 10.04
hoja3_000036,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|15360.375763|20480.502033|0.0,2,434 | 435,434,35840.8777967053,10.06 | 10.04
hoja3_000037,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|22067.130945|21528.822965|11840.798518,2,436 | 437,436,55436.7524280858,10.09 | 10.04
hoja3_000038,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|2233.886515|0.0|2233.88033,2,446 | 447,446,4467.7668454119,10.13 | 10.04
hoja3_000039,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|7407.980532|4074.325308,2,448 | 449,448,11482.3058405187,10.15 | 10.04
hoja3_000040,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|25238.249042|0.0,2,452 | 453,452,25238.249041676,10.12 | 10.04
hoja3_000041,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|0.0|5480.81433,2,462 | 463,462,5480.8143304267005,10.08 | 10.04
hoja3_000042,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|0.0|2442.624307,2,464 | 465,464,2442.6243067643,10.15 | 10.04
hoja3_000043,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|0.0|6901.034821,2,475 | 476,475,6901.0348205089,10.15 | 10.04
hoja3_000044,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|21690.449092|8104.660521,2,487 | 488,487,29795.109612443295,10.14 | 10.04
hoja3_000045,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|1189.504763|0.0|1189.504763,2,489 | 490,489,2379.0095258442,10.08 | 10.04
hoja3_000046,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|18142.374919|0.0|5067.70158,2,491 | 492,491,23210.0764985976,10.08 | 10.04
hoja3_000047,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|0.0|13760.856337,2,493 | 494,493,13760.8563374569,10.09 | 10.04
hoja3_000048,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|57558.176597|0.0,2,507 | 508,507,57558.1765968585,10.11 | 10.04
hoja3_000049,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|4928.329528|0.0|3778.393079,2,511 | 512,511,8706.7226061976,10.14 | 10.04
hoja3_000050,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|21923.083889|0.0|0.0,2,533 | 534,533,21923.0838887724,10.10 | 10.04
hoja3_000051,hoja3,2015-02,CA-0001-fe2015.XLS,0.0|0.0|12683.563336|0.0,2,537 | 538,537,12683.5633355396,10.09 | 10.04
hoja3_000052,hoja3,2015-03,CA-0001-ma2015.XLS,75.269952|18403.471902|35131.058322|0.0,2,117 | 119,117,53609.80017528,10.12 | 10.03
hoja3_000053,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|3837.897576|9304.000118|4186.798199,2,239 | 240,239,17328.6958929855,10.15 | 10.05
hoja3_000054,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|28.945625|0.0|0.0,2,366 | 367,366,28.945624752,10.15 | 10.03
hoja3_000055,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|4151.532097|0.0,2,390 | 391,390,4151.53209744,10.03 | 10.03
hoja3_000056,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|1908.570222,2,398 | 400,400,1908.570222,10.03 | 10.15
hoja3_000057,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|15235.416022,2,420 | 421,420,15235.4160220633,10.12 | 10.04
hoja3_000058,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|0.0|7177.135288,2,424 | 425,424,7177.135288138,10.07 | 10.04
hoja3_000059,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|4300.611441|0.0|4300.611441,2,426 | 427,426,8601.2228819732,10.12 | 10.04
hoja3_000060,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|15380.246883|20506.996861|0.0,2,428 | 429,428,35887.2437446958,10.06 | 10.04
hoja3_000061,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|22095.678333|21556.673965|11856.116498,2,430 | 431,430,55508.4687960392,10.09 | 10.04
hoja3_000062,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|2236.776407|0.0|2236.770214,2,440 | 441,440,4473.5466214087,10.13 | 10.04
hoja3_000063,hoja3,2015-03,CA-0001-ma2015.XLS,0.0|0.0|7345.826556|4040.140701,2,442 | 443,442,11385.9672565499,10.15 | 10.04
