fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja,participacion_abs,ranking_afp
2026-05-31,2026,5,Habitat,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,10,3,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,instrumento_o_detalle,True,0.0,17
2026-05-31,2026,5,Habitat,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,11,3,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,instrumento_o_detalle,True,0.0,18
2026-05-31,2026,5,Habitat,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,14,3,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,instrumento_o_detalle,True,0.0,19
2026-05-31,2026,5,Habitat,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,15,3,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,instrumento_o_detalle,True,0.0,20
2026-05-31,2026,5,Integra,3,3449840.614084,98.61114648458975,FP-1356-my2026.XLS,Fondo3xIntru,70,3,Fondo de Pensiones,TOTAL > Fondo de Pensiones,TOTAL,,Fondo de Pensiones,instrumento_o_detalle,True,98.61114648458975,1
2026-05-31,2026,5,Integra,3,1658308.804454,47.401532628810486,FP-1356-my2026.XLS,Fondo3xIntru,64,3,Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos del Extranjero,instrumento_o_detalle,True,47.401532628810486,2
2026-05-31,2026,5,Integra,3,886022.033999,25.32628557578984,FP-1356-my2026.XLS,Fondo3xIntru,33,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,25.32628557578984,3
2026-05-31,2026,5,Integra,3,446729.450279,12.769431457383297,FP-1356-my2026.XLS,Fondo3xIntru,63,3,Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos Alternativos del Extranjero,instrumento_o_detalle,True,12.769431457383297,4
2026-05-31,2026,5,Integra,3,192042.049405,5.489380172453432,FP-1356-my2026.XLS,Fondo3xIntru,22,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,5.489380172453432,5
2026-05-31,2026,5,Integra,3,110095.687702,3.147003934900982,FP-1356-my2026.XLS,Fondo3xIntru,9,3,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,instrumento_o_detalle,True,3.147003934900982,6
2026-05-31,2026,5,Integra,3,67632.203576,1.933216597509204,FP-1356-my2026.XLS,Fondo3xIntru,42,3,Fondo de Inversión Alternativo,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Alternativo,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Alternativo,instrumento_o_detalle,True,1.933216597509204,7
2026-05-31,2026,5,Integra,3,64811.700709,1.8525946058025544,FP-1356-my2026.XLS,Fondo3xIntru,38,3,Fondos Mutuos del Extranjero - ETF del mercado local,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero - ETF del mercado local,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondos Mutuos del Extranjero - ETF del mercado local,instrumento_o_detalle,True,1.8525946058025544,8
2026-05-31,2026,5,Integra,3,48588.049478,1.388853515410231,FP-1356-my2026.XLS,Fondo3xIntru,71,3,Encaje Legal,TOTAL > Encaje Legal,TOTAL,,Encaje Legal,instrumento_o_detalle,True,1.388853515410231,9
2026-05-31,2026,5,Integra,3,32419.013231,0.9266735540061546,FP-1356-my2026.XLS,Fondo3xIntru,54,3,Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/ 4/,instrumento_o_detalle,True,0.9266735540061546,10
2026-05-31,2026,5,Integra,3,-26362.687452,-0.7535579537916964,FP-1356-my2026.XLS,Fondo3xIntru,68,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True,0.7535579537916964,11
2026-05-31,2026,5,Integra,3,23009.447317,0.6577080606689416,FP-1356-my2026.XLS,Fondo3xIntru,39,3,Fondo Mutuo Alternativo Extranjero - Límite,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo Mutuo Alternativo Extranjero - Límite,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo Mutuo Alternativo Extranjero - Límite,instrumento_o_detalle,True,0.6577080606689416,12
2026-05-31,2026,5,Integra,3,21318.3286,0.6093686809178578,FP-1356-my2026.XLS,Fondo3xIntru,61,3,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,0.6093686809178578,13
2026-05-31,2026,5,Integra,3,19112.823,0.5463259319554017,FP-1356-my2026.XLS,Fondo3xIntru,41,3,Fondo de Inversión Tradicional,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Tradicional,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Tradicional,instrumento_o_detalle,True,0.5463259319554017,14
2026-05-31,2026,5,Integra,3,3289.808743,0.0940367536221365,FP-1356-my2026.XLS,Fondo3xIntru,13,3,Certificados y Depósitos a Plazo 2/,I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/,instrumento_o_detalle,True,0.0940367536221365,15
2026-05-31,2026,5,Integra,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,8,3,Certificados y Depósitos a Plazo del BCRP 1/,I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP 1/,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP 1/,instrumento_o_detalle,True,0.0,16
2026-05-31,2026,5,Integra,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,10,3,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,instrumento_o_detalle,True,0.0,17
2026-05-31,2026,5,Integra,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,11,3,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,instrumento_o_detalle,True,0.0,18
2026-05-31,2026,5,Integra,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,14,3,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,instrumento_o_detalle,True,0.0,19
2026-05-31,2026,5,Integra,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,15,3,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,instrumento_o_detalle,True,0.0,20
2026-05-31,2026,5,Prima,3,3130659.936231,98.79192646858677,FP-1356-my2026.XLS,Fondo3xIntru,70,3,Fondo de Pensiones,TOTAL > Fondo de Pensiones,TOTAL,,Fondo de Pensiones,instrumento_o_detalle,True,98.79192646858677,1
2026-05-31,2026,5,Prima,3,1442822.262804,45.53007793806427,FP-1356-my2026.XLS,Fondo3xIntru,64,3,Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos del Extranjero,instrumento_o_detalle,True,45.53007793806427,2
2026-05-31,2026,5,Prima,3,813797.066037,25.680393765497367,FP-1356-my2026.XLS,Fondo3xIntru,33,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,25.680393765497367,3
2026-05-31,2026,5,Prima,3,228180.83106,7.20053418218248,FP-1356-my2026.XLS,Fondo3xIntru,63,3,Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos Mutuos Alternativos del Extranjero,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos Mutuos Alternativos del Extranjero,instrumento_o_detalle,True,7.20053418218248,4
2026-05-31,2026,5,Prima,3,222156.02854,7.010413932884449,FP-1356-my2026.XLS,Fondo3xIntru,22,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,7.010413932884449,5
2026-05-31,2026,5,Prima,3,214727.14934,6.7759862714266,FP-1356-my2026.XLS,Fondo3xIntru,13,3,Certificados y Depósitos a Plazo 2/,I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/,instrumento_o_detalle,True,6.7759862714266,6
2026-05-31,2026,5,Prima,3,84496.31443,2.6663878709499067,FP-1356-my2026.XLS,Fondo3xIntru,9,3,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,instrumento_o_detalle,True,2.6663878709499067,7
2026-05-31,2026,5,Prima,3,64178.046526,2.025219277225997,FP-1356-my2026.XLS,Fondo3xIntru,54,3,Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/ 4/,instrumento_o_detalle,True,2.025219277225997,8
2026-05-31,2026,5,Prima,3,44002.866877,1.388566014024858,FP-1356-my2026.XLS,Fondo3xIntru,30,3,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,instrumento_o_detalle,True,1.388566014024858,9
2026-05-31,2026,5,Prima,3,-39758.119912,-1.254617664927291,FP-1356-my2026.XLS,Fondo3xIntru,68,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True,1.254617664927291,10
2026-05-31,2026,5,Prima,3,38283.162805,1.208073531413228,FP-1356-my2026.XLS,Fondo3xIntru,71,3,Encaje Legal,TOTAL > Encaje Legal,TOTAL,,Encaje Legal,instrumento_o_detalle,True,1.208073531413228,11
2026-05-31,2026,5,Prima,3,31385.013264,0.9903937143442996,FP-1356-my2026.XLS,Fondo3xIntru,42,3,Fondo de Inversión Alternativo,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Alternativo,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Alternativo,instrumento_o_detalle,True,0.9903937143442996,12
2026-05-31,2026,5,Prima,3,27509.794454,0.8681062926743159,FP-1356-my2026.XLS,Fondo3xIntru,39,3,Fondo Mutuo Alternativo Extranjero - Límite,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo Mutuo Alternativo Extranjero - Límite,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo Mutuo Alternativo Extranjero - Límite,instrumento_o_detalle,True,0.8681062926743159,13
