identificador_agregacion,identificador_canonico,ticker,ticker_base,name,securityType,securityType2,marketSector,exchCode,estado_identidad_final,tipo_identificador,entidad_administradora,moneda,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,vehiculo,confianza_vehiculo,tipo_activo,confianza_tipo_activo,region_exposicion_preliminar,confianza_region,sector_tema_preliminar,confianza_sector,indice_referencia_preliminar,confianza_indice,factor_proxy_mercado,confianza_factor_proxy,razon_factor_proxy,ticker_base_refinado,texto_economico,factor_proxy_original,region_original,sector_original,indice_original,confianza_factor_original,regla_refinamiento,cambio_factor,cambio_region,cambio_sector
BBG000097537,XS0246220379,JPM 8.12 03/06/18 MXN,JPM812030618MXN,JPMORGAN CHASE & CO,EURO MTN,Corp,Corp,MEXICO,openfigi_validado,isin,JPMC&CO,MXN,2015-01-30,2018-02-28,38,2,0.0485634093587444,0.0328463610880312,0.0769598334216124,otro_o_no_determinado,baja,renta_variable,baja,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,JPM812030618MXN,JPM 8 12 03 06 18 MXN JPMORGAN CHASE CO EURO MTN CORP CORP,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,True,True,True
BBG0000GXRP0,US59022CAP86,BAC 10.71 03/08/17 BRL$,BAC1071030817BRL,BANK OF AMERICA CORP,GLOBAL,Corp,Corp,LONDON,openfigi_validado,isin,M. LYNCH & CO,BRL,2015-01-30,2017-02-28,26,1,0.0358408391453051,0.0307516890740599,0.0631296461571445,otro_o_no_determinado,baja,renta_variable,baja,No determinado,media,Finanzas,media,No determinado,media,XLF,media,regla textual: \bBANKS?\b|FINANCIAL,BAC1071030817BRL,BAC 10 71 03 08 17 BRL BANK OF AMERICA CORP GLOBAL CORP CORP,XLF,Global,Finanzas,No determinado,media,nombre::\bBANKS?\b|FINANCIAL,False,True,False
BBG001DPCKM5,USP3703CAA82,EMGSA 8.75 01/25/21 REGS,EMGSA875012521REGS,EMGESA SA ESP,EURO NON-DOLLAR,Corp,Corp,EUROMTF,openfigi_validado,isin,Emgesa,COP,2015-01-30,2020-04-30,64,1,0.0579682915044665,0.0501998080490468,0.1127921411828328,otro_o_no_determinado,baja,renta_variable,baja,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,EMGSA875012521REGS,EMGSA 8 75 01 25 21 REGS EMGESA SA ESP EURO NON DOLLAR CORP CORP,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,True,True,True
BBG001F5RFS6,USP9379RAB35,EEPPME 8.375 02/01/21 REGS,EEPPME8375020121REGS,EMPRESAS PUBLIC MEDELLIN,EURO NON-DOLLAR,Corp,Corp,LUXEMBOURG,openfigi_validado,isin,EP Medellin,COP,2015-01-30,2019-06-28,54,3,0.1336207079242742,0.0789686442667048,0.215916184095445,otro_o_no_determinado,baja,renta_variable,baja,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,EEPPME8375020121REGS,EEPPME 8 375 02 01 21 REGS EMPRESAS PUBLIC MEDELLIN EURO NON DOLLAR CORP CORP,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,True,True,True
BBG001KFNL27,USP16259AB20,BBVASM 6.5 03/10/21 REGS,BBVASM65031021REGS,BBVA BANCOMER SA TEXAS,EURO-DOLLAR,Corp,Corp,LUXEMBOURG,openfigi_validado,isin,Bancomer,USD,2015-01-30,2018-07-31,43,1,0.2062757682547008,0.1453897873062269,0.3259849683173175,otro_o_no_determinado,baja,renta_variable,baja,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,BBVASM65031021REGS,BBVASM 6 5 03 10 21 REGS BBVA BANCOMER SA TEXAS EURO DOLLAR CORP CORP,RESIDUAL_NO_MAPEADO,No determinado,Mercado amplio o no determinado,No determinado,baja,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,True,True,True
BBG001S56D46,US46429B6719,MCHI,MCHI,ISHARES MSCI CHINA ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,isin,BlackRock USA,USD,2018-01-31,2025-11-28,93,3,5.150935507084771,0.8899200726580079,12.332488750397037,etf_etp,alta,renta_variable,alta,China,alta,Mercado amplio,alta,MSCI China,alta,MCHI,alta,regla exacta de ticker MCHI,MCHI,MCHI ISHARES MSCI CHINA ETF ETP MUTUAL FUND EQUITY,MCHI,China,Mercado amplio o no determinado,MSCI China,alta,ticker::MCHI,False,False,True
BBG001S71N72,US2332038437,DFSTX,DFSTX,DFA US SMALL CAP PORTFOLIO,Open-End Fund,Mutual Fund,Equity,US,openfigi_validado,isin,DIMENSIONAL,USD,2015-02-27,2015-03-31,2,1,1.2971869732718853,1.2802699914942963,2.18328188139274,fondo_mutuo_o_abierto,media,renta_variable,alta,Estados Unidos,media,Mercado amplio,media,S&P 500 o mercado amplio de EE. UU.,media,SPY,media,regla textual: S P 500|S&P 500|US EQUITY|US RES EQ|USA EQUITY|US CORE EQUITY|US SMALL CAP,DFSTX,DFSTX DFA US SMALL CAP PORTFOLIO OPEN END FUND MUTUAL FUND EQUITY,RESIDUAL_NO_MAPEADO,No determinado,Pequeña capitalización,No determinado,baja,nombre::S P 500|S&P 500|US EQUITY|US RES EQ|USA EQUITY|US CORE EQUITY|US SMALL CAP,True,True,True
BBG001S72SM3,US78462F1030,SPY,SPY,SS SPDR S&P 500 ETF TRUST-US,ETP,Mutual Fund,Equity,US,openfigi_validado,isin,STATE ST BANK,USD,2015-01-30,2025-12-31,118,4,12.511238656661591,0.7091929967040337,22.137735672377868,etf_etp,alta,renta_variable,alta,Estados Unidos,alta,Mercado amplio,alta,S&P 500,alta,SPY,alta,regla exacta de ticker SPY,SPY,SPY SS SPDR S P 500 ETF TRUST US ETP MUTUAL FUND EQUITY,SPY,Estados Unidos,Finanzas,S&P 500,alta,ticker::SPY,False,False,True
BBG001S7R733,US81369Y1001,XLB,XLB,SS MATERIALS SELECT SECTOR,ETP,Mutual Fund,Equity,XH,openfigi_validado,isin,STATE ST BANK,USD,2015-01-30,2021-02-26,66,2,0.4693571195830905,0.0159378671497583,0.8122614245289964,etf_etp,alta,renta_variable,alta,Estados Unidos,alta,Materiales,alta,Materials Select Sector,alta,XLB,alta,regla exacta de ticker XLB,XLB,XLB SS MATERIALS SELECT SECTOR ETP MUTUAL FUND EQUITY,XLB,Estados Unidos,Finanzas,No determinado,alta,ticker::XLB,False,False,True
BBG001S7RSN5,US4642873412,IXCUSD,IXC,ISHARES GLOBAL ENERGY ETF,ETP,Mutual Fund,Equity,X2,openfigi_validado,isin,BlackRock USA,USD,2022-05-31,2023-12-29,20,1,3.797686691541957,0.9171056221963212,8.762687365685832,etf_etp,alta,renta_variable,alta,No determinado,media,Energía,media,No determinado,media,XLE,media,regla textual: \bENERGY\b|OIL SERVICE|OIL GAS|PETROLEUM,IXC,IXCUSD ISHARES GLOBAL ENERGY ETF ETP MUTUAL FUND EQUITY,XLE,Global,Energía,No determinado,media,nombre::\bENERGY\b|OIL SERVICE|OIL GAS|PETROLEUM,False,True,False
