afp,modelo,fecha_ultima_oficial,valor_ultima_oficial,fecha_estimada,dias_estimados_acumulados,retorno_estimado_dia,retorno_estimado_dia_pct,retorno_estimado_acumulado_pct,valor_cuota_estimado,valor_estimado_bajo_80,valor_estimado_alto_80,valor_estimado_bajo_95,valor_estimado_alto_95,sigma_residual_oos,fecha_registro,valor_cuota_oficial,fuente_oficial,estado_validacion,error_valor,error_absoluto,error_pct,error_abs_pct,retorno_real_acumulado_pct,direccion_estimada,direccion_real,acierto_direccion,dentro_intervalo_80,dentro_intervalo_95
Habitat,ElasticNet,2026-06-30 00:00:00,33.5370629,2026-07-01 00:00:00,1,-0.0034863827199113,-0.3486382719911335,-0.3486382719911307,33.420139863428865,33.13350644257674,33.70677328428099,32.98178038709446,33.85849933976326,0.0066688247183435,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Habitat,ElasticNet,2026-06-30 00:00:00,33.5370629,2026-07-02 00:00:00,2,0.0004232982929808,0.0423298292980858,-0.3064560206784472,33.43428655158424,33.02892568038576,33.83964742278271,32.81435263495736,34.05422046821111,0.0066688247183435,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Habitat,ElasticNet,2026-06-30 00:00:00,33.5370629,2026-07-03 00:00:00,3,0.0012646725119258,0.1264672511925855,-0.1803763359913279,33.47656997474188,32.98010632667872,33.973033622805026,32.7173090897514,34.235830859732346,0.0066688247183435,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Integra,Huber_robusto,2026-06-30 00:00:00,72.3284597,2026-07-01 00:00:00,1,-0.0049809078843801,-0.4980907884380161,-0.4980907884380214,71.96819830481519,71.31047706848138,72.62591954114902,70.96232000954811,72.97407660008226,0.007095453352658,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Integra,Huber_robusto,2026-06-30 00:00:00,72.3284597,2026-07-02 00:00:00,2,0.0002523107306617,0.0252310730661725,-0.4729853890226065,71.9863566535139,71.0561983608298,72.91651494619798,70.56382992625046,73.40888338077733,0.007095453352658,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Integra,Huber_robusto,2026-06-30 00:00:00,72.3284597,2026-07-03 00:00:00,3,0.0010619242976673,0.1061924297667337,-0.3672952339329294,72.0628007147448,70.9235941161976,73.20200731329199,70.32056840111146,73.80503302837813,0.007095453352658,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Prima,Huber_robusto,2026-06-30 00:00:00,65.7918163,2026-07-01 00:00:00,1,-0.0039208014546077,-0.3920801454607708,-0.3920801454607714,65.53385965094967,64.90075651404472,66.16696278785462,64.5656307586793,66.50208854322004,0.0075084464994623,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Prima,Huber_robusto,2026-06-30 00:00:00,65.7918163,2026-07-02 00:00:00,2,0.0004759740249484,0.0475974024948467,-0.3446693629308606,65.56505206589814,64.66970902330621,66.46039510849008,64.1957696349679,66.93433449682838,0.0075084464994623,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Prima,Huber_robusto,2026-06-30 00:00:00,65.7918163,2026-07-03 00:00:00,3,0.0010210337217337,0.1021033721733795,-0.2429179097998779,65.63199619502466,64.53542939547404,66.72856299457527,63.95497456025625,67.30901782979308,0.0075084464994623,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Profuturo,Huber_robusto,2026-06-30 00:00:00,71.9348302,2026-07-01 00:00:00,1,-0.0053722588615354,-0.5372258861535479,-0.5372258861535473,71.548377671005,70.84217591683593,72.25457942517406,70.46835626169526,72.62839908031474,0.0076601464095827,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Profuturo,Huber_robusto,2026-06-30 00:00:00,71.9348302,2026-07-02 00:00:00,2,0.0005629886413339,0.0562988641333992,-0.481229474091871,71.58865859493966,70.58993849642209,72.58737869345721,70.06127767024053,73.11603951963879,0.0076601464095827,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
Profuturo,Huber_robusto,2026-06-30 00:00:00,71.9348302,2026-07-03 00:00:00,3,0.0011345590168488,0.1134559016848839,-0.3683195556460017,71.66988015305266,70.44670283443757,72.89305747166773,69.79922819886605,73.54053210723926,0.0076601464095827,2026-07-04 16:55:09,,,pendiente,,,,,,-1.0,,,,
