fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,total_canonico,participacion_calculada_pct,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct
2026-01-30,CA-0001-en2026.XLS,10,175,Habitat,3,0.0779018399999999,miles_soles,1.5623382161821932e-08,80,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,IE00BD4GV785,USD,,isin,2736482.735417546,2.846787191153733e-06,,isin,,2710476.0101406495,2.87410180752559e-06
2026-01-30,CA-0001-en2026.XLS,10,181,Habitat,3,42728.0229009148,miles_soles,0.008569197220503,82,JP MORGAN FLEMING FUNDS SICAV,LU024805611X,USD,,isin,2736482.735417546,1.5614212488132198,,isin,,2710476.0101406495,1.5764029174601548
2026-01-30,CA-0001-en2026.XLS,10,183,Habitat,3,0.1110146688,miles_soles,2.2264231451150445e-08,83,"Matthews International Capital Management,LLC",LU0721876877,USD,,isin,2736482.735417546,4.056837902288496e-06,,isin,,2710476.0101406495,4.095762824856706e-06
2026-01-30,CA-0001-en2026.XLS,10,185,Habitat,3,48169.2725338731,miles_soles,0.0096604515792393,84,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,EUR,,isin,2736482.735417546,1.7602622487045658,,isin,,2710476.0101406495,1.7771517753213224
2026-01-30,CA-0001-en2026.XLS,10,188,Habitat,3,220009.0993824,miles_soles,0.0441232997671107,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,2736482.735417546,8.039849714192696,,isin,,2710476.0101406495,8.116991205946276
2026-01-30,CA-0001-en2026.XLS,10,189,Habitat,3,252748.06893328,miles_soles,0.0506891707770592,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,2736482.735417546,9.236238389595192,,isin,,2710476.0101406495,9.324859101784288
2026-01-30,CA-0001-en2026.XLS,10,191,Habitat,3,60382.0071792,miles_soles,0.0121097418733436,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,USD,,isin,2736482.735417546,2.206555385776502,,isin,,2710476.0101406495,2.227727046957583
2026-01-30,CA-0001-en2026.XLS,10,204,Habitat,3,60042.9607232,miles_soles,0.0120417453747667,88,WisdomTree Asset Management Inc.,US97717Y5437,USD,,isin,2736482.735417546,2.194165522993455,,isin,,2710476.0101406495,2.215218304776079
2026-01-30,CA-0001-en2026.XLS,10,207,Habitat,3,3745.0517786102,miles_soles,0.000751078217832,89,UBS GLOBAL ASSET MANAGEMENT (US) INC.,LU1951186714,USD,,isin,2736482.735417546,0.1368564007416901,,isin,,2710476.0101406495,0.13816952316120537
2026-01-30,CA-0001-en2026.XLS,10,215,Habitat,3,1.1700432546,miles_soles,2.3465470022887413e-07,92,Nomura Asset Management UK Ltd.,IE00B3SHFF36,USD,,isin,2736482.735417546,4.275719482737643e-05,,isin,,2710476.0101406495,4.316744550486854e-05
2026-01-30,CA-0001-en2026.XLS,10,220,Habitat,3,29338.6310150412,miles_soles,0.005883925777012,94,Pictet Asset Management (Europe) S.A.,LU0101689882,USD,,isin,2736482.735417546,1.072129220306028,,isin,,2710476.0101406495,1.082416184658236
