afp,fecha_objetivo,factor,ticker,lag,variable_modelo,retorno_factor_decimal,z_estandarizado,coeficiente_estandarizado,contribucion_al_retorno_estimado,intercepto_modelo,retorno_diario_estimado,cobertura_pct
Habitat,2026-07-22,ret_USD_EPU,EPU,0,ret_USD_EPU__lag0,0.01182149020039125,0.7721640321179692,0.0024589382141359086,0.0018987036461561417,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_USD_VT,VT,0,ret_USD_VT__lag0,-0.0007685097838898702,-0.11641708123542126,0.007347691564132762,-0.0008553968057144633,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_USD_XLE,XLE,0,ret_USD_XLE__lag0,0.011965825007512088,0.6394833444780083,-0.0011972769028003936,-0.0007656386380690669,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_PEN_REMX,REMX,0,ret_PEN_REMX__lag0,0.008007696830591993,0.2904505257453188,0.001418342284843589,0.0004119582623196372,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_USD_EFA,EFA,0,ret_USD_EFA__lag0,0.0018258931949259871,0.13759218322030167,-0.0019106631124923478,-0.000262892309046319,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_BVL_PEN_MINSUR,MINSURI1.LM,0,ret_BVL_PEN_MINSUR__lag0,0.02569753189504964,1.082813207665877,0.002119527454609775,0.0022950523218619023,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_BVL_PEN_INRETAIL_PERU,INRETC1.LM,0,ret_BVL_PEN_INRETAIL_PERU__lag0,0.0034834155728373783,0.21973925501176528,0.0014568391662866684,0.00032012475307179375,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,^AXJO,0,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200__lag0,0.0033775938467,0.3402285011154006,-0.0005724416337799588,-0.00019476095903700645,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,ret_IDX_LOCAL_JAP_N_NIKKEI_225,^N225,0,ret_IDX_LOCAL_JAP_N_NIKKEI_225__lag0,-0.0017602610135744046,-0.17495299652529572,0.0001778917099705018,-3.1122687716348114e-05,0.000551790010094732,0.003367817593921003,100.0
Habitat,2026-07-22,INTERCEPTO,,0,INTERCEPTO,,,,0.000551790010094732,0.000551790010094732,0.003367817593921003,100.0
Integra,2026-07-22,ret_USD_COPX,COPX,0,ret_USD_COPX__lag0,0.02236707627532253,0.9527651745860715,0.0010695868296435383,0.0010190650824802884,0.00024646151385297635,0.003825977911194471,100.0
Integra,2026-07-22,ret_USD_EPU,EPU,0,ret_USD_EPU__lag0,0.01182149020039125,0.7721640321179692,0.0033613124660623554,0.002595484587003103,0.00024646151385297635,0.003825977911194471,100.0
Integra,2026-07-22,ret_USD_SPY,SPY,0,ret_USD_SPY__lag0,-0.0011627413779321527,-0.15744838798441196,0.0014436664727117473,-0.00022730295891560667,0.00024646151385297635,0.003825977911194471,100.0
Integra,2026-07-22,ret_PEN_FCX,FCX,1,ret_PEN_FCX__lag1,0.06495555058340008,1.7747075536750256,0.00010833880003246853,0.00019226968677371002,0.00024646151385297635,0.003825977911194471,100.0
Integra,2026-07-22,INTERCEPTO,,0,INTERCEPTO,,,,0.00024646151385297635,0.00024646151385297635,0.003825977911194471,100.0
Prima,2026-07-22,ret_USD_EPU,EPU,0,ret_USD_EPU__lag0,0.01182149020039125,0.7721640321179692,0.003672249044241184,0.0028355786289426315,0.00024421286641220213,0.0027622626721923046,100.0
Prima,2026-07-22,ret_USD_SPY,SPY,0,ret_USD_SPY__lag0,-0.0011627413779321527,-0.15744838798441196,0.0011937473868203097,-0.00018795360171546202,0.00024421286641220213,0.0027622626721923046,100.0
Prima,2026-07-22,ret_USD_VWO,VWO,0,ret_USD_VWO__lag0,-0.0008494603557946956,-0.09618566945829499,0.0013471364515817985,-0.00012957522144706727,0.00024421286641220213,0.0027622626721923046,100.0
Prima,2026-07-22,INTERCEPTO,,0,INTERCEPTO,,,,0.00024421286641220213,0.00024421286641220213,0.0027622626721923046,100.0
Profuturo,2026-07-22,ret_USD_EPU,EPU,0,ret_USD_EPU__lag0,0.01182149020039125,0.7721640321179692,0.004223872274201991,0.003261522246399106,0.00022297311626448996,0.004908683901890026,100.0
Profuturo,2026-07-22,ret_USD_SPY,SPY,0,ret_USD_SPY__lag0,-0.0011627413779321527,-0.15744838798441196,0.0012447777164472367,-0.00019598824485353488,0.00022297311626448996,0.004908683901890026,100.0
Profuturo,2026-07-22,ret_PEN_MCHI,MCHI,0,ret_PEN_MCHI__lag0,0.01393218964512033,0.6366195341942305,1.3575125221406306e-05,8.642189895080032e-06,0.00022297311626448996,0.004908683901890026,100.0
Profuturo,2026-07-22,ret_USD_FCX,FCX,1,ret_USD_FCX__lag1,0.06412655892250485,1.8895843853573013,0.00022683952091812648,0.00042863241670882275,0.00022297311626448996,0.004908683901890026,100.0
Profuturo,2026-07-22,ret_USD_NEM,NEM,0,ret_USD_NEM__lag0,0.03524707764651702,1.4871322218179388,0.0007954250201303739,0.0011829021774760616,0.00022297311626448996,0.004908683901890026,100.0
Profuturo,2026-07-22,INTERCEPTO,,0,INTERCEPTO,,,,0.00022297311626448996,0.00022297311626448996,0.004908683901890026,100.0
