tipo,ruta,detalle
mercado,C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\mercados_factores_modelo.csv,formato=ancho; ACWI | COPX | CPER | DXY | EEM | EPU | EWJ | GLD | HYG | ILF | LQD | MCHI | QQQ | SPY | TLT | USDPEN | VGK | VIX | XLB | XLE | XLF | XLI | XLK | XLP | XLV | XLY
cuotas,C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\sbs_fondo3_base_maestra.csv,2015-01-05 a 2026-06-30
ventanas,C:\Users\PC\Downloads\afp_fondo3_inicio\afp_fondo3_inicio\data\processed\ca0001_proxy_ventanas_publicacion_45d.csv,2421 ventanas
