afp,paso,accion,factor,lag,max_corr_con_seleccionados,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,familia,alpha,half_life,aceptado
Habitat,0,BASELINE,,,,,0.7204259073788171,,1.5623289998707393,EW_RIDGE,0.001,60.0,True
Habitat,1,AGREGAR,ret_USD_EPU,0.0,0.7051510784205061,0.7204259073788171,0.6641343050064377,0.0562916023723794,1.3858079762721602,EW_RIDGE,0.001,60.0,True
Habitat,2,AGREGAR,ret_USD_VT,0.0,0.7175973159328177,0.6641343050064377,0.6308711085979724,0.03326319640846531,1.299528706173144,EW_RIDGE,0.001,60.0,True
Habitat,3,AGREGAR,ret_USD_EWG,0.0,0.8796162551747043,0.6308711085979724,0.6146038721989234,0.016267236399048923,1.2788851215373946,EW_RIDGE,0.001,60.0,True
Habitat,4,AGREGAR,ret_USD_XLE,0.0,0.7329662253290742,0.6146038721989234,0.6006939847896073,0.01390988740931609,1.251252192309043,EW_RIDGE,0.001,60.0,True
Habitat,5,AGREGAR,ret_PEN_REMX,0.0,0.5830227888501718,0.6006939847896073,0.5924341579972107,0.008259826792396674,1.2801221298878582,EW_RIDGE,0.001,60.0,True
Habitat,6,AGREGAR,ret_USD_EFA,0.0,0.9497234354663011,0.5924341579972107,0.5894178865682861,0.0030162714289245773,1.2471233299188318,EW_RIDGE,0.001,60.0,True
Habitat,7,AGREGAR,ret_USD_IWM,0.0,0.8831145297561344,0.5894178865682861,0.586137893858071,0.0032799927102150628,1.2307646731179038,EW_RIDGE,0.001,60.0,True
Habitat,8,AGREGAR,ret_USD_XLY,0.0,0.9051635968118817,0.586137893858071,0.583034617280044,0.0031032765780270033,1.2105877492657884,EW_RIDGE,0.001,60.0,True
Integra,0,BASELINE,,,,,0.6608447945084694,,1.3065842541975627,RIDGE,0.001,,True
Integra,1,AGREGAR,ret_USD_SPY,0.0,0.6410942151709803,0.6608447945084694,0.6461017795222636,0.014743014986205893,1.2610980080387972,EW_RIDGE,0.001,500.0,True
Integra,2,AGREGAR,ret_PEN_MCHI,0.0,0.49394060937251977,0.6461017795222636,0.6432615674019715,0.0028402121202920627,1.2922013626951845,EW_RIDGE,0.001,500.0,False
Prima,0,BASELINE,,,,,0.596787404095136,,1.252113382258706,EW_RIDGE,0.001,500.0,True
Prima,1,AGREGAR,ret_USD_SPY,0.0,0.8628945451680732,0.596787404095136,0.5832981410004079,0.013489263094728088,1.2484624361594099,EW_RIDGE,0.001,500.0,True
Prima,2,AGREGAR,ret_USD_VWO,0.0,0.7854459444735591,0.5832981410004079,0.5782790472707877,0.005019093729620172,1.2660415910305869,EW_RIDGE,0.001,500.0,True
Prima,3,AGREGAR,ret_USD_ECH,0.0,0.6804889609293365,0.5782790472707877,0.5764702167884906,0.0018088304822970747,1.2623985005809564,EW_RIDGE,0.001,500.0,False
Profuturo,0,BASELINE,,,,,0.6336678505944682,,1.4524538132041447,RIDGE,0.001,,True
Profuturo,1,AGREGAR,ret_USD_SPY,0.0,0.6410942151709803,0.6336678505944682,0.625112355785643,0.008555494808825226,1.340208367467928,EW_RIDGE,0.1,500.0,True
Profuturo,2,AGREGAR,ret_PEN_MCHI,0.0,0.49394060937251977,0.625112355785643,0.6196819927615506,0.005430363024092388,1.3247336487140347,EW_RIDGE,0.001,500.0,True
Profuturo,3,AGREGAR,ret_USD_BHP,0.0,0.823429276258316,0.6196819927615506,0.6180181161289201,0.0016638766326304566,1.3348010413697204,EW_RIDGE,0.001,500.0,False
