afp,baseline,segmento,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cuota_5d_retorno_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Habitat,RETORNO_CERO,entrenamiento,1777,0.8723930461119394,0.6422220067817674,1.8175803836282922,9.056712445723392,-0.12568349674295762,,,0.0,0.8723930461119394,0.0,4.0
Habitat,RETORNO_CERO,validacion,593,0.9614381446372002,0.7306619203670484,2.014448851176509,7.532098994970471,-0.051911557354151205,,,0.0,0.9614381446372002,0.0,3.0
Habitat,RETORNO_CERO,prueba,593,1.0195940734705966,0.7227581338476785,2.3831012189354976,6.029746103300937,-0.2827617712632653,,,0.0,1.0195940734705966,0.0,4.0
Habitat,PERSISTENCIA_1D,entrenamiento,1774,0.512799035702159,0.3844067422798192,1.0980354737963263,4.682762534461437,-0.0016405704310120367,0.8253115431891535,81.4543404735062,100.0,0.8723930461119394,41.2192660191883,1.0
Habitat,PERSISTENCIA_1D,validacion,593,0.6145598745881314,0.48600902826960724,1.2917831280770464,3.9621674485967873,0.003018643198839303,0.8090924218636957,80.43844856661046,100.0,0.9614381446372002,36.07910420279442,1.0
Habitat,PERSISTENCIA_1D,prueba,593,0.7215787021667649,0.48837964302745895,1.5386115586431977,5.6546811367808925,-0.031202770303470895,0.7227712740511185,78.75210792580101,100.0,1.0195940734705966,29.228825378458417,1.0
Habitat,MEDIA_EXPANSIVA,entrenamiento,1717,0.8620944135294452,0.6253863402398085,1.829686569081619,9.179556060373395,-0.01869506217028858,0.002274902125614899,58.88177052999417,100.0,0.8723930461119394,1.1805037452319107,3.0
Habitat,MEDIA_EXPANSIVA,validacion,593,0.9541045102793353,0.7061885103642473,2.0490669609670342,7.6414460534143025,0.058187540467103664,-0.02851918233361907,56.323777403035415,100.0,0.9614381446372002,0.7627775534776907,2.0
Habitat,MEDIA_EXPANSIVA,prueba,593,0.9990563123417371,0.7067106608819262,2.367611775356358,6.113998062063741,-0.17283323079168253,0.07056109742044331,62.22596964586846,100.0,1.0195940734705966,2.0143076213606292,3.0
Habitat,MEDIA_MOVIL_20,entrenamiento,1757,0.8495052249669591,0.6382112488392488,1.8110438164617861,6.887347546566991,0.0022520055380098733,0.2965760788470225,61.297666476949345,100.0,0.8723930461119394,2.623567581950146,2.0
Habitat,MEDIA_MOVIL_20,validacion,593,1.0116201497795403,0.8313450814562806,2.1262025544658045,6.303108342551611,0.00586466636682537,0.19653311251912525,56.99831365935919,100.0,0.9614381446372002,-5.219473080223616,4.0
Habitat,MEDIA_MOVIL_20,prueba,593,0.9852067073163371,0.667614566802821,2.1816542323086945,6.239844946509665,-0.03365050395208091,0.19234329913912013,61.38279932546374,100.0,1.0195940734705966,3.3726526123487908,2.0
Integra,RETORNO_CERO,entrenamiento,1777,0.8297320587695003,0.61470284599624,1.7353684391970203,10.103491740408167,-0.10932185982096106,,,0.0,0.8297320587695003,0.0,4.0
Integra,RETORNO_CERO,validacion,593,0.8338534601295258,0.5646433313865828,1.6531480740945421,9.512350056148,0.005285924799861958,,,0.0,0.8338534601295258,0.0,2.0
Integra,RETORNO_CERO,prueba,593,1.0506052925984848,0.7143634913758135,2.5219787874523143,6.265881771959059,-0.2079192201021966,,,0.0,1.0506052925984848,0.0,4.0
Integra,PERSISTENCIA_1D,entrenamiento,1774,0.5020237341115954,0.3853974235397628,1.0451936956803778,4.532304396497722,-0.0013554655562585164,0.8176520064276379,80.43968432919955,100.0,0.8297320587695003,39.49568070732366,1.0
Integra,PERSISTENCIA_1D,validacion,593,0.5258324942441497,0.3986741943513117,1.0839008258454854,7.305878004223421,-0.01425512016119713,0.844367154505511,78.41483979763912,100.0,0.8338534601295258,36.93946006262659,1.0
Integra,PERSISTENCIA_1D,prueba,593,0.7741123059252399,0.5129297869564953,1.7535959858075818,5.243725003500188,-0.028809270956459312,0.7106075907912212,75.88532883642496,100.0,1.0506052925984848,26.317494174181128,1.0
Integra,MEDIA_EXPANSIVA,entrenamiento,1717,0.822060437756148,0.5986109346038937,1.743625631315766,10.176781458906126,-0.036008439117072265,0.005674106794335863,58.6488060570763,100.0,0.8297320587695003,0.9245901652551982,2.0
Integra,MEDIA_EXPANSIVA,validacion,593,0.8365955411518147,0.5700835718934316,1.6784948407711615,9.43363423933279,0.0865913543934931,-0.06178634392793207,51.433389544688026,100.0,0.8338534601295258,-0.3288444736876144,3.0
Integra,MEDIA_EXPANSIVA,prueba,593,1.0405276553423395,0.7269879171408311,2.4692151358192715,6.317671341841002,-0.13435399036201073,0.049815639726062795,58.68465430016864,100.0,1.0506052925984848,0.9592220148843968,3.0
Integra,MEDIA_MOVIL_20,entrenamiento,1757,0.8254135642587033,0.6211275088559898,1.7565499095301453,8.209773684384958,-0.0018456749447301345,0.29547533196548337,60.671599317017645,100.0,0.8297320587695003,0.5204685615259202,3.0
Integra,MEDIA_MOVIL_20,validacion,593,0.888986853344618,0.6353168076251081,1.7989126329200271,8.342491200262725,-0.0035099183891599463,0.2671154664582532,60.20236087689713,100.0,0.8338534601295258,-6.611880366428913,4.0
