afp,factor,spearman_train_lag0,pearson_train_lag0,informacion_mutua_train_lag0,mejor_lag_spearman_train,mejor_spearman_train,pearson_en_mejor_lag,volatilidad_factor,volatilidad_afp,ratio_amplitud_afp_factor,beta_estatica_train,n_train
Habitat,ret_IDX_VIX,-0.39216630357693366,-0.45141414857583123,0.11060802238115652,0,-0.39216630357693366,-0.45141414857583123,0.0871381843853489,0.005147410079022743,0.059071807788184875,-0.026665849817538643,1779
Habitat,ret_COPX,0.3266600490501189,0.3789995915528848,0.10467376235890669,0,0.3266600490501189,0.3789995915528848,0.025451419968076882,0.005147410079022743,0.2022445146667266,0.07665058845250082,1779
Integra,ret_COPX,0.3795985812365753,0.4434959129557881,0.10350071131156202,0,0.3795985812365753,0.4434959129557881,0.025451419968076882,0.005072286976316671,0.19929288749620735,0.08838558108572567,1779
Integra,ret_EPU,0.31515157967950347,0.3993185046002011,0.09425879852604702,0,0.31515157967950347,0.3993185046002011,0.018500791033520776,0.005072286976316671,0.274165951451828,0.10947953774603528,1779
Prima,ret_COPX,0.3714996949603663,0.44588700112042406,0.09704068324548665,0,0.3714996949603663,0.44588700112042406,0.025451419968076882,0.005087845802596775,0.1999042021615431,0.08913468521318146,1779
Prima,ret_EPU,0.3158935442284625,0.405901412653485,0.0757486538594101,0,0.3158935442284625,0.405901412653485,0.018500791033520776,0.005087845802596775,0.27500693312941754,0.11162570264673308,1779
Prima,ret_IDX_VIX,-0.4241726772612683,-0.49024527383492483,0.12370006286750446,0,-0.4241726772612683,-0.49024527383492483,0.0871381843853489,0.005087845802596775,0.058388246650824496,-0.028624561968074596,1779
Prima,ret_XLB,0.322548450651133,0.41120991475145685,0.11873143765445882,0,0.322548450651133,0.41120991475145685,0.017789110549645607,0.005087845802596775,0.2860090046884404,0.11760973843608263,1779
Profuturo,ret_COPX,0.3859146333603707,0.44404788161226194,0.12550314384679773,0,0.3859146333603707,0.44404788161226194,0.025451419968076882,0.005269638230735396,0.20704692458593585,0.09193874825671858,1779
Profuturo,ret_EPU,0.3140866961697787,0.39610051849276096,0.06275555736186789,0,0.3140866961697787,0.39610051849276096,0.018500791033520776,0.005269638230735396,0.28483313071249594,0.11282255075913601,1779
