afp,modelo,esquema_rezago,variable,coef_estandarizado,coef_original,coef_abs_estandarizado
Habitat,M1_pesos_reales,lag0_1_2,emergentes_x_rv_ext_lag0,0.000440975771491604,0.07155780438437298,0.000440975771491604
Habitat,M1_pesos_reales,lag0_1_2,vix_x_rv_total_lag1,-0.00042121857535601766,-0.00634477805739323,0.00042121857535601766
Habitat,M1_pesos_reales,lag0_1_2,vix_x_rv_total_lag0,-0.0003857802142243032,-0.005811002648124509,0.0003857802142243032
Habitat,M1_pesos_reales,lag0_1_2,tecnologia_x_rv_ext_lag1,0.00038184787184922345,0.0592176203625251,0.00038184787184922345
Habitat,M1_pesos_reales,lag0_1_2,peru_x_rv_local_lag1,0.00034186243937244285,0.07076915186899102,0.00034186243937244285
Habitat,M1_pesos_reales,lag0_1_2,cobre_x_rv_total_lag0,0.00030878926784379647,0.01804470928528107,0.00030878926784379647
Habitat,M1_pesos_reales,lag0_1_2,peru_x_rv_local_lag2,0.00024129608224342878,0.049950849005303916,0.00024129608224342878
Habitat,M1_pesos_reales,lag0_1_2,emergentes_x_rv_ext_lag1,0.00021826287234774227,0.03541811164382182,0.00021826287234774227
Habitat,M1_pesos_reales,lag0_1_2,credito_hy_x_rf_ext_lag0,0.00018042573450049751,3.852498369183752,0.00018042573450049751
Habitat,M1_pesos_reales,lag0_1_2,tesoro_x_rf_ext_lag0,-9.795793722748557e-05,-0.8181351752722926,9.795793722748557e-05
Habitat,M1_pesos_reales,lag0_1_2,credito_ig_x_rf_ext_lag0,-9.363714371561264e-05,-1.5249845786109304,9.363714371561264e-05
Habitat,M1_pesos_reales,lag0_1_2,fx_x_exterior_lag2,-7.395660188408326e-05,-0.011488257354042287,7.395660188408326e-05
Habitat,M1_pesos_reales,lag0_1_2,tesoro_x_rf_ext_lag1,-7.057885313312357e-05,-0.5894677247489404,7.057885313312357e-05
Habitat,M1_pesos_reales,lag0_1_2,credito_hy_x_rf_ext_lag1,6.519288632755815e-05,1.3920158837352936,6.519288632755815e-05
Habitat,M1_pesos_reales,lag0_1_2,cobre_x_rv_total_lag1,6.208912061142325e-05,0.0036283003662238287,6.208912061142325e-05
Habitat,M1_pesos_reales,lag0_1_2,vix_x_rv_total_lag2,-6.083916320966066e-05,-0.0009164149217221973,6.083916320966066e-05
Habitat,M1_pesos_reales,lag0_1_2,credito_ig_x_rf_ext_lag1,-5.431101094305615e-05,-0.8845149568901309,5.431101094305615e-05
Habitat,M1_pesos_reales,lag0_1_2,emergentes_x_rv_ext_lag2,-4.6327027013586726e-05,-0.007517613038095514,4.6327027013586726e-05
Habitat,M1_pesos_reales,lag0_1_2,fx_x_exterior_lag1,-4.232732578319129e-05,-0.0065750345380639254,4.232732578319129e-05
Habitat,M1_pesos_reales,lag0_1_2,global_x_rv_ext_lag2,3.232503029162382e-05,0.006652984525724131,3.232503029162382e-05
Habitat,M1_pesos_reales,lag0_1_2,credito_ig_x_rf_ext_lag2,3.0957506417866526e-05,0.5041772741688598,3.0957506417866526e-05
Habitat,M1_pesos_reales,lag0_1_2,credito_hy_x_rf_ext_lag2,2.9833892311634264e-05,0.6370212198119539,2.9833892311634264e-05
Habitat,M1_pesos_reales,lag0_1_2,tesoro_x_rf_ext_lag2,-2.884041578443395e-05,-0.24087235083287514,2.884041578443395e-05
Habitat,M1_pesos_reales,lag0_1_2,cobre_x_rv_total_lag2,2.261616257641144e-05,0.0013216201187986236,2.261616257641144e-05
Habitat,M1_pesos_reales,lag0_1_2,tecnologia_x_rv_ext_lag2,2.2094623756411894e-05,0.003426472001333189,2.2094623756411894e-05
Habitat,M1_pesos_reales,lag0_1_2,fx_x_exterior_lag0,-2.856438311615761e-06,-0.00044371285106544595,2.856438311615761e-06
Habitat,M2_hibrido,lag0_1_2,peru_x_rv_local_lag0,0.0008201960280712264,0.16977698608143355,0.0008201960280712264
Habitat,M2_hibrido,lag0_1_2,peru_lag0,0.0004484349098120786,0.03220351154846595,0.0004484349098120786
Habitat,M2_hibrido,lag0_1_2,global_x_rv_ext_lag0,0.000412516195421046,0.0849012399620192,0.000412516195421046
Habitat,M2_hibrido,lag0_1_2,global_lag0,0.00038717593573571853,0.03739088527191414,0.00038717593573571853
Habitat,M2_hibrido,lag0_1_2,emergentes_lag0,0.00032581408713457945,0.02605926209102818,0.00032581408713457945
Habitat,M2_hibrido,lag0_1_2,tecnologia_x_rv_ext_lag0,0.0002732262328184857,0.04237028607143963,0.0002732262328184857
Habitat,M2_hibrido,lag0_1_2,global_x_rv_ext_lag1,0.00025400535472478667,0.05227817821637017,0.00025400535472478667
Habitat,M2_hibrido,lag0_1_2,vix_x_rv_total_lag1,-0.0002446958402047898,-0.0036858317474592122,0.0002446958402047898
Habitat,M2_hibrido,lag0_1_2,vix_lag0,-0.00022375156442090162,-0.0027396550244316604,0.00022375156442090162
Habitat,M2_hibrido,lag0_1_2,global_lag1,0.0002134992327234285,0.020618717425892587,0.0002134992327234285
Habitat,M2_hibrido,lag0_1_2,vix_lag1,-0.0002115249244194317,-0.002589944316188125,0.0002115249244194317
Habitat,M2_hibrido,lag0_1_2,tecnologia_x_rv_ext_lag1,0.0002100054797671304,0.032568008601630664,0.0002100054797671304
Habitat,M2_hibrido,lag0_1_2,tecnologia_lag0,0.0002094427953990905,0.014763087585571101,0.0002094427953990905
Habitat,M2_hibrido,lag0_1_2,credito_hy_lag2,0.0002083435931804018,0.0398559852693045,0.0002083435931804018
Habitat,M2_hibrido,lag0_1_2,peru_x_rv_local_lag1,0.00020000235506818632,0.041402609382764737,0.00020000235506818632
Habitat,M2_hibrido,lag0_1_2,emergentes_x_rv_ext_lag0,0.00019864525398338037,0.03223446535020679,0.00019864525398338037
Habitat,M2_hibrido,lag0_1_2,peru_lag1,0.00018646042328263822,0.013391005604182622,0.00018646042328263822
Habitat,M2_hibrido,lag0_1_2,tecnologia_lag1,0.000182602630782072,0.01287224811435975,0.000182602630782072
