fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja
2026-05-31,2026,5,Prima,3,864967.941454,27.295155337977672,FP-1356-my2026.XLS,Fondo3xIntru,24,2,3. Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras,I. INVERSIONES LOCALES,3. Empresas no Financieras,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,443674.947503,14.000723068772263,FP-1356-my2026.XLS,Fondo3xIntru,12,2,2. Sistema Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero,I. INVERSIONES LOCALES,2. Sistema Financiero,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,84496.31443,2.6663878709499067,FP-1356-my2026.XLS,Fondo3xIntru,7,2,1. Gobierno,I. INVERSIONES LOCALES > 1. Gobierno,I. INVERSIONES LOCALES,1. Gobierno,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,82060.302352,2.5895164345791795,FP-1356-my2026.XLS,Fondo3xIntru,51,2,2. Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,59043.506617,1.863192388495747,FP-1356-my2026.XLS,Fondo3xIntru,37,2,4. Administradoras de Fondos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,3455.112727,0.1090304438742069,FP-1356-my2026.XLS,Fondo3xIntru,49,2,1. Gobierno,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,43,2,5. Sociedades Titulizadoras,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,57,2,3. Empresas no Financieras,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,,categoria_nivel_2,False
2026-05-31,2026,5,Prima,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,66,2,5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,2046174.439746,56.15109493738915,FP-1356-my2026.XLS,Fondo3xIntru,62,2,4. Administradoras de Fondos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,683322.0353,18.751715265147784,FP-1356-my2026.XLS,Fondo3xIntru,24,2,3. Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras,I. INVERSIONES LOCALES,3. Empresas no Financieras,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,325248.252358,8.925458720245294,FP-1356-my2026.XLS,Fondo3xIntru,37,2,4. Administradoras de Fondos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,315956.151093,8.67046498649324,FP-1356-my2026.XLS,Fondo3xIntru,12,2,2. Sistema Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero,I. INVERSIONES LOCALES,2. Sistema Financiero,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,122288.887561,3.355850215819236,FP-1356-my2026.XLS,Fondo3xIntru,49,2,1. Gobierno,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,106853.59269,2.932275035300558,FP-1356-my2026.XLS,Fondo3xIntru,43,2,5. Sociedades Titulizadoras,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,41471.428199,1.1380584454374445,FP-1356-my2026.XLS,Fondo3xIntru,7,2,1. Gobierno,I. INVERSIONES LOCALES > 1. Gobierno,I. INVERSIONES LOCALES,1. Gobierno,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,6629.695351,0.181932021937572,FP-1356-my2026.XLS,Fondo3xIntru,51,2,2. Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,57,2,3. Empresas no Financieras,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,,categoria_nivel_2,False
2026-05-31,2026,5,Profuturo,3,0.0,0.0,FP-1356-my2026.XLS,Fondo3xIntru,66,2,5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,,categoria_nivel_2,False
