afp,ultima_fecha_sbs,ultima_cuota_sbs,fuente_sbs,ultima_fecha_reconciliada,estado
Habitat,2026-07-17,32.0835618,ca0001_modelo80_sbs_oficial_detectado.csv,2026-07-17,CORRECTO
Integra,2026-07-17,68.4554312,ca0001_modelo80_sbs_oficial_detectado.csv,2026-07-17,CORRECTO
Prima,2026-07-17,62.048325,ca0001_modelo80_sbs_oficial_detectado.csv,2026-07-17,CORRECTO
Profuturo,2026-07-17,68.2147702,ca0001_modelo80_sbs_oficial_detectado.csv,2026-07-17,CORRECTO
