afp,orden,factor,descripcion,lag_dias,direccion_relacion,corr_train,corr_valid,corr_test,score_pretest,confirmada_en_test
Habitat,1,ret_IDX_VIX,Índice de volatilidad VIX,0,negativa,-0.4083525670436684,-0.3619305672996925,-0.4854254451435847,0.3619305672996925,True
Habitat,2,ret_COPX,ETF de mineras de cobre,0,positiva,0.3376802497597728,0.5049306036308797,0.5030999759159437,0.3376802497597728,True
Integra,1,ret_COPX,ETF de mineras de cobre,0,positiva,0.3923623161944264,0.3982017462114607,0.5284336948521056,0.3923623161944264,True
Integra,2,ret_EPU,ETF de acciones peruanas,0,positiva,0.3236450567233848,0.396471841053434,0.5013460230839392,0.3236450567233848,True
Prima,1,ret_COPX,ETF de mineras de cobre,0,positiva,0.3845201883237487,0.4073500659657399,0.5282024056973785,0.3845201883237487,True
Prima,2,ret_EPU,ETF de acciones peruanas,0,positiva,0.3246052558257438,0.3948046975642753,0.493911158849343,0.3246052558257438,True
Prima,3,ret_IDX_VIX,Índice de volatilidad VIX,0,negativa,-0.4408465625545505,-0.2841172410725053,-0.5037805615237684,0.2841172410725053,True
Prima,4,ret_XLB,ETF del sector materiales de Estados Unidos,0,positiva,0.3341920731816296,0.2736791491511997,0.299768517399038,0.2736791491511997,True
Profuturo,1,ret_COPX,ETF de mineras de cobre,0,positiva,0.3985266494126076,0.3899688229943503,0.5232019414264143,0.3899688229943503,True
Profuturo,2,ret_EPU,ETF de acciones peruanas,0,positiva,0.3230886993631429,0.3824271579712671,0.5003511049165328,0.3230886993631429,True
