afp,tipo_modelo,n_factores,n_indices_nativos,familia,alpha,half_life,n_diario,mae_diario,rmse_diario,r2_diario,correlacion_diaria,direccion_diaria_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,CAMPEON_PRE_INDICES,12,0,EW_RIDGE,0.001,60.0,593,0.0034520696516866494,0.005085083081893251,0.5348793843237282,0.790041657867889,76.55986509274874,593,0.6555571881101724,0.46940146445062503,1.483904775776344,4.67354397559081,0.00740138198523039,0.8279500247643761,80.26981450252951
Habitat,CAMPEON_CON_INDICES,14,3,EW_RIDGE,0.001,60.0,593,0.0034132309949079917,0.005021611705199212,0.5464180755597746,0.7943205221860734,76.55986509274874,593,0.635169624254178,0.44366518336793614,1.4598101527921925,4.621772589795059,0.0024193725957943066,0.8388369765011199,82.79932546374368
Integra,CAMPEON_PRE_INDICES,4,0,EW_RIDGE,0.001,500.0,593,0.0037920504530079622,0.005604207046669478,0.49824073366233,0.8051213426232143,77.23440134907251,593,0.7187925348940164,0.45429211263476876,1.729678950799141,6.2352402396386175,-0.048564725093753626,0.8030384920764024,79.76391231028668
Integra,CAMPEON_CON_INDICES,5,1,EW_RIDGE,10.0,500.0,593,0.0038279351791529388,0.005639501971709103,0.4919007386014169,0.8031020409056088,79.25801011804384,593,0.7220816305102218,0.47424025032865025,1.7681883436357595,6.215729655839719,-0.057825677243800645,0.8009030969671731,79.93254637436762
Prima,CAMPEON_PRE_INDICES,3,0,EW_RIDGE,0.001,500.0,593,0.003953930954729629,0.006128993650260667,0.46599473198694397,0.8068538167943772,80.10118043844857,593,0.7831184574045941,0.500345065408625,1.922542974212912,6.633689363175055,-0.015116405841629415,0.7880153150831186,81.28161888701517
Prima,CAMPEON_CON_INDICES,5,2,EW_RIDGE,10.0,500.0,593,0.00406702307417693,0.006105060489693001,0.47015707293152686,0.7950010771001059,76.39123102866779,593,0.7647286254092184,0.49798127724205443,1.8462707052106926,5.895982517056875,0.001997164793216466,0.8009970684269263,80.26981450252951
Profuturo,CAMPEON_PRE_INDICES,6,0,EW_RIDGE,0.001,500.0,593,0.004019597700941997,0.005982520701969435,0.4678129597267875,0.7843438026190215,78.24620573355818,593,0.7489080082540804,0.49619228800407145,1.8236098064499777,5.998888376766209,-0.02443690419102324,0.8128585356949862,82.1247892074199
Profuturo,CAMPEON_CON_INDICES,6,0,EW_RIDGE,0.001,500.0,593,0.004019597700941997,0.005982520701969435,0.4678129597267875,0.7843438026190215,78.24620573355818,593,0.7489080082540804,0.49619228800407145,1.8236098064499777,5.998888376766209,-0.02443690419102324,0.8128585356949862,82.1247892074199
