escenario,periodo,fecha_cartera,afp,ACWI,COPX,CPER,EEM,EPU,EWJ,GLD,HYG,ILF,LQD,MCHI,PRIVATE_ALTERNATIVES,QQQ,RESIDUAL_NO_MAPEADO,SPY,TLT,VGK,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY
ampliado_15pct,2015-01,2015-01-30,Habitat,0.121674032125593,0.0,0.0,0.0545153333462195,0.0,0.0326889839958571,0.0,0.0,0.0,0.0049568152893709,0.0078525382232989,0.0,0.0,0.1070241838742889,0.23114027373706708,0.0,0.0401673967547762,0.0007132199810589,0.0004146760103712,0.0111377732153813,0.0022952117820957,0.0044120215134205,0.0022196179541058,0.0032617406215249,0.0072169999584996
ampliado_15pct,2015-01,2015-01-30,Integra,5.857455722241422e-05,0.0,0.0,0.0215277818290625,0.0,0.0088652868514154,0.0,0.0,0.0036573595033911,1.1668811888725133e-07,0.03552601363489874,0.0243922471692882,0.0,0.09703603349919368,0.13769399935102056,0.0,0.0910424992523041,0.0001274982661213,0.011979784100414592,0.0913761074686269,0.0424326224553269,0.0105921702417662,0.0011731920608615,0.0198324071685937,0.0
ampliado_15pct,2015-01,2015-01-30,Prima,0.0017489356892003,0.0,0.0,0.0192793610342054,0.0,0.019310257724518,0.0,0.0,0.0047414721719466,4.771073283111384e-05,0.004573420570060215,0.034121698891151,0.0,0.1346690199631149,0.20850578103908363,0.0029401944408893998,0.04747503761429521,0.0,0.013356744776879826,0.010674589515740601,0.0171828994559034,0.0,0.0,0.0,0.0471308539270558
ampliado_15pct,2015-01,2015-01-30,Profuturo,8.786518947637249e-05,0.0003469323488509,0.0,0.0,0.0,0.0117608249293582,0.0,0.0,0.0,0.0138767005926075,0.0570755117366135,0.0220666734355683,0.0,0.0721892587447647,0.1684212594812285,0.0182588596873541,0.072704810103524,0.0,0.0046365515197763,0.0744471644981254,0.024445420740999,0.0188471925515142,0.0054877374165773,0.0245300382180049,0.04183999601855
ampliado_15pct,2015-02,2015-02-27,Habitat,0.11881811897664249,0.0,0.0,0.0591701599207247,0.0,0.041593931464906,0.0,0.0,0.0,0.0047536706220725,0.0065443530196017,0.0,0.0,0.1043125636036633,0.2166326473176885,0.0,0.044373588031514505,0.000721678357289,0.0004064770953483,0.014346882167721899,0.0022661347461877,0.0044654561614519,0.0021663944690446,0.0031881161161742,0.0084392636770098
ampliado_15pct,2015-02,2015-02-27,Integra,5.606629351617124e-05,0.0,0.0,0.0217793349958722,0.0,0.0090910377328378,0.0,0.0,0.0021756048679364,1.1507096117683453e-07,0.04028443021163354,0.0237020496406962,0.0,0.13888370142175827,0.1501427823179526,0.0,0.06411081635900309,0.0001334670861205,0.018467122246046953,0.0876532487397138,0.0231796428008288,0.0110908001993431,0.0011846175027341,0.027289986978632202,0.0
ampliado_15pct,2015-02,2015-02-27,Prima,0.0019364553657186,0.0,0.0,0.0334356727768936,0.0,0.020169783882735097,0.0,0.0,0.0048027053137931,4.644740747565077e-05,0.0046141612405722,0.0353524811483317,0.0,0.15178231468613876,0.21409393741650334,0.001464032853087,0.04110210905069356,0.0,0.0108160688713618,0.0210739211916427,0.0042233319959111,0.0,0.0,0.0,0.0506577384036666
ampliado_15pct,2015-02,2015-02-27,Profuturo,8.560110720901414e-05,0.0003424809026727,0.0,0.0096536283055127,0.0,0.0120721766679658,0.0,0.0,0.0,0.013710044703689798,0.0320312913427794,0.013558173081036,0.0,0.0679981395558847,0.17098255963974662,0.0197995961723143,0.0933526737962519,0.0,0.0204314332883268,0.0801762972074936,0.0,0.0195176178032684,0.0136293251969462,0.0252449862767789,0.0457557288256151
ampliado_15pct,2015-03,2015-03-31,Habitat,0.1133689727008792,0.0,0.0,0.059225905595477996,0.0,0.0412754299171333,0.0,0.0,0.0,0.0046662718390956,0.0067508920537552,0.0,0.0,0.107282605525583,0.2261126348814317,0.0,0.0522045518384014,0.0006630739796378,0.0003870332070594,0.013609691597048699,0.002132030758413,0.0083811129490763,0.002047696598046,0.0031184295018528,0.0083291103121676
ampliado_15pct,2015-03,2015-03-31,Integra,0.010340971343592164,0.0,0.0,0.0007082284640776292,0.0,0.0147602435598977,0.0,0.0,0.0,1.1806663567176863e-07,0.028782494927479342,0.024192704718224,0.0,0.11761306661421457,0.1793732622607617,0.0,0.07403019853858321,0.0001292038536527,0.008085333039605373,0.09347944594035029,0.0229772187614234,0.0108990468210004,0.0011797478632378,0.0279871111490739,0.0
ampliado_15pct,2015-03,2015-03-31,Prima,0.0031432837720624,0.0,0.0,0.043283823994729,0.0,0.0212490743258213,0.0,0.0,0.0005170734397938,4.693221425275343e-05,0.0,0.0357389615821972,0.0,0.135513616738273,0.22003790144538918,0.0002169016622626,0.0680988474168517,0.0,0.0002673537717616,0.03515874902607924,5.679548701192729e-05,0.0,0.0,0.0,0.0308161247606495
ampliado_15pct,2015-03,2015-03-31,Profuturo,8.347736265842837e-05,0.0003445065946676,0.0,0.0097176210801805,0.0,0.0247905031124206,0.0,0.0,0.0,0.013866045649529,0.0328455882348231,0.014705440502032801,0.0,0.0832655184628883,0.15822818233354669,0.0200543921747179,0.1010756087253788,0.0,0.0121784456599175,0.0690750339340223,0.0110953495951666,0.008271910907372,0.0133357449892425,0.0224743179492127,0.0431194846310844
ampliado_15pct,2015-04,2015-04-30,Habitat,0.110726709265206,0.0,0.0,0.06007343793692781,0.0,0.0356202956939957,0.0,0.0,0.0,0.0045048810456734,0.0043381180670883,0.0,0.0,0.1177371712710277,0.2307401397835185,0.0,0.0517724932090704,0.0006509250029661,0.0003917480506284,0.0299636792391817,0.0020198066794011,0.0081407451289025,0.0019300301528119,0.0029099004442173,0.0079063480300742
ampliado_15pct,2015-04,2015-04-30,Integra,0.030879755823706726,0.0,0.0,0.0007449175961230265,0.0,0.0165111436612286,0.0,0.0,0.0,1.1897679465584925e-07,0.032995029763687816,0.0235491959514978,0.0,0.11418083068982653,0.17137142457892027,0.0,0.09361630406233434,0.0001317098831016,0.008499040899009401,0.0840093813350762,0.0226041263547452,0.0110447599284466,0.0011546799206842,0.0273018826955904,0.0
ampliado_15pct,2015-04,2015-04-30,Prima,0.001194351980421,0.0,0.0,0.048712903247004,0.0,0.021784860343087402,0.0,0.0,0.0,4.602335746759232e-05,0.0,0.0344921245099127,0.0,0.13908046738475918,0.22067840829127142,0.0002079123697673,0.0515123984733841,0.0,0.0098013217532068,0.04410631223525506,5.637566976663688e-05,0.0116005414231178,0.0,0.0,0.0257363907173705
ampliado_15pct,2015-04,2015-04-30,Profuturo,8.981250705162608e-05,0.0003421594321636,0.0,0.0282620589411826,0.0,0.025156225563795,0.0,0.0,0.0,0.0075911970836791,0.0276250525550632,0.0144606679210155,0.0,0.0846570782980573,0.1480761284723854,0.0,0.0955576837322639,0.0,0.0175919568721816,0.0702997695358083,0.010981987433381,0.0086309590954944,0.0131322572323726,0.0251351418799071,0.0412643901859593
