fuente,filas_unicas_antes,clusters_detectados,filas_descartadas_auditoria,filas_unicas_despues,reduccion_pct
hoja3,29643,1084,1084,28559,3.6568498465067636
hoja10,30960,1063,1076,29884,3.4754521963824287
