afp,familia,modelo,parametros,val_mae,val_rmse,val_r2,val_mape_5d_pct,val_p90_5d_pct,estado,seleccionado_familia
Habitat,EW_RIDGE,EW_RIDGE_HL250_A10,"{""alpha"": 10.0, ""half_life"": 250}",0.0035482563881370113,0.004958527130047717,0.2812399549017036,0.7569751010473242,1.4975925405169301,CORRECTO,False
Habitat,EW_RIDGE,EW_RIDGE_HL500_A0.001,"{""alpha"": 0.001, ""half_life"": 500}",0.0035596758465732676,0.004989598905637153,0.27220375374699646,0.7683377671836853,1.554220486502593,CORRECTO,False
Habitat,EW_RIDGE,EW_RIDGE_HL500_A0.1,"{""alpha"": 0.1, ""half_life"": 500}",0.003559687891280104,0.004989629858624855,0.2721947239477841,0.7683531181207747,1.5542967431166783,CORRECTO,False
Habitat,EW_RIDGE,EW_RIDGE_HL500_A10,"{""alpha"": 10.0, ""half_life"": 500}",0.003561179096089835,0.004992771448832492,0.2712779482349905,0.7698685839701799,1.557071404907881,CORRECTO,False
Integra,ARIMAX,ARIMAX_000,"{""order"": [0, 0, 0]}",0.0033633115757628063,0.0055616754944236005,0.15089248059876725,0.7086803692089835,1.4539775410860631,CORRECTO,True
Integra,ARIMAX,ARIMAX_100,"{""order"": [1, 0, 0]}",0.00339165293940074,0.005576033046051279,0.14650285347184855,0.7186353966095174,1.4960127502830167,CORRECTO,False
Integra,ARIMAX,ARIMAX_200,"{""order"": [2, 0, 0]}",0.003371841757805466,0.005556998527065479,0.15231995632594075,0.7200504941791737,1.4797398333949379,CORRECTO,False
Integra,ARIMAX,ARIMAX_101,"{""order"": [1, 0, 1]}",0.003401112319698197,0.005552924435165265,0.15356244736255142,0.7130120493923192,1.4743807814013612,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.001,"{""alpha"": 0.001, ""ventana"": 120}",0.00337731555133534,0.005515516711196955,0.16492822461997259,0.69507764706754,1.363310706973562,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.1,"{""alpha"": 0.1, ""ventana"": 120}",0.0033767442962209155,0.005515050719825591,0.16506932465597213,0.6950939251577661,1.3629822791080137,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W120_A10,"{""alpha"": 10.0, ""ventana"": 120}",0.0033443724585125543,0.005489772796221291,0.17270549969362325,0.6978093569859781,1.352425516587719,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.001,"{""alpha"": 0.001, ""ventana"": 250}",0.003420669992705198,0.005558044287600465,0.15200087985212185,0.6861486392222862,1.3883164855883015,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.1,"{""alpha"": 0.1, ""ventana"": 250}",0.003420543689104497,0.00555788467598787,0.15204958351715137,0.686151679589058,1.3882679866973893,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W250_A10,"{""alpha"": 10.0, ""ventana"": 250}",0.0034092544048040605,0.00554544305544436,0.15584169857714303,0.6869943271747422,1.3927881667569466,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.001,"{""alpha"": 0.001, ""ventana"": 500}",0.0035051490901058004,0.0055996605858879105,0.13925441615880108,0.700012536140525,1.4751635566829882,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.1,"{""alpha"": 0.1, ""ventana"": 500}",0.003505065114021548,0.0055996091122847425,0.13927024050111503,0.7000173887974742,1.4751721988148028,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W500_A10,"{""alpha"": 10.0, ""ventana"": 500}",0.0034969224736931,0.005594823380601021,0.14074086509033656,0.7005694972775481,1.4772512997318634,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.001,"{""alpha"": 0.001, ""ventana"": 1000}",0.003508517157646168,0.00559183138409591,0.14165964758675242,0.6806887710239217,1.350711989314136,CORRECTO,True
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.1,"{""alpha"": 0.1, ""ventana"": 1000}",0.0035084755094562958,0.005591806090490322,0.14166741265395177,0.6806915954765115,1.3507175670149194,CORRECTO,False
Integra,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A10,"{""alpha"": 10.0, ""ventana"": 1000}",0.003504362373080175,0.005589349160223036,0.14242151606257314,0.680990776070005,1.351942091514565,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL60_A0.001,"{""alpha"": 0.001, ""half_life"": 60}",0.0033628097245758663,0.005505911970369934,0.16783408631937236,0.6833693890174279,1.3801304440813225,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL60_A0.1,"{""alpha"": 0.1, ""half_life"": 60}",0.003362327818222925,0.005505551287377447,0.16794311031485576,0.6834198370539757,1.3799135333841095,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL60_A10,"{""alpha"": 10.0, ""half_life"": 60}",0.003333338991428751,0.005487627595577526,0.173351925698628,0.6892150886294032,1.3695019734034335,CORRECTO,False
Integra,EW_RIDGE,EW_RIDGE_HL120_A0.001,"{""alpha"": 0.001, ""half_life"": 120}",0.003392699369244297,0.0055261018856149705,0.16171987154547318,0.6815917664372464,1.3901662453332888,CORRECTO,True
Integra,EW_RIDGE,EW_RIDGE_HL120_A0.1,"{""alpha"": 0.1, ""half_life"": 120}",0.003392524652643234,0.005525981475669021,0.1617564022383089,0.6816138419981712,1.3901512026707732,CORRECTO,False
