escenario,afp,inicio,fin,meses_consecutivos
ampliado_15pct,Habitat,2015-01,2026-01,133
ampliado_15pct,Integra,2015-01,2021-05,77
ampliado_15pct,Integra,2023-07,2026-01,31
ampliado_15pct,Integra,2021-07,2021-08,2
ampliado_15pct,Prima,2015-01,2022-04,88
ampliado_15pct,Prima,2023-04,2026-01,34
ampliado_15pct,Prima,2022-06,2022-08,3
ampliado_15pct,Prima,2022-11,2023-01,3
ampliado_15pct,Profuturo,2015-01,2021-10,82
ampliado_15pct,Profuturo,2023-11,2025-12,26
ampliado_15pct,Profuturo,2022-11,2023-01,3
ampliado_15pct,Profuturo,2023-07,2023-09,3
ampliado_15pct,Profuturo,2021-12,2022-01,2
ampliado_15pct,Profuturo,2022-03,2022-03,1
ampliado_15pct,Profuturo,2023-05,2023-05,1
principal_5pct,Habitat,2016-07,2020-03,45
principal_5pct,Habitat,2024-03,2026-01,23
principal_5pct,Habitat,2020-05,2021-12,20
principal_5pct,Habitat,2015-01,2016-05,17
principal_5pct,Habitat,2022-05,2023-09,17
principal_5pct,Habitat,2022-02,2022-02,1
principal_5pct,Habitat,2023-11,2023-11,1
principal_5pct,Integra,2016-12,2018-06,19
principal_5pct,Integra,2015-10,2016-10,13
principal_5pct,Integra,2015-01,2015-08,8
principal_5pct,Integra,2018-08,2018-12,5
principal_5pct,Integra,2019-02,2019-03,2
principal_5pct,Integra,2019-07,2019-07,1
principal_5pct,Integra,2024-05,2024-05,1
principal_5pct,Prima,2015-01,2020-04,64
principal_5pct,Prima,2020-06,2021-08,15
principal_5pct,Prima,2024-08,2025-03,8
principal_5pct,Prima,2025-05,2025-09,5
principal_5pct,Prima,2025-11,2026-01,3
principal_5pct,Prima,2022-02,2022-02,1
principal_5pct,Profuturo,2016-07,2018-08,26
principal_5pct,Profuturo,2015-01,2016-05,17
principal_5pct,Profuturo,2018-11,2018-12,2
principal_5pct,Profuturo,2019-02,2019-03,2
principal_5pct,Profuturo,2019-06,2019-06,1
principal_5pct,Profuturo,2024-07,2024-07,1
