escenario,variante_confianza,periodo,fecha_cartera,afp,estado_cobertura,error_cobertura_pct,factor_reescala,peso_exterior_total,peso_total_fondo_total,peso_publico_modelado,peso_no_publico_o_no_mapeado,peso_excluido_confianza,ACWI,SPY,QQQ,EEM,ILF,EPU,VGK,EWJ,MCHI,XLK,XLF,XLE,XLB,XLI,XLV,XLY,XLP,GLD,CPER,COPX,TLT,LQD,HYG,PRIVATE_ALTERNATIVES,RESIDUAL_NO_MAPEADO,PESO_EXCLUIDO_POR_CONFIANZA,peso_total_reconstruido,diferencia_control,estado_control,fecha_disponible,siguiente_fecha_disponible,fecha_fin_por_antiguedad,fecha_fin_validez,dias_ventana,ventana_utilizable
ampliado_15pct,alta,2015-01,2015-01-30,Habitat,estricto,1.0733118300255473,1.0108495679970746,0.9999999999999979,0.6316908183829295,0.44156073929141987,0.0960990310137214,0.0940310480777883,0.1123097807719432,0.19084502150085209,0.0,0.0503480858109549,0.0,0.0,0.0269899654578791,0.0326889839958571,0.0078525382232989,0.0044120215134205,0.0032546163310828,0.0004146760103712,0.0007132199810589,0.0022952117820957,0.0,0.0072169999584996,0.0022196179541058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0960990310137214,0.0940310480777883,0.6316908183829295,0.0,correcto,2015-03-16,2015-04-13,2015-04-15,2015-04-12,28,True
ampliado_15pct,alta,2015-02,2015-02-27,Habitat,estricto,1.96713406270872,1.0200660670674164,0.9999999999999979,0.6321994357470411,0.4570400542748467,0.0973036059634315,0.0778557755087628,0.1095288361507721,0.1911814142878217,0.0,0.055214278262506494,0.0,0.0,0.0312840355479376,0.041593931464906,0.0065443530196017,0.0044654561614519,0.0032278010349699,0.0004064770953483,0.000721678357289,0.0022661347461877,0.0,0.0084392636770098,0.0021663944690446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973036059634315,0.0778557755087628,0.632199435747041,-1.1102230246251565e-16,correcto,2015-04-13,2015-05-15,2015-05-13,2015-05-13,31,True
ampliado_15pct,alta,2015-03,2015-03-31,Habitat,estricto,0.3348795600568999,1.0033600477135698,0.9999999999999973,0.649555443255059,0.4642376064652006,0.1063149739239889,0.0790028628658694,0.1045161067312247,0.191403998927725,0.0,0.0554558242769273,0.0,0.0,0.0397957056799397,0.0412754299171333,0.0067508920537552,0.0083811129490763,0.0030995910740954,0.0003870332070594,0.0006630739796378,0.002132030758413,0.0,0.0083291103121676,0.002047696598046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063149739239889,0.0790028628658694,0.649555443255059,0.0,correcto,2015-05-15,2015-06-14,2015-06-14,2015-06-13,30,True
ampliado_15pct,alta,2015-04,2015-04-30,Habitat,estricto,1.994388713251638,1.020349740051275,0.999999999999998,0.669426429000691,0.45003907260365617,0.1230878397597227,0.0962995166373122,0.1019201539723327,0.1756069826219692,0.0,0.0562160962792565,0.0,0.0,0.0395053828743989,0.0356202956939957,0.0043381180670883,0.0081407451289025,0.0157924400498306,0.0003917480506284,0.0006509250029661,0.0020198066794011,0.0,0.0079063480300742,0.0019300301528119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1230878397597227,0.0962995166373122,0.669426429000691,0.0,correcto,2015-06-14,2015-07-13,2015-07-14,2015-07-12,29,True
ampliado_15pct,alta,2015-05,2015-05-29,Habitat,estricto,0.0695776966025074,1.0006962614086756,0.9999999999999978,0.6613301433381213,0.43595494267852014,0.1239914915818894,0.10138370907771191,0.0892459560647019,0.16557359356219759,0.0,0.036179050075742,0.0,0.0,0.060760840577594,0.0362864374634974,0.0104252153584,0.0037885667833932,0.0196836691860457,0.0,0.0005979340916784,0.0043015377361712,0.0,0.0073305520889819,0.0017815896901168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239914915818894,0.10138370907771191,0.6613301433381215,1.1102230246251565e-16,correcto,2015-07-13,2015-08-14,2015-08-12,2015-08-12,31,True
ampliado_15pct,alta,2015-06,2015-06-30,Habitat,estricto,0.6188754493602233,1.0062272936853809,0.999999999999998,0.647468567792036,0.42378488280099424,0.1211252260819283,0.1025584589091135,0.08403024534644779,0.15644682106356259,0.0,0.0143846093346329,0.0,0.0,0.080056493340454,0.0476327069793846,0.0043993653743546,0.0035181803909448,0.0204217868277019,0.0,0.0,0.0040556543423255,0.0,0.0071481270477856,0.0016908927533999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211252260819283,0.1025584589091135,0.6474685677920361,1.1102230246251565e-16,correcto,2015-08-14,2015-09-14,2015-09-13,2015-09-13,31,True
ampliado_15pct,alta,2015-07,2015-07-31,Habitat,estricto,1.5984014963401183,1.016243653768294,0.9999999999999983,0.6683066273261262,0.4144996469614705,0.12169444518073651,0.1321125351839193,0.0820185256093879,0.1658165719906971,0.0,0.0126647643140145,0.0,0.0,0.0595748746581081,0.0528644776491505,0.0037472309086035,0.0035099769504754,0.0213532164428129,0.0,0.0,0.0039435223838106,0.0,0.0072729045199679,0.0017335815344421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12169444518073651,0.1321125351839193,0.6683066273261263,1.1102230246251565e-16,correcto,2015-09-14,2015-10-15,2015-10-14,2015-10-14,31,True
ampliado_15pct,alta,2015-08,2015-08-31,Habitat,estricto,0.0758370927917417,1.000758946490872,0.9999999999999981,0.6805404463399658,0.3738705912181011,0.1358632847127132,0.1708065704091515,0.0162730768829639,0.2061356296204528,0.0,0.0047728492141103,0.0,0.0,0.0600467636066804,0.0443613514563771,0.0,0.0032352619378872,0.0203964773197645,0.0011173202420675,0.0,0.0036365918953528,0.0,0.0123060638567714,0.0015892051856732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358632847127132,0.1708065704091515,0.6805404463399658,0.0,correcto,2015-10-15,2015-11-14,2015-11-14,2015-11-13,30,True
ampliado_15pct,alta,2015-09,2015-09-30,Habitat,estricto,1.2423217311194557,1.012579495112644,0.9999999999999981,0.656204327167668,0.37874467520476773,0.1117238291796131,0.1657358227832871,0.0135187131831274,0.21514648443346018,0.0,0.007839216594275101,0.0,0.0,0.0588229578250608,0.0403460479339624,0.0017856977430732,0.0031004612374584,0.0212767725827995,0.0,0.0,0.003455165892937,0.0,0.0119048027980798,0.001548354980534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117238291796131,0.1657358227832871,0.656204327167668,0.0,correcto,2015-11-14,2015-12-14,2015-12-14,2015-12-13,30,True
ampliado_15pct,alta,2015-10,2015-10-30,Habitat,estricto,0.1056472411245512,1.001057589725613,0.9999999999999981,0.6501396749342835,0.3741776367790002,0.1241215071506806,0.1518405310046027,0.0078285207033488,0.2113150020489495,0.0,0.0078574047599853,0.0,0.0,0.06284329459736611,0.0395333356106424,0.0027466496106125,0.0030362505542738,0.0224188664324083,0.0,0.0,0.0033307295510574,0.0,0.0118172384800745,0.0014503444302816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241215071506806,0.1518405310046027,0.6501396749342835,0.0,correcto,2015-12-14,2016-01-14,2016-01-13,2016-01-13,31,True
ampliado_15pct,alta,2015-11,2015-11-30,Habitat,operativo,2.6388689443239466,1.027103926543488,0.9999999999999981,0.6444575688469679,0.32989315599865027,0.10755636802528414,0.2070080448230335,0.0,0.1851197019058034,0.0,0.0096636912870636,0.0,0.0,0.0697385408816308,0.0201009018325385,0.0054049689740851,0.0029547356158251,0.0220949546098019,0.0,0.0,0.0032463244748615,0.0,0.0101808071694472,0.0013885292475932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10755636802528414,0.2070080448230335,0.6444575688469679,0.0,correcto,2016-01-14,2016-02-14,2016-02-13,2016-02-13,31,True
ampliado_15pct,alta,2015-12,2015-12-31,Habitat,operativo,2.6873072850239543,1.0276151775277145,0.9999999999999988,0.6627500058307696,0.350879527491931,0.08573706276071852,0.2261334155781201,0.0,0.186575305266786,0.0,0.0152574391728562,0.0,0.0,0.08799307439325751,0.0176596460006374,0.0068365274681845,0.0,0.0220680007230299,0.0,0.0,0.0019177069128354,0.0,0.0112028338925675,0.0013689936617766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08573706276071852,0.2261334155781201,0.6627500058307696,0.0,correcto,2016-02-14,2016-03-14,2016-03-15,2016-03-13,29,True
