afp,modelo,referencia,n_dm,diferencia_media_perdida,dm_estadistico,dm_pvalor,supera_campeon_con_evidencia
Habitat,CAMPEON_CON_INDICES,CAMPEON_PRE_INDICES,593,-0.0002038756385599438,-3.830339901111545,0.0001279663707955958,True
Integra,CAMPEON_CON_INDICES,CAMPEON_PRE_INDICES,593,3.2890956162054215e-05,1.573875159778607,0.11551631368225923,False
Prima,CAMPEON_CON_INDICES,CAMPEON_PRE_INDICES,593,-0.0001838983199537581,-1.7728823540052765,0.0762482032453069,False
Profuturo,CAMPEON_CON_INDICES,CAMPEON_PRE_INDICES,593,0.0,,,False
