bloque,fecha_inicio,fecha_fin,fechas,porcentaje
entrenamiento,2015-02-02,2021-11-24,1767,60.0
validacion,2021-11-25,2024-02-29,589,20.0
test_final,2024-03-01,2026-06-30,589,20.0
