afp,mejor_esquema,alpha_ridge,rmse,mae,r2,correlacion,acierto_direccion_pct
Habitat,lag0_1_2,100.0,0.006484913780861362,0.004320860665362131,0.4247526578126768,0.7323396183850398,75.80645161290323
Integra,lag0,100.0,0.006964819934029303,0.00478035693987836,0.4134836569472007,0.7670812877643713,74.46236559139786
Prima,lag0,100.0,0.007388101238125826,0.005010382640487954,0.39149496703740727,0.7659138078639518,75.80645161290323
Profuturo,lag0_1,100.0,0.0073953719041329295,0.00499517230033466,0.3994739294152083,0.7374810108915454,76.88172043010752
