control,estado,detalle
sbs_ultima_fecha_tiene_4_afp,correcto,"fecha=2026-06-30, afp=4"
sbs_cuotas_positivas,correcto,cuotas_no_positivas=0
mercados_fecha_maxima,correcto,2026-07-03
mercado_ret_COPX_disponible,correcto,observaciones=2694
mercado_ret_EPU_disponible,correcto,observaciones=2694
mercado_ret_XLB_disponible,correcto,observaciones=2694
mercado_ret_IDX_VIX_disponible,correcto,observaciones=2719
