fecha_cuota,ret_BVL_PEN_ALICORP,ret_BVL_PEN_INRETAIL_PERU,ret_BVL_PEN_BACKUS,ret_BVL_PEN_FERREYCORP,ret_BVL_PEN_UNACEM,ret_BVL_PEN_CEMENTOS_PACASMAYO,ret_BVL_PEN_SIDERPERU,ret_BVL_PEN_ACEROS_AREQUIPA,ret_BVL_PEN_BUENAVENTURA,ret_BVL_USD_SOUTHERN_COPPER,ret_BVL_PEN_SOUTHERN_COPPER,ret_BVL_PEN_MINSUR,ret_BVL_PEN_VOLCAN,ret_BVL_PEN_NEXA_RESOURCES_PERU,ret_BVL_PEN_CERRO_VERDE,ret_BVL_USD_CREDICORP,ret_BVL_PEN_CREDICORP,ret_BVL_USD_INTERCORP_FINANCIAL_SERVICES,ret_BVL_PEN_INTERCORP_FINANCIAL_SERVICES,ret_BVL_PEN_ENGIE_ENERGIA_PERU,ret_BVL_PEN_LUZ_DEL_SUR,ret_BVL_PEN_PLUZ_ENERGIA_PERU,ret_BVL_PEN_AUSTRAL_GROUP
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,
2014-12-02,0.0,0.0025838674185021393,-0.01463445674378061,-0.024844611236059855,-0.0034128664109615015,,,0.01694924066762482,0.0,-0.0070260928269908485,0.01889027813685984,0.0,-0.04878038585163358,-0.020746856503421784,0.0,0.017618627141989363,0.044178219141561614,,,,,,
2014-12-03,0.0,-0.0005155130515124284,0.0,0.006369144667661697,0.020547506669102544,0.0,0.0,-0.03333321971704617,,0.005727916390614762,-0.009538509870159029,0.010256260529565742,0.0,0.012711856914572772,0.00041257842335284955,0.014746225062580054,-0.0006570944295475334,,,,0.007000035269267846,,0.0
2014-12-04,0.0,0.0,0.0,-0.00632883539942497,-0.003355365648338049,0.009920471815352272,0.0,-0.017241269544325255,,0.005695294221494063,0.004124253249258691,0.0,-0.025641010759012817,0.0125523541556678,0.009892671304364775,-0.006530781566590149,-0.008082723646643086,,,0.0,0.0009929547946130324,,0.0
2014-12-05,-0.01621617986293722,-0.007220071754233004,,0.006369144667661697,0.010100885354717315,0.021611106582986928,-0.040001546219617046,-0.01754384566127898,-0.006756632879751701,0.007661042743616564,0.0321509914484055,-0.02538057823146256,-0.013157886899050841,-0.0041323080633342,0.00040825804822408607,-0.00047378181740287406,0.02381846009137889,,,,0.0,,
2014-12-08,0.0,,,,0.0,0.0,,0.0,,-0.024131766684433065,-0.04526567210611221,0.0,0.0,0.0,0.0,0.00011867566621215353,-0.021540409833653573,,,,0.0,,
2014-12-09,0.004120983667373457,-0.002597230180806487,-0.0016502444500670066,-0.018987211114146696,0.0,0.0019229603185324518,0.0,0.0,0.07312903467635135,-0.007452731073474883,0.01933937657458129,-0.046875037567061684,0.053333473601828496,0.004149454889231352,-0.004487902609678018,0.0029027222545392473,0.029974357567417398,,,0.005208540936276096,0.024801577959436383,,-0.027777698824473784
2014-12-10,0.0,-0.010416694848087604,0.008264465427203938,0.0193547029450154,-0.00333317387594112,0.007677715588170653,,0.0,,-0.015016776412809185,-0.01368573515655902,-0.005464401384569495,-0.012658382250791078,0.004132189144572251,0.0,-0.033670072105418836,-0.032364237680652996,,,0.01036263174341645,0.1374640386052095,,-0.028571442492989596
2014-12-11,-0.015048070698631566,-0.0005264873373598267,0.0,0.0,0.0,0.009523758347512512,,-0.01785712836527298,,-0.0117814255207902,-0.012948345206093337,0.016483529026133148,0.02564117658715559,-0.032922008325586116,-0.01598365860745754,-0.02218938866717679,-0.023344018301075242,,,0.008205102611522852,,,
2014-12-12,0.0,-0.015271191108776394,-0.008196723886031543,-0.018987211114146696,-0.01337799891690683,-0.013207581237421606,0.0,0.0,,-0.029102206454958757,-0.04320407722981923,0.01621614517984238,0.0,0.0,-0.000416477179685959,-0.038197182142034714,-0.05216695232639812,,,-0.003052003277315807,-0.06382981877214733,,
