afp,identificador_final,tipo_identificador,isin,entidad_administradora,moneda_normalizada,primera_fecha,ultima_fecha,meses_presentes,peso_mediano_exterior,peso_promedio_exterior,peso_maximo_exterior,peso_mediano_total_fondo,escenario,meses_elegibles_afp,persistencia_pct
Habitat,ASF VIII L.P.,fondo_sin_isin,,ASF VIII,USD,2019-05-31,2024-03-29,51,0.0075405362033896,0.006905916842342237,0.0155445263201223,0.0037905905952485,principal_5pct,124,41.12903225806452
Habitat,ASF VIII L.P.,fondo_sin_isin,,ASF VIII GP Limited,USD,2024-04-30,2026-01-30,22,0.00811732577151415,0.00747075546176075,0.0092106819128261,0.00396006255912165,principal_5pct,124,17.741935483870968
Habitat,BRSTNCNTF170,isin,BRSTNCNTF170,GOB BRA,BRL,2020-05-29,2022-05-31,5,0.0006094533405545,0.0083021039135955,0.0391651734436788,0.0002878705429587,principal_5pct,124,4.032258064516129
Habitat,BRSTNCNTF212,isin,BRSTNCNTF212,GOB BRA,BRL,2023-06-30,2023-09-29,4,0.0064017261736125,0.0065612286622455,0.0091357808772717,0.003332403178166,principal_5pct,124,3.225806451612903
Habitat,BRSTNCNTF238,isin,BRSTNCNTF238,GOB BRA,BRL,2024-03-29,2024-03-29,1,0.0162702571247205,0.0162702571247205,0.0162702571247205,0.0080820584681946,principal_5pct,124,0.8064516129032258
Habitat,BRSTNCNTF238,isin,BRSTNCNTF238,República Federal de Brasil,BRL,2024-04-30,2024-05-31,2,0.01596472848460105,0.01596472848460105,0.016600382387256,0.0074603358394392996,principal_5pct,124,1.6129032258064515
Habitat,CA00461M1032,isin,CA00461M1032,Aclara Rss,CAD,2021-12-31,2021-12-31,1,0.0003445915090378,0.0003445915090378,0.0003445915090378,0.0001650787334847,principal_5pct,124,0.8064516129032258
Habitat,CL0000006727,isin,CL0000006727,MONEDA,USD,2019-01-31,2019-07-31,7,0.0083061788572796,0.008341607878862914,0.009318968727153,0.004676921130744,principal_5pct,124,5.64516129032258
Habitat,CL0002172501,isin,CL0002172501,GOB CHILE,CLP,2019-02-28,2019-04-30,3,0.002040321716097,0.0026362869866614334,0.004011155158251,0.0011385230063706,principal_5pct,124,2.4193548387096775
Habitat,CL0002535517,isin,CL0002535517,Moneda S.A. AGF,USD,2019-12-31,2020-03-31,4,0.0037570448261237998,0.003877594694533,0.0048493100912002,0.0018938909265587,principal_5pct,124,3.225806451612903
