escenario,periodo,afp,peso_exterior_original,peso_fondo_original,peso_exterior_clasificado,peso_fondo_clasificado,diferencia_exterior,diferencia_fondo,estado
ampliado_15pct,2015-01,Habitat,0.9999999999999979,0.6316908183829295,0.9999999999999979,0.6316908183829295,0.0,0.0,correcto
ampliado_15pct,2015-01,Integra,0.9999999999999968,0.5973136940976267,0.9999999999999968,0.5973136940976267,0.0,0.0,correcto
ampliado_15pct,2015-01,Prima,0.9999999999999978,0.5657579775468754,0.9999999999999977,0.5657579775468754,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-01,Profuturo,0.999999999999997,0.6310227972128932,0.9999999999999969,0.6310227972128932,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-02,Habitat,0.9999999999999979,0.6321994357470411,0.9999999999999979,0.6321994357470411,0.0,0.0,correcto
ampliado_15pct,2015-02,Integra,0.9999999999999968,0.6192248244655869,0.9999999999999968,0.6192248244655869,0.0,0.0,correcto
ampliado_15pct,2015-02,Prima,0.9999999999999974,0.5955711616045248,0.9999999999999974,0.5955711616045247,0.0,-1.1102230246251565e-16,correcto
ampliado_15pct,2015-02,Profuturo,0.9999999999999976,0.6383417538734919,0.9999999999999976,0.6383417538734919,0.0,0.0,correcto
ampliado_15pct,2015-03,Habitat,0.9999999999999974,0.649555443255059,0.9999999999999974,0.649555443255059,0.0,0.0,correcto
ampliado_15pct,2015-03,Integra,0.9999999999999973,0.6145383959218098,0.9999999999999972,0.6145383959218098,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-03,Prima,0.9999999999999977,0.5941454396371352,0.9999999999999978,0.5941454396371352,1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-03,Profuturo,0.9999999999999972,0.6385271718988618,0.9999999999999972,0.6385271718988618,0.0,0.0,correcto
ampliado_15pct,2015-04,Habitat,0.999999999999998,0.669426429000691,0.999999999999998,0.669426429000691,0.0,0.0,correcto
ampliado_15pct,2015-04,Integra,0.9999999999999968,0.6385943021207734,0.9999999999999967,0.6385943021207734,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-04,Prima,0.9999999999999977,0.6090103917557915,0.9999999999999977,0.6090103917557915,0.0,0.0,correcto
ampliado_15pct,2015-04,Profuturo,0.9999999999999973,0.6188545267417616,0.9999999999999973,0.6188545267417614,0.0,-1.1102230246251565e-16,correcto
ampliado_15pct,2015-05,Habitat,0.9999999999999979,0.6613301433381213,0.9999999999999979,0.6613301433381215,0.0,1.1102230246251565e-16,correcto
ampliado_15pct,2015-05,Integra,0.9999999999999969,0.6425565575697344,0.9999999999999969,0.6425565575697344,0.0,0.0,correcto
ampliado_15pct,2015-05,Prima,0.9999999999999973,0.5834011874586122,0.9999999999999973,0.5834011874586122,0.0,0.0,correcto
ampliado_15pct,2015-05,Profuturo,0.9999999999999972,0.6363883510347292,0.9999999999999971,0.6363883510347292,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-06,Habitat,0.999999999999998,0.647468567792036,0.9999999999999979,0.647468567792036,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-06,Integra,0.9999999999999967,0.6309981749719987,0.9999999999999967,0.6309981749719987,0.0,0.0,correcto
ampliado_15pct,2015-06,Prima,0.9999999999999973,0.6095384456700842,0.9999999999999973,0.6095384456700841,0.0,-1.1102230246251565e-16,correcto
ampliado_15pct,2015-06,Profuturo,0.9999999999999972,0.6374246748370094,0.9999999999999972,0.6374246748370094,0.0,0.0,correcto
ampliado_15pct,2015-07,Habitat,0.9999999999999983,0.6683066273261263,0.9999999999999983,0.6683066273261263,0.0,0.0,correcto
ampliado_15pct,2015-07,Integra,0.9999999999999971,0.6148285177846573,0.9999999999999971,0.6148285177846573,0.0,0.0,correcto
ampliado_15pct,2015-07,Prima,0.9999999999999971,0.6286830231179491,0.9999999999999972,0.6286830231179491,1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-07,Profuturo,0.9999999999999976,0.6445447961384163,0.9999999999999976,0.6445447961384162,0.0,-1.1102230246251565e-16,correcto
ampliado_15pct,2015-08,Habitat,0.9999999999999982,0.6805404463399658,0.9999999999999982,0.6805404463399658,0.0,0.0,correcto
ampliado_15pct,2015-08,Integra,0.9999999999999976,0.6273709929100013,0.9999999999999974,0.6273709929100013,-1.1102230246251565e-16,0.0,correcto
ampliado_15pct,2015-08,Prima,0.9999999999999974,0.6486335452752607,0.9999999999999974,0.6486335452752608,0.0,1.1102230246251565e-16,correcto
ampliado_15pct,2015-08,Profuturo,0.9999999999999973,0.641312418644011,0.9999999999999973,0.641312418644011,0.0,0.0,correcto
ampliado_15pct,2015-09,Habitat,0.9999999999999982,0.656204327167668,0.9999999999999982,0.6562043271676681,0.0,1.1102230246251565e-16,correcto
ampliado_15pct,2015-09,Integra,0.9999999999999973,0.6267360754325404,0.9999999999999973,0.6267360754325404,0.0,0.0,correcto
ampliado_15pct,2015-09,Prima,0.9999999999999973,0.6439730109709464,0.9999999999999973,0.6439730109709464,0.0,0.0,correcto
ampliado_15pct,2015-09,Profuturo,0.9999999999999979,0.6276870069536964,0.9999999999999979,0.6276870069536964,0.0,0.0,correcto
ampliado_15pct,2015-10,Habitat,0.9999999999999981,0.6501396749342835,0.9999999999999981,0.6501396749342835,0.0,0.0,correcto
