isin,numero_resultados,shareclass_unicas,composite_unicas,nombres_unicos,tickers_unicos,tipos_unicos,clase_ambiguedad,razon_ambiguedad
IE0030395952,1,1,1,1,1,1,unico,un_solo_resultado
IE0030759645,2,1,2,2,1,1,ambiguedad_benigna,misma_shareclass_figi
IE0032895942,130,1,79,2,15,1,ambiguedad_benigna,misma_shareclass_figi
IE00B02JYG83,1,1,1,1,1,1,unico,un_solo_resultado
IE00B06YCB08,1,1,1,1,1,1,unico,un_solo_resultado
IE00B0JY6L58,1,1,1,1,1,1,unico,un_solo_resultado
IE00B0M63953,40,1,39,1,13,1,ambiguedad_benigna,misma_shareclass_figi
IE00B29K0P99,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
IE00B2NPKV68,153,1,77,1,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B3CTFW21,1,1,1,1,1,1,unico,un_solo_resultado
IE00B3CTGR43,1,1,1,1,1,1,unico,un_solo_resultado
IE00B3RW8498,1,1,1,1,1,1,unico,un_solo_resultado
IE00B3SHFF36,1,1,1,1,1,1,unico,un_solo_resultado
IE00B3VTL690,1,1,1,1,1,1,unico,un_solo_resultado
IE00B3XXRP09,171,1,98,1,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B3YCGJ38,170,1,104,2,19,1,ambiguedad_benigna,misma_shareclass_figi
IE00B4JNQZ49,155,1,76,1,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B4L5Y983,180,1,102,1,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B4L5YX21,170,1,95,1,19,1,ambiguedad_benigna,misma_shareclass_figi
IE00B4PY7Y77,130,1,80,2,15,1,ambiguedad_benigna,misma_shareclass_figi
IE00B53L3W79,201,1,114,1,24,1,ambiguedad_benigna,misma_shareclass_figi
IE00B53QG562,143,1,84,1,19,1,ambiguedad_benigna,misma_shareclass_figi
IE00B5769310,1,1,1,1,1,1,unico,un_solo_resultado
IE00B59XD059,1,1,1,1,1,1,unico,un_solo_resultado
IE00B5BMR087,259,1,123,1,25,1,ambiguedad_benigna,misma_shareclass_figi
IE00B5M4WH52,179,1,84,2,16,1,ambiguedad_benigna,misma_shareclass_figi
IE00B5N2XQ43,1,1,1,1,1,1,unico,un_solo_resultado
