afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-02-18,entrenamiento,2015-02-13,3,11.1743594,11.1743594,11.1831183,-0.0007832251939962065,0.0007832251939962065,0.0,0.0007838391165402303
Habitat,RETORNO_CERO,2015-02-19,entrenamiento,2015-02-13,4,11.1743594,11.1743594,11.2040399,-0.0026490891022263874,0.0026490891022263874,0.0,0.002656125415117616
Habitat,RETORNO_CERO,2015-02-20,entrenamiento,2015-02-13,5,11.1743594,11.1743594,11.2230308,-0.004336742976772334,0.004336742976772334,0.0,0.00435563223427371
Habitat,RETORNO_CERO,2015-02-23,entrenamiento,2015-02-18,3,11.1831183,11.1831183,11.2076164,-0.002185843905221363,0.002185843905221363,0.0,0.002190632285451022
Habitat,RETORNO_CERO,2015-02-24,entrenamiento,2015-02-19,3,11.2040399,11.2040399,11.2228687,-0.001677717213246832,0.001677717213246832,0.0,0.0016805366785599407
Habitat,RETORNO_CERO,2015-02-25,entrenamiento,2015-02-20,3,11.2230308,11.2230308,11.2074715,0.0013882970837801878,0.0013882970837801878,0.0,-0.0013863723870382039
Habitat,RETORNO_CERO,2015-02-26,entrenamiento,2015-02-20,4,11.2230308,11.2230308,11.2085291,0.0012938093723644517,0.0012938093723644517,0.0,-0.0012921375926367995
Habitat,RETORNO_CERO,2015-02-27,entrenamiento,2015-02-20,5,11.2230308,11.2230308,11.2012136,0.0019477532327389913,0.0019477532327389913,0.0,-0.0019439668649933184
Habitat,RETORNO_CERO,2015-03-02,entrenamiento,2015-02-25,3,11.2074715,11.2074715,11.2306639,-0.0020650960803839657,0.0020650960803839657,0.0,0.0020693695272835377
Habitat,RETORNO_CERO,2015-03-03,entrenamiento,2015-02-26,3,11.2085291,11.2085291,11.1909676,0.0015692566208482805,0.0015692566208482805,0.0,-0.001566797912850082
Habitat,RETORNO_CERO,2015-03-04,entrenamiento,2015-02-27,3,11.2012136,11.2012136,11.1740606,0.0024300029301791426,0.0024300029301791426,0.0,-0.00242411233011397
Habitat,RETORNO_CERO,2015-03-05,entrenamiento,2015-02-27,4,11.2012136,11.2012136,11.189112,0.0010815514224900014,0.0010815514224900014,0.0,-0.0010803829327923342
Habitat,RETORNO_CERO,2015-03-06,entrenamiento,2015-02-27,5,11.2012136,11.2012136,11.1071631,0.008467553699648356,0.008467553699648356,0.0,-0.008396456255418738
Habitat,RETORNO_CERO,2015-03-09,entrenamiento,2015-03-04,3,11.1740606,11.1740606,11.0931434,0.007294343639333123,0.007294343639333123,0.0,-0.0072415214930908745
Habitat,RETORNO_CERO,2015-03-10,entrenamiento,2015-03-05,3,11.189112,11.189112,10.9872889,0.018368780673456264,0.018368780673456264,0.0,-0.018037454625532412
Habitat,RETORNO_CERO,2015-03-11,entrenamiento,2015-03-06,3,11.1071631,11.1071631,10.9665387,0.012823043245176358,0.012823043245176358,0.0,-0.012660694610669765
Habitat,RETORNO_CERO,2015-03-12,entrenamiento,2015-03-06,4,11.1071631,11.1071631,11.0545876,0.004755989269106697,0.004755989269106697,0.0,-0.004733476903746925
Habitat,RETORNO_CERO,2015-03-13,entrenamiento,2015-03-06,5,11.1071631,11.1071631,11.0311575,0.006890083837530092,0.006890083837530092,0.0,-0.006842935438662878
Habitat,RETORNO_CERO,2015-03-16,entrenamiento,2015-03-11,3,10.9665387,10.9665387,11.0852337,-0.010707487384772119,0.010707487384772119,0.0,0.010823378574317255
Habitat,RETORNO_CERO,2015-03-17,entrenamiento,2015-03-12,3,11.0545876,11.0545876,11.1040138,-0.004451201240401992,0.004451201240401992,0.0,0.0044711030197093216
Habitat,RETORNO_CERO,2015-03-18,entrenamiento,2015-03-13,3,11.0311575,11.0311575,11.1406402,-0.00982732572226852,0.00982732572226852,0.0,0.009924860559737292
Habitat,RETORNO_CERO,2015-03-19,entrenamiento,2015-03-13,4,11.0311575,11.0311575,11.1423196,-0.009976567177268914,0.009976567177268914,0.0,0.010077102062952203
Habitat,RETORNO_CERO,2015-03-20,entrenamiento,2015-03-13,5,11.0311575,11.0311575,11.1414337,-0.00989784645040781,0.00989784645040781,0.0,0.009996793174243068
Habitat,RETORNO_CERO,2015-03-23,entrenamiento,2015-03-18,3,11.1406402,11.1406402,11.1251887,0.0013888753185822278,0.0013888753185822278,0.0,-0.0013869490193211265
Habitat,RETORNO_CERO,2015-03-24,entrenamiento,2015-03-19,3,11.1423196,11.1423196,11.0748514,0.006092018534894272,0.006092018534894272,0.0,-0.006055130567247491
Habitat,RETORNO_CERO,2015-03-25,entrenamiento,2015-03-20,3,11.1414337,11.1414337,11.0095458,0.011979413355998725,0.011979413355998725,0.0,-0.01183760578317683
Habitat,RETORNO_CERO,2015-03-26,entrenamiento,2015-03-20,4,11.1414337,11.1414337,10.9912389,0.01366495636811238,0.01366495636811238,0.0,-0.013480742608556695
Habitat,RETORNO_CERO,2015-03-27,entrenamiento,2015-03-20,5,11.1414337,11.1414337,11.0237509,0.01067538636055354,0.01067538636055354,0.0,-0.010562626244412399
Habitat,RETORNO_CERO,2015-03-30,entrenamiento,2015-03-25,3,11.0095458,11.0095458,11.1291231,-0.010744539253052188,0.010744539253052188,0.0,0.010861238253806915
Habitat,RETORNO_CERO,2015-03-31,entrenamiento,2015-03-26,3,10.9912389,10.9912389,11.0941368,-0.009274980276067879,0.009274980276067879,0.0,0.009361810887396738
Habitat,RETORNO_CERO,2015-04-01,entrenamiento,2015-03-27,3,11.0237509,11.0237509,11.1164705,-0.00834074088533776,0.00834074088533776,0.0,0.008410893972577105
Habitat,RETORNO_CERO,2015-04-02,entrenamiento,2015-03-27,4,11.0237509,11.0237509,11.1488164,-0.01121782757136447,0.01121782757136447,0.0,0.011345094889616991
Habitat,RETORNO_CERO,2015-04-06,entrenamiento,2015-04-01,2,11.1164705,11.1164705,11.2196033,-0.00919219666171256,0.00919219666171256,0.0,0.009277477055329664
Habitat,RETORNO_CERO,2015-04-07,entrenamiento,2015-04-02,2,11.1488164,11.1488164,11.243204,-0.008395080263597587,0.008395080263597587,0.0,0.008466154308541807
Habitat,RETORNO_CERO,2015-04-08,entrenamiento,2015-04-02,3,11.1488164,11.1488164,11.2881783,-0.012345827315644042,0.012345827315644042,0.0,0.012500152034076173
Habitat,RETORNO_CERO,2015-04-09,entrenamiento,2015-04-02,4,11.1488164,11.1488164,11.3735855,-0.019762378363445854,0.019762378363445854,0.0,0.02016080379617713
Habitat,RETORNO_CERO,2015-04-10,entrenamiento,2015-04-02,5,11.1488164,11.1488164,11.4136096,-0.02319977722034572,0.02319977722034572,0.0,0.023750790263260546
Habitat,RETORNO_CERO,2015-04-13,entrenamiento,2015-04-08,3,11.2881783,11.2881783,11.3997651,-0.009788517484452308,0.009788517484452308,0.0,0.009885279717808837
Habitat,RETORNO_CERO,2015-04-14,entrenamiento,2015-04-09,3,11.3735855,11.3735855,11.4013809,-0.0024378976760611737,0.0024378976760611737,0.0,0.002443855545817053
Habitat,RETORNO_CERO,2015-04-15,entrenamiento,2015-04-10,3,11.4136096,11.4136096,11.4300771,-0.0014407164410116247,0.0014407164410116247,0.0,0.0014427950996327432
Habitat,RETORNO_CERO,2015-04-16,entrenamiento,2015-04-10,4,11.4136096,11.4136096,11.4245253,-0.0009554620181900786,0.0009554620181900786,0.0,0.0009563757989410338
Habitat,RETORNO_CERO,2015-04-17,entrenamiento,2015-04-10,5,11.4136096,11.4136096,11.3337066,0.0070500325109881246,0.0070500325109881246,0.0,-0.007000677506964981
Habitat,RETORNO_CERO,2015-04-20,entrenamiento,2015-04-15,3,11.4300771,11.4300771,11.3698981,0.005292835474048685,0.005292835474048685,0.0,-0.0052649688600963085
