afp,factor,ventanas,coef_mediana,coef_promedio,coef_abs_mediana,top5_frecuencia_pct,signo_positivo_pct,ultimo_coef,ultimo_ranking,consistencia_signo_pct,puntaje_estabilidad,ranking_estabilidad,columna_modelo,ticker,nombre,grupo,moneda
Prima,ret_COPX,129,0.00042436627232518326,0.000456131562326138,0.00042436627232518326,42.63565891472868,99.2248062015504,0.0018969693994537618,2,98.44961240310079,64.96124031007753,4,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
Prima,ret_HYG,129,-0.0003930344409620044,-0.0004021690362905769,0.0003930344409620044,44.18604651162791,6.976744186046512,-0.0012064874323694694,6,86.04651162790698,60.93023255813954,5,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
Prima,ret_TLT,129,-0.00042284557425650285,-0.0003855138245968743,0.00042284557425650285,34.883720930232556,7.751937984496124,-0.0007707195888226228,15,84.49612403100775,54.72868217054264,6,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
Prima,ret_LQD,129,-0.0003849663445548475,-0.0003648271926195694,0.0003849663445548475,34.10852713178294,9.30232558139535,-0.0010552767568094222,8,81.3953488372093,53.02325581395348,7,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Prima,ret_MCHI,129,0.00037776308605520277,0.0003201938233522113,0.00037776308605520277,29.457364341085274,93.02325581395348,-3.1247986467039755e-05,27,86.04651162790697,52.09302325581395,8,ret_MCHI,MCHI,China,region,USD
Prima,ret_EEM,129,0.00029068096348859715,0.0003118815484155111,0.00029068096348859715,9.30232558139535,100.0,0.0014761179558907362,5,100.0,45.58139534883721,9,ret_EEM,EEM,Mercados emergentes,mercado,USD
Prima,ret_GLD,129,-0.00026224278164068896,-0.00019937571879404616,0.0002993373782744468,32.55813953488372,20.155038759689923,0.0015308312202114936,4,59.689922480620154,43.41085271317829,10,ret_GLD,GLD,Oro,materia_prima,USD
Prima,ret_XLP,129,-0.00020989735910861344,-0.00021525746153730312,0.00020989735910861344,0.0,2.3255813953488373,-0.000705531191858589,17,95.34883720930233,38.139534883720934,11,ret_XLP,XLP,Consumo básico,sector,USD
Prima,ret_ACWI,129,0.00014996100667794904,0.00016357314317076433,0.00014996100667794904,0.0,93.02325581395348,0.00027864350478027104,23,86.04651162790697,34.41860465116279,12,ret_ACWI,ACWI,Acciones globales,mercado,USD
Prima,ret_XLF,129,0.0002477644298709416,0.00019116620721097255,0.0002713569478678582,12.4031007751938,81.3953488372093,-0.0008243262590065832,14,62.790697674418595,32.55813953488372,13,ret_XLF,XLF,Finanzas,sector,USD
Prima,ret_XLY,129,0.00015882692764235712,0.0001537719608355986,0.00016518022168519764,0.0,86.04651162790698,-0.0002574431672024157,24,72.09302325581396,28.837209302325586,14,ret_XLY,XLY,Consumo discrecional,sector,USD
Prima,ret_XLI,129,0.00015860339105678935,0.00017950626696526604,0.00015860339105678935,0.0,85.27131782945736,0.0008320734058611496,13,70.54263565891472,28.21705426356589,15,ret_XLI,XLI,Industria,sector,USD
Prima,ret_QQQ,129,0.0001080306891793302,0.0001687196867980122,0.00011540692229799136,0.7751937984496124,83.72093023255815,0.0007182590908617423,16,67.44186046511629,27.441860465116285,16,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
Prima,ret_EWJ,129,0.0002151867374490465,0.00018523121339278722,0.00022357107581455187,0.7751937984496124,82.94573643410853,0.0003903901520589562,21,65.89147286821705,26.82170542635659,17,ret_EWJ,EWJ,Japón,region,USD
Prima,ret_SPY,129,8.289231596902822e-05,0.00010567973929938178,8.874601605326895e-05,0.0,82.94573643410853,7.412608619010142e-05,26,65.89147286821705,26.356589147286822,18,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Prima,ret_CPER,129,-0.00014062582917880056,-0.0001545405515060311,0.00015582719451519893,1.550387596899225,18.6046511627907,8.094934300462373e-05,25,62.7906976744186,26.04651162790698,19,ret_CPER,CPER,Cobre,materia_prima,USD
Prima,ret_XLK,129,0.00012998071450788715,0.0001897582520812681,0.0001331591245150849,2.3255813953488373,80.62015503875969,0.0011123071060425344,7,61.24031007751938,25.891472868217054,20,ret_XLK,XLK,Tecnología,sector,USD
Prima,ret_XLB,129,0.00014717552290452742,0.00016033713530974036,0.00016869361664355897,4.651162790697675,78.29457364341084,0.0006940849568730977,18,56.589147286821685,25.426356589147282,21,ret_XLB,XLB,Materiales,sector,USD
Prima,ret_VGK,129,0.00016126467603109,0.0001623716291748184,0.00017613571110663704,8.527131782945736,74.4186046511628,0.0003876223786690187,22,48.83720930232559,24.65116279069768,22,ret_VGK,VGK,Europa,region,USD
Prima,ret_DX_Y_NYB,129,-0.00019291714808318455,-0.00017114015748150577,0.00027633570274429565,14.728682170542637,32.55813953488372,-0.000867640675400111,10,34.883720930232556,22.790697674418603,23,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Prima,ret_XLE,129,0.00018010337901429015,0.00015314539670583204,0.0002267910880784449,5.426356589147287,72.86821705426357,-0.0008475915947324415,12,45.736434108527135,21.550387596899224,24,ret_XLE,XLE,Energía,sector,USD
Prima,ret_ILF,129,7.11773133641044e-05,0.000149248617231989,9.700658110042865e-05,8.527131782945736,68.9922480620155,0.0005979600611034138,19,37.98449612403101,20.310077519379846,25,ret_ILF,ILF,América Latina,mercado,USD
Prima,ret_XLV,129,-1.63732737617485e-05,-6.690165357685773e-05,0.00015313875512746477,2.3255813953488373,47.286821705426355,-0.0008644911499729556,11,5.426356589147289,3.565891472868218,26,ret_XLV,XLV,Salud,sector,USD
Prima,ret_USO,129,2.299900446919368e-05,2.2357609354382126e-06,0.00018721704927331987,0.7751937984496124,51.93798449612403,-0.000470781033323907,20,3.875968992248062,2.0155038759689923,27,ret_USO,USO,Petróleo,materia_prima,USD
Profuturo,ret_PEN_X,129,-0.0006005548900186465,-0.0006653461578106208,0.0006005548900186465,68.9922480620155,0.0,-0.001627090196068276,4,100.0,81.3953488372093,1,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Profuturo,ret_IDX_VIX,129,-0.0006799693203715996,-0.0006549874180163988,0.0006799693203715996,66.66666666666666,0.0,-0.0009815810405551782,8,100.0,80.0,2,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Profuturo,ret_EPU,129,0.0007195096440607451,0.0008380159564738202,0.0007195096440607451,58.91472868217055,98.44961240310077,0.002477829912505501,1,96.89922480620154,74.10852713178295,3,ret_EPU,EPU,Perú - ETF,mercado,USD
Profuturo,ret_HYG,129,-0.0004514273665805112,-0.00045780158744697353,0.0004514273665805112,44.96124031007752,2.3255813953488373,-0.0012365323748256506,5,95.34883720930233,65.11627906976744,4,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
Profuturo,ret_COPX,129,0.0004280923737467647,0.0004699576302743102,0.0004280923737467647,39.53488372093023,100.0,0.0021911797381507594,2,100.0,63.72093023255814,5,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
Profuturo,ret_LQD,129,-0.00047585299272442336,-0.0004534363848589432,0.00047585299272442336,47.286821705426355,9.30232558139535,-0.0010608935842292202,7,81.3953488372093,60.93023255813954,6,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Profuturo,ret_TLT,129,-0.0005150556184207434,-0.0004510727457160314,0.0005150556184207434,41.08527131782946,7.751937984496124,-0.0008019680498928978,11,84.49612403100775,58.44961240310078,7,ret_TLT,TLT,Bonos Tesoro EE. UU. largo plazo,bonos,USD
