afp,observaciones,fechas_unicas,primera_fecha,ultima_fecha,retorno_abs_mediano,retorno_abs_p99,retorno_abs_max
Habitat,2965,2965,2015-01-05,2026-06-30,0.002945632978760715,0.021156541393526143,0.04566407128588956
Integra,2965,2965,2015-01-05,2026-06-30,0.0027288557263391855,0.01965415643763142,0.08426448962375277
Prima,2965,2965,2015-01-05,2026-06-30,0.0026272801189481942,0.020378840232496528,0.05338975210368069
Profuturo,2965,2965,2015-01-05,2026-06-30,0.0028262096300033512,0.021482077728952807,0.046284972534442526
