afp,fecha_objetivo,desfase_calendario_dias,fecha_corte_publicacion_simulada,fecha_ancla_sbs,dias_calendario_entre_ancla_y_objetivo,cuota_ancla_sbs,cuota_sbs_objetivo,fechas_sbs_esperadas,predicciones_disponibles,cobertura_predicciones_pct,retorno_estimado_acumulado,retorno_real_acumulado,cuota_estimada,error_pct,error_abs_pct,direccion_correcta,ventana_estricta,ventana_orientativa
Habitat,2024-02-26,4,2024-02-22,2024-02-22,4,21.8170406,21.9302475,2,1,50.0,-0.002099846941802541,0.00518892099417001,21.771228154016907,-0.007251142331298088,0.007251142331298088,False,False,False
Habitat,2024-02-26,5,2024-02-21,2024-02-21,5,21.7439387,21.9302475,3,1,33.33333333333333,-0.002099846941802541,0.008568309659555684,21.698279756818064,-0.010577525090947448,0.010577525090947448,False,False,False
Habitat,2024-02-27,4,2024-02-23,2024-02-23,4,21.8881726,21.923793,2,2,100.0,0.0005469250972209849,0.0016273811729718979,21.900143790927245,-0.0010787006186727677,0.0010787006186727677,True,True,True
Habitat,2024-02-27,5,2024-02-22,2024-02-22,5,21.8170406,21.923793,3,2,66.66666666666666,0.0005469250972209849,0.00489307426966068,21.82897288705123,-0.004324986691343513,0.004324986691343513,True,False,False
Habitat,2024-02-28,4,2024-02-24,2024-02-23,5,21.8881726,21.862389800000003,3,3,100.0,-0.0009256851448391501,-0.00117793296275448,21.867911043776505,0.00025254529934803926,0.00025254529934803926,True,True,True
Habitat,2024-02-28,5,2024-02-23,2024-02-23,5,21.8881726,21.862389800000003,3,3,100.0,-0.0009256851448391501,-0.00117793296275448,21.867911043776505,0.00025254529934803926,0.00025254529934803926,True,True,True
Habitat,2024-02-29,4,2024-02-25,2024-02-23,6,21.8881726,21.8716474,4,4,100.0,-0.0007503727111655145,-0.0007549830815936076,21.87174831258368,4.6138538096762716e-06,4.6138538096762716e-06,True,True,True
Habitat,2024-02-29,5,2024-02-24,2024-02-23,6,21.8881726,21.8716474,4,4,100.0,-0.0007503727111655145,-0.0007549830815936076,21.87174831258368,4.6138538096762716e-06,4.6138538096762716e-06,True,True,True
Habitat,2024-03-01,4,2024-02-26,2024-02-26,4,21.9302475,21.9215492,4,4,100.0,0.004287290323782722,-0.00039663483050056403,22.02426883790491,0.0046857836993066115,0.0046857836993066115,False,True,True
Habitat,2024-03-01,5,2024-02-25,2024-02-23,7,21.8881726,21.9215492,5,5,100.0,0.002178440728505482,0.001524869188942679,21.9358546866644,0.0006525764458471528,0.0006525764458471528,True,True,True
