isin_normalizado,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,lista_afp,moneda_reportada,gestora_reportada,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,valor_max_reconciliado_miles_soles,aparece_modelo_principal,aparece_analisis_ampliado,formato_isin_valido,checksum_isin_valido,prefijo_isin,prioridad,clasificacion_identificador,estado_openfigi,mensaje,numero_resultados,numero_resultado,puntaje_seleccion,figi,compositeFIGI,shareClassFIGI,ticker,name,exchCode,marketSector,securityType,securityType2,securityDescription,metadata,seleccion_ambigua,mapeo_utilizable
US4642868487,2015-01-30,2016-10-31,22,4,Habitat | Integra | Prima | Profuturo,USD,BlackRock USA,8.266939507400703,3.865193530057798,14.174490090093911,672900.43745337,True,True,True,True,US,1108288.9395074006,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
US73935A1043,2015-01-30,2018-05-31,41,4,Habitat | Integra | Prima | Profuturo,USD,BANK NEW YORK,4.573169301749887,1.174432753565814,7.569395520746546,379815.23407192726,True,True,True,True,US,1104614.16930175,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
PRIVFAEA10FE,2021-02-26,2026-01-30,60,2,Habitat | Prima,USD,APAX X USD Feeder L.P. | Apax X USD GP,3.173376176501568,0.3611340723971293,7.394151676752414,95074.02300600108,True,True,False,False,PR,1103233.3761765016,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
PRIVFAEDSFFX,2021-05-31,2024-07-31,39,1,Prima,USD,Dover X | Dover X Associates L.P.,2.485172229068624,1.9625031002742823,6.7437740073930135,88753.34817928626,True,True,False,False,PR,1102524.1722290686,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
US57060U1007,2015-01-30,2016-11-30,12,3,Habitat | Integra | Prima,USD,VAN ECK,2.4344848056203165,0.8892316988035984,4.087647224324252,200643.9054935111,True,True,True,True,US,1102446.4848056203,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
PRIVFAEEQTI4,2019-08-30,2026-01-30,78,1,Habitat,USD,EQT Infrastruct | EQT Infrastructure IV (GP) SCS | EQT Infrastructure VI (General Partner) S.à r,2.3352112352119816,1.6458184058822178,5.081988260570364,64106.241414506345,True,True,True,False,PR,1102413.211235212,formato_isin_checksum_invalido,no_consultado_identificador_no_estandar,formato_isin_checksum_invalido,0,,,,,,,,,,,,,,,False
PRIVFAEBSGLP,2021-05-31,2026-01-30,57,1,Prima,USD,Blackstone GA | Blackstone Growth Associates L.P.,2.336971038378083,1.6836914174575643,5.818712570694228,79027.9357954672,True,True,False,False,PR,1102393.971038378,identificador_no_estandar,no_consultado_identificador_no_estandar,identificador_no_estandar,0,,,,,,,,,,,,,,,False
US4642867315,2015-01-30,2016-10-31,11,3,Habitat | Integra | Profuturo,USD,BlackRock USA,2.2854390813264622,0.6449743826517802,3.580275091607728,127880.03928311348,True,True,True,True,US,1102296.4390813264,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
LU0132199406,2015-01-30,2019-05-31,53,4,Habitat | Integra | Prima | Profuturo,EUR | USD,PIONEER,2.238216841358699,0.0753533519597753,3.837645407822193,170270.17133685967,True,True,True,True,LU,1102291.2168413587,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
US46434V5488,2015-01-30,2015-12-31,12,2,Habitat | Prima,USD,BlackRock USA,2.253553467764017,0.0467856748498429,3.799321020391798,185732.01523654815,True,True,True,True,US,1102265.553467764,isin_estandar_valido,sin_coincidencia,No identifier found.,0,,,,,,,,,,,,,,,False
