afp,fecha_cuota,fecha_sbs_base,cuota_sbs_base,retorno_diario_estimado,retorno_acumulado_estimado,cuota_estimada,direccion_estimada,alpha_elegido
Habitat,2026-07-01,2026-06-30,33.5370629,0.0009883390599929546,0.0009883390599929598,33.57020888922151,SUBE,10.0
Habitat,2026-07-02,2026-06-30,33.5370629,0.0016754333565905696,0.002665428312812246,33.626453536982226,SUBE,10.0
Habitat,2026-07-06,2026-06-30,33.5370629,0.002632601936782441,0.0053050472613334065,33.71497860369082,SUBE,10.0
Habitat,2026-07-07,2026-06-30,33.5370629,-0.005195460497990957,8.202459985628963e-05,33.53981376416473,BAJA,10.0
Habitat,2026-07-08,2026-06-30,33.5370629,-0.0036473954912182413,-0.0035656700675177344,33.41748079866501,BAJA,10.0
Habitat,2026-07-09,2026-06-30,33.5370629,0.007397717215274902,0.0038056693289145738,33.66469387166041,SUBE,10.0
Habitat,2026-07-10,2026-06-30,33.5370629,0.004440229386300883,0.008262796760004187,33.81417283467018,SUBE,10.0
Habitat,2026-07-13,2026-06-30,33.5370629,-0.005304226828274924,0.002914742183478314,33.6348147919446,BAJA,10.0
Habitat,2026-07-14,2026-06-30,33.5370629,0.004813378988886919,0.007742150931149272,33.79671190275925,SUBE,10.0
Habitat,2026-07-15,2026-06-30,33.5370629,0.001006161910335017,0.008756102698855184,33.83071686697037,SUBE,10.0
Habitat,2026-07-16,2026-06-30,33.5370629,-0.006738826609872252,0.001958270231117165,33.602737531916176,BAJA,10.0
Habitat,2026-07-17,2026-06-30,33.5370629,-0.004985060640271085,-0.003036552505006007,33.43522584764046,BAJA,10.0
Habitat,2026-07-20,2026-06-30,33.5370629,-0.00185744218085317,-0.004888354465152012,33.3731218488247,BAJA,10.0
Habitat,2026-07-21,2026-06-30,33.5370629,0.007882673807380038,0.0029557860385243107,33.636191282292934,SUBE,10.0
Habitat,2026-07-22,2026-06-30,33.5370629,0.0016013019888467062,0.004561821133433286,33.6900529822905,SUBE,10.0
Integra,2026-07-01,2026-06-30,72.3284597,0.0004250430929047158,0.00042504309290469777,72.35920241221592,SUBE,1.0
Integra,2026-07-02,2026-06-30,72.3284597,0.004177146297686603,0.004603964857773146,72.66145738667566,SUBE,1.0
Integra,2026-07-07,2026-06-30,72.3284597,-0.004567321591904049,1.5615477765740238e-05,72.32958914345427,BAJA,1.0
Integra,2026-07-08,2026-06-30,72.3284597,-0.0023000921103324694,-0.0022845125496039342,72.16322442612183,BAJA,1.0
Integra,2026-07-09,2026-06-30,72.3284597,0.008247777526630506,0.005944422825760576,72.75841064679278,SUBE,1.0
Integra,2026-07-10,2026-06-30,72.3284597,0.004033686007473457,0.010002086768408747,73.05189522974476,SUBE,1.0
Integra,2026-07-13,2026-06-30,72.3284597,-0.002822899961577199,0.007150951916477188,72.84567703750756,BAJA,1.0
Integra,2026-07-14,2026-06-30,72.3284597,0.004913484971240641,0.012099572982489537,73.2036031768512,SUBE,1.0
Integra,2026-07-15,2026-06-30,72.3284597,0.0006698314873312236,0.012777509144787702,73.25263725524516,SUBE,1.0
Integra,2026-07-16,2026-06-30,72.3284597,-0.005787116783578653,0.006916447423584993,72.82871568874393,BAJA,1.0
Integra,2026-07-17,2026-06-30,72.3284597,-0.002717172610486926,0.0041804816315968996,72.63082749721754,BAJA,1.0
Integra,2026-07-20,2026-06-30,72.3284597,-0.0001285949134605774,0.0040513491294627,72.62148754224097,BAJA,1.0
