periodo,archivo,filas_iniciales,subtotales_jerarquicos,hojas_finales,iteracion_maxima
2023-11,CA-0001-no2023.XLS,248,10,238,1.0
2023-12,CA-0001-di2023.XLS,256,10,246,1.0
2024-01,CA-0001-en2024.XLS,259,9,250,1.0
2024-02,CA-0001-fe2024.XLS,256,7,249,1.0
2024-03,CA-0001-ma2024.XLS,254,8,246,1.0
2024-04,CA-0001-ab2024.XLS,246,5,241,1.0
2024-05,CA-0001-my2024.XLS,252,4,248,1.0
2024-06,CA-0001-jn2024.XLS,251,5,246,1.0
2024-07,CA-0001-jl2024.XLS,249,5,244,1.0
2024-08,CA-0001-ag2024.XLS,250,5,245,1.0
2024-09,CA-0001-se2024.XLS,243,5,238,1.0
2024-10,CA-0001-oc2024.XLS,251,6,245,1.0
2024-11,CA-0001-no2024.XLS,260,6,254,1.0
2024-12,CA-0001-di2024.XLS,253,6,247,1.0
2025-01,CA-0001-en2025.XLS,252,6,246,1.0
2025-02,CA-0001-fe2025.XLS,250,6,244,1.0
2025-03,CA-0001-ma2025.XLS,249,6,243,1.0
2025-04,CA-0001-ab2025.XLS,251,6,245,1.0
2025-05,CA-0001-my2025.XLS,259,6,253,1.0
2025-06,CA-0001-jn2025.XLS,253,5,248,1.0
2025-07,CA-0001-jl2025.XLS,231,6,225,1.0
2025-08,CA-0001-ag2025.XLS,231,6,225,1.0
2025-09,CA-0001-se2025.XLS,231,6,225,1.0
2025-10,CA-0001-oc2025.XLS,233,6,227,1.0
2025-11,CA-0001-no2025.XLS,234,6,228,1.0
2025-12,CA-0001-di2025.XLS,235,6,229,1.0
2026-01,CA-0001-en2026.XLS,228,6,222,1.0
