fecha_cartera,afp,suma_componentes_pct,participacion_no_mapeada_pct,numero_componentes,categorias_economicas,desvio_vs_100_pct,estado_suma,estado_mapeo,estado_general
2016-02-29,Habitat,100.00000000000001,62.33433493381379,35,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-02-29,Integra,99.99999999999997,68.35941921897053,35,16,-2.842170943040401e-14,correcto,revisar,revisar
2016-02-29,Prima,100.00000000000003,74.61462638053602,35,16,2.842170943040401e-14,correcto,revisar,revisar
2016-02-29,Profuturo,100.0,69.01745715348382,36,16,0.0,correcto,revisar,revisar
2016-03-31,Habitat,100.0,64.22795036942357,35,16,0.0,correcto,revisar,revisar
2016-03-31,Integra,99.99999999999999,68.55618467245665,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-03-31,Prima,100.00000000000003,72.1836210202559,35,16,2.842170943040401e-14,correcto,revisar,revisar
2016-03-31,Profuturo,100.00000000000001,68.56252095259468,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-04-30,Habitat,99.99999999999999,59.15462752285835,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-04-30,Integra,99.99999999999999,62.489180410236685,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-04-30,Prima,99.99999999999999,66.55843359860152,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-04-30,Profuturo,100.00000000000001,67.11123612878801,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-05-31,Habitat,100.0,57.042908785082474,35,16,0.0,correcto,revisar,revisar
2016-05-31,Integra,99.99999999999999,63.303388263343074,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-05-31,Prima,100.0,68.05399230034443,35,16,0.0,correcto,revisar,revisar
2016-05-31,Profuturo,100.0,65.99100847911699,36,16,0.0,correcto,revisar,revisar
2016-06-30,Habitat,99.99999999999997,57.64346281262952,35,16,-2.842170943040401e-14,correcto,revisar,revisar
2016-06-30,Integra,100.0,63.46205552459634,35,16,0.0,correcto,revisar,revisar
2016-06-30,Prima,100.0,67.93219518482185,35,16,0.0,correcto,revisar,revisar
2016-06-30,Profuturo,100.00000000000001,63.0392872229743,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-07-31,Habitat,100.00000000000001,58.92365423972764,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-07-31,Integra,99.99999999999999,61.695182761551756,36,16,-1.4210854715202004e-14,correcto,revisar,revisar
2016-07-31,Prima,100.0,68.1576379831416,36,16,0.0,correcto,revisar,revisar
2016-07-31,Profuturo,100.0,64.0550346126741,37,16,0.0,correcto,revisar,revisar
2016-08-31,Habitat,100.0,56.749259340049505,36,16,0.0,correcto,revisar,revisar
2016-08-31,Integra,100.0,63.35802175161022,36,16,0.0,correcto,revisar,revisar
2016-08-31,Prima,100.00000000000001,65.60431588711957,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2016-08-31,Profuturo,99.99999999999999,63.687970944770186,37,16,-1.4210854715202004e-14,correcto,revisar,revisar
