afp,modelo,factor,coeficiente_estandarizado,coeficiente_abs,ranking
Habitat,Huber_robusto,ret_IDX_VIX,-0.0003499510805927042,0.0003499510805927042,15
Habitat,Huber_robusto,ret_ILF,-0.00034505878266928905,0.00034505878266928905,16
Habitat,Huber_robusto,ret_VGK,-0.00032318870300753985,0.00032318870300753985,17
Habitat,Huber_robusto,ret_GLD,-0.00032276625922545625,0.00032276625922545625,18
Habitat,Huber_robusto,ret_XLY,0.000319852023379747,0.000319852023379747,19
Habitat,Huber_robusto,ret_XLV,0.0003113807650323839,0.0003113807650323839,20
Habitat,Huber_robusto,ret_TLT,0.0002914207205595012,0.0002914207205595012,21
Habitat,Huber_robusto,ret_COPX,0.00025263384592316403,0.00025263384592316403,22
Habitat,Huber_robusto,ret_DX_Y_NYB,0.0002487061686531724,0.0002487061686531724,23
Habitat,Huber_robusto,ret_CPER,-0.00018852813601124692,0.00018852813601124692,24
Habitat,Huber_robusto,ret_XLB,-0.00017513010030965358,0.00017513010030965358,25
Habitat,Huber_robusto,ret_USO,0.0001167043515565835,0.0001167043515565835,26
Habitat,Huber_robusto,ret_XLK,-0.00011116167919779276,0.00011116167919779276,27
Integra,ACWI_lineal,ret_ACWI,0.11855171809064227,0.11855171809064227,1
Integra,Ridge,ret_EPU,0.001741639993030281,0.001741639993030281,1
Integra,Ridge,ret_PEN_X,-0.0015557197188211616,0.0015557197188211616,2
Integra,Ridge,ret_HYG,-0.0011990910142686633,0.0011990910142686633,3
Integra,Ridge,ret_EWJ,0.0007723265468432688,0.0007723265468432688,4
Integra,Ridge,ret_IDX_VIX,-0.0005797289386313187,0.0005797289386313187,5
Integra,Ridge,ret_MCHI,0.0005695062935105719,0.0005695062935105719,6
Integra,Ridge,ret_XLE,0.0005454297664362874,0.0005454297664362874,7
Integra,Ridge,ret_XLP,-0.0005076309583104237,0.0005076309583104237,8
Integra,Ridge,ret_XLI,0.00041246975817724397,0.00041246975817724397,9
Integra,Ridge,ret_VGK,0.00039712276635552344,0.00039712276635552344,10
Integra,Ridge,ret_GLD,-0.00037420123061249064,0.00037420123061249064,11
Integra,Ridge,ret_TLT,-0.00036419213395350714,0.00036419213395350714,12
Integra,Ridge,ret_QQQ,0.00029570154561054345,0.00029570154561054345,13
Integra,Ridge,ret_XLF,0.0002944559775180294,0.0002944559775180294,14
Integra,Ridge,ret_COPX,0.00023162956729968524,0.00023162956729968524,15
Integra,Ridge,ret_XLV,0.00022150065625770125,0.00022150065625770125,16
Integra,Ridge,ret_CPER,-0.00019905530514933135,0.00019905530514933135,17
Integra,Ridge,ret_DX_Y_NYB,0.00019863499920042267,0.00019863499920042267,18
Integra,Ridge,ret_XLY,-0.0001570708436567752,0.0001570708436567752,19
Integra,Ridge,ret_XLK,0.0001549596379887321,0.0001549596379887321,20
Integra,Ridge,ret_EEM,0.00013352974843043076,0.00013352974843043076,21
Integra,Ridge,ret_LQD,0.00011031892164927133,0.00011031892164927133,22
Integra,Ridge,ret_ACWI,0.00010879903116772254,0.00010879903116772254,23
Integra,Ridge,ret_XLB,-6.545141703849406e-05,6.545141703849406e-05,24
Integra,Ridge,ret_ILF,-3.1396520553384756e-05,3.1396520553384756e-05,25
Integra,Ridge,ret_USO,-2.6549911021568784e-05,2.6549911021568784e-05,26
Integra,Ridge,ret_SPY,9.885369015700457e-06,9.885369015700457e-06,27
Integra,ElasticNet,ret_EPU,0.0018828334769818954,0.0018828334769818954,1
Integra,ElasticNet,ret_PEN_X,-0.001764441030114168,0.001764441030114168,2
Integra,ElasticNet,ret_HYG,-0.0008932309517190985,0.0008932309517190985,3
Integra,ElasticNet,ret_EWJ,0.0008301830234279771,0.0008301830234279771,4
Integra,ElasticNet,ret_MCHI,0.0006462639799268805,0.0006462639799268805,5
Integra,ElasticNet,ret_IDX_VIX,-0.0006328796785098478,0.0006328796785098478,6
Integra,ElasticNet,ret_XLE,0.0005384496457396799,0.0005384496457396799,7
Integra,ElasticNet,ret_GLD,-0.00033322262404751217,0.00033322262404751217,8
Integra,ElasticNet,ret_TLT,-0.0003327349229375726,0.0003327349229375726,9
Integra,ElasticNet,ret_XLI,0.00030597123192401015,0.00030597123192401015,10
Integra,ElasticNet,ret_XLF,0.00026612188389731935,0.00026612188389731935,11
Integra,ElasticNet,ret_VGK,0.000226228588990323,0.000226228588990323,12
Integra,ElasticNet,ret_QQQ,0.0001771648934135356,0.0001771648934135356,13
Integra,ElasticNet,ret_XLP,-0.00016006527294380873,0.00016006527294380873,14
Integra,ElasticNet,ret_DX_Y_NYB,0.00014819665588016736,0.00014819665588016736,15
Integra,ElasticNet,ret_XLK,0.00014156017076300014,0.00014156017076300014,16
Integra,ElasticNet,ret_CPER,-8.16638387851538e-05,8.16638387851538e-05,17
Integra,ElasticNet,ret_COPX,4.3876906895782346e-05,4.3876906895782346e-05,18
Integra,ElasticNet,ret_XLV,1.2205920191604051e-05,1.2205920191604051e-05,19
Integra,ElasticNet,ret_ILF,0.0,0.0,20
Integra,ElasticNet,ret_EEM,0.0,0.0,21
Integra,ElasticNet,ret_ACWI,0.0,0.0,22
Integra,ElasticNet,ret_SPY,0.0,0.0,23
Integra,ElasticNet,ret_XLY,0.0,0.0,24
Integra,ElasticNet,ret_XLB,0.0,0.0,25
Integra,ElasticNet,ret_LQD,-0.0,0.0,26
Integra,ElasticNet,ret_USO,-0.0,0.0,27
Integra,Huber_robusto,ret_SPY,-0.003665641349280987,0.003665641349280987,1
Integra,Huber_robusto,ret_HYG,-0.0017882676854767882,0.0017882676854767882,2
Integra,Huber_robusto,ret_EPU,0.0016657298797114663,0.0016657298797114663,3
Integra,Huber_robusto,ret_PEN_X,-0.001426362994724666,0.001426362994724666,4
Integra,Huber_robusto,ret_ACWI,0.0013035044091126474,0.0013035044091126474,5
Integra,Huber_robusto,ret_QQQ,0.0012951161695017716,0.0012951161695017716,6
