archivo,hoja,anio,mes,fila_python,fila_excel_aprox,numero_afp_detectadas,afp_detectadas,palabras_encabezado,texto_fila
FP-1356-ab2026.XLS,Fondo3xIntru,0,0,12,13,0,,, |  | certificados y depósitos a plazo 2/ | 86717.537495 | 1.6022844776075513 | 56053.724334 | 1.694072335067841 | 81805.671838 | 2.759802110832024 | 49248.898171 | 1.4044498913168457 | 273825.831838 | 1.8024637218800792
FP-1356-ab2026.XLS,Fondo3xIntru,0,0,13,14,0,,, |  | papeles comerciales | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ab2026.XLS,Fondo3xIntru,0,0,14,15,0,,, |  | títulos de deuda emitidos por organismos internacionales en el mercado local | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,3,4,4,habitat | integra | prima | profuturo,total, |  |  | habitat |  | integra |  | prima |  | profuturo |  | total spp | 
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,0,1,0,,instrumento,cartera administrada del fondo de pensiones tipo 3 por instrumento financiero y afp |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,1,2,0,,,2026-03-31 00:00:00 |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,2,3,0,,,(en miles de soles) |  |  |  |  |  |  |  |  |  |  |  | 
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,4,5,0,,monto | %, |  |  | monto | % | monto | % | monto | % | monto | % | monto | %
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,5,6,0,,,i. inversiones locales |  |  | 2247317.369752 | 45.22319689274023 | 1264185.727688 | 40.76731582329031 | 1279857.400084 | 45.86097142721252 | 1296055.826825 | 38.928991868676185 | 6087416.324348 | 42.89817776982737
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,6,7,0,,, | 1. gobierno |  | 309931.092174 | 6.236802595493466 | 0 | 0 | 113167.202345 | 4.055106321142491 | 36022.502602 | 1.0819902058678625 | 459120.797121 | 3.2354359424942087
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,7,8,0,,, |  | certificados y depósitos a plazo del bcrp 1/ | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
FP-1356-ma2026.XLS,Fondo3xIntru,0,0,8,9,0,,, |  | bonos del gobierno central | 309931.092174 | 6.236802595493466 | 0 | 0 | 113167.202345 | 4.055106321142491 | 36022.502602 | 1.0819902058678625 | 459120.797121 | 3.2354359424942087
