periodo,afp,identificador_agregacion,fecha_cartera,archivo,estado_cobertura,factor_reescala,error_cobertura_pct,total_exterior_miles_soles,total_fondo_miles_soles,usar_modelo_principal,usar_analisis_ampliado,identificador_canonico,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,estado_identidad_final,usar_en_enriquecimiento_automatico,tipo_identificador,entidad_administradora,moneda,valor,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,identificador_final,isin_original,fue_corregido_checksum,vehiculo,tipo_activo,region_exposicion_preliminar,confianza_region,sector_tema_preliminar,confianza_sector,indice_referencia_preliminar,confianza_indice,factor_proxy_mercado,confianza_factor_proxy,razon_factor_proxy,regla_refinamiento
2015-01,Habitat,BBG001S7W2J1,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642875151,BBG001S7W2J1,IGVUSD,ISHARES EXPANDED TECH-SOFTWA,ETP,Mutual Fund,Equity,X2,openfigi_validado,True,isin,BlackRock USA,USD,807.5688719999999,816.3306453890848,0.0128911590149197,0.0081432267880391,1.2891159014919706,0.8143226788039135,US4642875151,US4642875151,False,etf_etp,renta_variable,Estados Unidos,media,Mercado amplio o no determinado,baja,No determinado,baja,SPY,media,región Estados Unidos,sin_cambio
2015-01,Habitat,BBG001S8SJC4,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642868065,BBG001S8SJC4,EWG,ISHARES MSCI GERMANY ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,302.4493494,305.7307941819863,0.0048279754114574,0.0030497877387962,0.4827975411457428,0.3049787738796213,US4642868065,US4642868065,False,etf_etp,renta_variable,Alemania,alta,Mercado amplio,alta,MSCI Germany,alta,VGK,alta,regla exacta de ticker EWG,ticker::EWG
2015-01,Habitat,BBG001S8SYT3,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642867646,BBG001S8SYT3,EWPUSD,ISHARES MSCI SPAIN ETF,ETP,Mutual Fund,Equity,XS,openfigi_validado,True,isin,BlackRock USA,USD,1415.21576482,1430.5702444909466,0.0225909790449622,0.0142705140409838,2.2590979044962287,1.4270514040983884,US4642867646,US4642867646,False,etf_etp,renta_variable,Estados Unidos,media,Mercado amplio o no determinado,baja,No determinado,baja,SPY,media,región Estados Unidos,sin_cambio
2015-01,Habitat,BBG001SB7HJ7,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642871929,BBG001SB7HJ7,IYT,ISHARES US TRANSPORTATION ET,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,639.84540048,646.7874466601231,0.0102138023003846,0.0064519651339314,1.0213802300384682,0.6451965133931468,US4642871929,US4642871929,False,etf_etp,renta_variable,Estados Unidos,media,Mercado amplio o no determinado,baja,No determinado,baja,SPY,media,región Estados Unidos,sin_cambio
2015-01,Habitat,BBG001SF7N50,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,LU0149084476,BBG001SF7N50,MORSCUI,MORGAN ST-GLOBAL CONV BOND-,Open-End Fund,Mutual Fund,Equity,LX,openfigi_validado,True,isin,MORGAN STAN INV,USD,491.5704592471,496.9037863700546,0.007846900960283,0.0049568152893709,0.7846900960283019,0.4956815289370991,LU0149084476,LU0149084476,False,fondo_mutuo_o_abierto,renta_fija,No determinado,baja,Renta fija,baja,No determinado,baja,LQD,baja,regla textual: \bDEBT\b|\bDEUDA\b|\bBOND\b|\bCREDIT\b|FIXED INCOME,nombre::\bDEBT\b|\bDEUDA\b|\bBOND\b|\bCREDIT\b|FIXED INCOME
2015-01,Habitat,BBG001SF9FC7,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642867729,BBG001SF9FC7,EWYGBX,ISHARES MSCI SOUTH KOREA ETF,ETP,Mutual Fund,Equity,X2,openfigi_validado,True,isin,BlackRock USA,USD,276.5387625,279.53908860757065,0.0044143667305401,0.0027885149326572,0.4414366730540123,0.2788514932657276,US4642867729,US4642867729,False,etf_etp,renta_variable,Corea del Sur,alta,Mercado amplio,alta,MSCI South Korea,alta,EEM,alta,regla exacta de ticker EWY,ticker::EWY
2015-01,Habitat,BBG001SFB7R6,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642872000,BBG001SFB7R6,IVV,ISHARES CORE S&P 500 ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,4471.8161488,4520.333422176822,0.0713832529439874,0.0450921454710232,7.138325294398748,4.509214547102325,US4642872000,US4642872000,False,etf_etp,renta_variable,Estados Unidos,alta,Mercado amplio,alta,S&P 500,alta,SPY,alta,regla exacta de ticker IVV,ticker::IVV
2015-01,Habitat,BBG001SFC7Y7,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642876555,BBG001SFC7Y7,IWM,ISHARES RUSSELL 2000 ETF,ETP,Mutual Fund,Equity,EO,openfigi_validado,True,isin,BlackRock USA,USD,819.071539,827.958111356849,0.0130747751924791,0.00825921544151,1.3074775192479198,0.8259215441510035,US4642876555,US4642876555,False,etf_etp,renta_variable,Estados Unidos,media,Mercado amplio o no determinado,baja,No determinado,baja,SPY,media,región Estados Unidos,sin_cambio
2015-01,Habitat,BBG001SFGXD9,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642878619,BBG001SFGXD9,IEV,ISHARES EUROPE ETF,ETP,Mutual Fund,Equity,US,openfigi_validado,True,isin,BlackRock USA,USD,1306.81406834,1320.9924364339884,0.0208605712057523,0.0131774312968971,2.086057120575233,1.3177431296897104,US4642878619,US4642878619,False,etf_etp,renta_variable,Europa,media,Mercado amplio,media,No determinado,media,VGK,media,regla textual: \bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN,nombre::\bEUROPE\b|\bEURO\b|CONT EUR|EUROPEAN
2015-01,Habitat,BBG001SFGXR4,2015-01-30,CA-0001-en2015.XLS,estricto,1.0108495679970746,1.0733118300255473,63324.8449145881,100246.5811940938,True,True,US4642877629,BBG001SFGXR4,IYHUSD,ISHARES U.S. HEALTHCARE ETF,ETP,Mutual Fund,Equity,X2,openfigi_validado,True,isin,BlackRock USA,USD,323.46884878,326.978346049774,0.0051635080431827,0.0032617406215249,0.5163508043182721,0.3261740621524941,US4642877629,US4642877629,False,etf_etp,renta_variable,No determinado,media,Salud,media,No determinado,media,XLV,media,regla textual: HEALTH CARE|HEALTHCARE|BIOTECH,nombre::HEALTH CARE|HEALTHCARE|BIOTECH
