id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
23,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,2017-12-31,2018-01-31,2,4,0.7543332031812433,4.816232702861506,8
24,,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),2017-12-31,2018-01-31,2,4,3.37839377619429,4.787468234310156,8
25,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,2015-01-30,2026-05-31,135,4,0.0,4.694410879798463,540
26,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,2015-01-30,2026-05-31,135,4,0.0,4.571515483822764,540
27,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),2015-01-30,2025-07-31,125,4,0.6676859653548655,3.920124685051956,500
28,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/ 4/,Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/ 4/,2025-08-31,2026-05-31,10,4,0.815327007610557,3.829211639726002,40
29,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo de Inversión Tradicional,Fondo de Inversión Tradicional,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo de Inversión Tradicional,2019-01-31,2026-05-31,89,4,0.36565164151225826,3.4866617444406947,356
30,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,2015-01-30,2026-05-31,135,4,0.0,3.3752290558575844,540
31,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,2015-01-30,2026-05-31,135,4,0.0,2.69402461248934,540
32,I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,2015-01-30,2026-05-31,135,4,0.07226832682619655,2.512067838422156,540
33,,III. OPERACIONES EN TRÁNSITO,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,2017-12-31,2018-01-31,2,4,-0.08976949922060165,2.4860388222844523,8
34,TOTAL,,Encaje Legal,Encaje Legal,TOTAL > Encaje Legal,2015-01-30,2026-05-31,135,4,1.126418248217698,2.3808224361961448,540
35,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),2017-12-31,2018-01-31,2,4,0.9184147998387928,2.2558221183442053,8
36,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo Mutuo Alternativo Extranjero - Límite,Fondo Mutuo Alternativo Extranjero - Límite,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo Mutuo Alternativo Extranjero - Límite,2019-01-31,2026-05-31,89,4,0.731518418810742,2.0458520244875955,356
37,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados Prov. Acc.,Certificados Prov. Acc.,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados Prov. Acc.,2022-03-31,2026-05-31,51,4,0.0,1.6252303937670762,204
38,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,2015-01-30,2026-05-31,135,4,0.0,1.5899698179726018,540
39,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos,Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos,2015-01-30,2026-05-31,135,4,0.0,1.484652820996765,540
40,,I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,2017-12-31,2018-01-31,2,4,0.19047202329557456,1.4795200760306166,8
41,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondo Mutuo Local,Fondo Mutuo Local,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondo Mutuo Local,2022-11-30,2026-05-31,43,4,0.0,1.268043665824656,172
42,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),2017-12-31,2018-01-31,2,4,0.7190499210067007,1.172080690051131,8
43,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Subordinados,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Subordinados,2017-12-31,2018-01-31,2,4,0.5654684483412844,1.1305771026888407,8
44,,TOTAL,,Encaje Legal,TOTAL > Encaje Legal,2017-12-31,2018-01-31,2,4,1.01753654512508,1.0925896765364205,8
45,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,2015-01-30,2018-12-31,46,4,0.4405474482739516,1.0898417009762371,184
46,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,2015-01-30,2026-05-31,135,4,0.0,1.0888048965966872,540
47,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos Hipotecarios,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos Hipotecarios,2017-12-31,2018-01-31,2,4,0.0,0.9700202629486936,8
48,,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,2017-12-31,2018-01-31,2,4,0.0,0.945908820279842,8
49,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,2017-12-31,2018-01-31,2,4,0.0,0.9401843455935964,8
50,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Fondos Mutuos,Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Fondos Mutuos,2018-12-31,2026-05-31,90,4,0.0,0.8187727906207481,360
51,,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,2017-12-31,2018-01-31,2,4,0.5035093304478085,0.7662990269230409,8
52,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,2015-01-30,2026-05-31,135,4,0.0,0.7483386017634864,540
53,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,2015-01-30,2026-05-31,135,4,0.0,0.6476888480631048,540
54,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos convertibles emitidos en el mercado local,Bonos convertibles emitidos en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos convertibles emitidos en el mercado local,2021-09-30,2026-05-31,57,4,0.0,0.4906878447464222,228
55,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Convertibles emitidos en el mercado local,Bonos Convertibles emitidos en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Convertibles emitidos en el mercado local,2021-08-31,2021-08-31,1,4,0.2332796604743283,0.4668911524814511,4
56,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización 3/,Bonos de Titulización 3/,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización 3/,2025-08-31,2026-05-31,10,4,0.0003505524100655,0.4393199068086254,40
57,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,2015-01-30,2026-05-31,135,4,0.0,0.3459026799250475,540
58,,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos,2017-12-31,2018-01-31,2,4,0.10922346628892546,0.3432829173708069,8
59,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos de inversión,Fondos de inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos de inversión,2021-01-31,2026-05-31,65,4,0.0,0.2169373850044203,260
60,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Papel Comercial TIT,Papel Comercial TIT,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Papel Comercial TIT,2020-12-31,2026-05-31,66,4,0.0,0.2145045295695595,264
61,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,2015-01-30,2026-05-31,135,4,0.0,0.2114443739370217,540
62,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,2017-12-31,2018-01-31,2,4,0.0,0.1817584162859027,8
63,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,2017-12-31,2018-01-31,2,4,0.01137340094134925,0.162034657233342,8
64,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,2017-12-31,2018-01-31,2,4,0.0,0.1294924250672007,8
65,,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,2017-12-31,2018-01-31,2,4,0.0,0.1080323145071304,8
