id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
103,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones de Capital por Privatización,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones de Capital por Privatización,2017-12-31,2018-01-31,2,4,0.0,0.0,8
104,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,2017-12-31,2018-01-31,2,4,0.0,0.0,8
105,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,2017-12-31,2018-01-31,2,4,0.0,0.0,8
106,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,2017-12-31,2018-01-31,2,4,0.0,0.0,8
107,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,2017-12-31,2018-01-31,2,4,0.0,0.0,8
108,,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Bonos de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Bonos de Fondos de Inversión,2017-12-31,2018-01-31,2,4,0.0,0.0,8
109,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda Emitidos por Organismo Internacional,2017-12-31,2018-01-31,2,4,0.0,0.0,8
110,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda de Agencias,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda de Agencias,2017-12-31,2018-01-31,2,4,0.0,0.0,8
111,,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,2017-12-31,2018-01-31,2,4,0.0,0.0,8
112,,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,2017-12-31,2018-01-31,2,4,0.0,0.0,8
