afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,seleccionado_validacion,ranking_mape_prueba
Habitat,DIARIO_RIDGE,diario_recursivo,prueba,"{""alpha"": 0.001}",593,0.008616737896332384,0.012561157155106842,0.19068293858790974,-0.0012488694789030978,0.01250947178312068,0.00015648688429269252,0.46958106810207084,72.00674536256324,593,0.8575698442226729,0.5700341016352417,2.0442773465649253,6.382049584379812,-0.11077568576822097,0.46958106810207084,72.00674536256324,False,9.0
Habitat,DIARIO_POLY_RIDGE,diario_recursivo,prueba,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.008586084846621567,0.012825964506350854,0.15620010874478563,-0.001302934708077908,0.012770385261081837,0.00016308273971645624,0.45511575951384,73.69308600337267,593,0.8545466492727076,0.5575404234697601,2.034395175398598,7.615447061720538,-0.1163793052930416,0.45511575951384,73.69308600337267,False,6.0
Habitat,DIARIO_SVR_RBF,diario_recursivo,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.009774003110593425,0.0137753824144972,0.02665517182513011,-0.0011124086725176879,0.013741985293972206,0.00018884215981974838,0.37366387247957616,70.15177065767286,593,0.9739433840057125,0.6877827368157563,2.314577462973304,6.206537598037998,-0.09655304057765783,0.37366387247957616,70.15177065767286,False,11.0
Habitat,DIARIO_GRADIENT_BOOSTING,diario_recursivo,prueba,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.008599935298179118,0.012739399253269628,0.16755165379796777,-0.0014506554336128634,0.01266722068185402,0.0001604584798027902,0.4381786608695539,70.65767284991568,593,0.8555161294008599,0.5532295764597461,2.0796632523808594,5.675398332796933,-0.12998364783904667,0.4381786608695539,70.65767284991568,False,7.0
Habitat,DIARIO_EXTRA_TREES,diario_recursivo,prueba,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5}",593,0.00833408316262725,0.012367394190994661,0.2154587113158528,-0.0009431302931829003,0.012341791093968501,0.00015231980740716022,0.4725853139219863,73.0185497470489,593,0.8294781965148943,0.5095368600604333,2.1290576325020605,5.666307043297902,-0.07951098341569986,0.4725853139219863,73.0185497470489,False,4.0
Habitat,DIRECTO_RIDGE,directo_acumulado,prueba,"{""alpha"": 100.0}",593,0.008416279087367438,0.01223352051621181,0.23235167457967631,-0.0006164299417414055,0.012228295011376244,0.00014953119888524915,0.4975432739670349,69.47723440134908,593,0.8383011589763744,0.5580881509418822,1.8856595470350925,6.164502118170134,-0.04800010223384775,0.4975432739670349,69.47723440134908,False,5.0
Habitat,DIRECTO_POLY_RIDGE,directo_acumulado,prueba,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.009407430422450062,0.019406521779197158,-0.9317672790360152,-0.0012423777446681848,0.01938306344710148,0.0003757031485943615,0.2193401868318626,70.65767284991568,593,0.935357700292729,0.5613333344951732,1.8163648468191744,24.804496510981842,-0.10969566990738694,0.2193401868318626,70.65767284991568,False,10.0
Habitat,DIRECTO_SVR_RBF,directo_acumulado,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.010142874221992233,0.013872097165502691,0.012939797608250814,-0.00019019786901350316,0.01388250347341325,0.00019272390268933098,0.37592097745391784,66.94772344013491,593,1.0108929944578369,0.72217962376524,2.41578963256087,5.360308986549301,-0.004888084320647099,0.37592097745391784,66.94772344013491,False,12.0
Habitat,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,prueba,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.008307956439406562,0.012101213390913287,0.24886631920775704,-0.0008924198579367731,0.012078450680039054,0.0001458889708301359,0.5050144159894253,70.15177065767286,593,0.8270684183670206,0.5575186612929106,1.9605937203622585,6.723769565529847,-0.0749947813020944,0.5050144159894253,70.15177065767286,False,3.0
Habitat,DIRECTO_EXTRA_TREES,directo_acumulado,prueba,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.008115677384606263,0.011598673769901625,0.3099571433148567,-0.00029475733048212255,0.011604716709303086,0.00013466944990317824,0.5577072009330415,71.16357504215851,593,0.808532208209951,0.558027597146693,1.8519947268907644,6.9145760419493385,-0.01575598414580143,0.5577072009330415,71.16357504215851,False,2.0
Integra,DIARIO_RIDGE,diario_recursivo,prueba,"{""alpha"": 0.001}",593,0.009227448917879586,0.012792897172897218,0.23200232561110679,0.0004795326106909999,0.01279469920758876,0.00016370432781267244,0.4832410377896489,64.2495784148398,593,0.9220461914199384,0.6445807156733263,2.133864258931169,7.148542132473978,0.06439345918420145,0.4832410377896489,64.2495784148398,True,7.0
Integra,DIARIO_POLY_RIDGE,diario_recursivo,prueba,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.009304823606827231,0.01290317055161554,0.21870514902380678,0.0006340456681366459,0.012898463220991353,0.0001663703534632666,0.4696747111422895,62.900505902192236,593,0.9299054578096214,0.6675599473106253,2.1897359388083864,7.045412206513357,0.07984911598618005,0.4696747111422895,62.900505902192236,False,9.0
Integra,DIARIO_SVR_RBF,diario_recursivo,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.009967267587298913,0.01366791531782466,0.12334917579821547,0.0013638533350868686,0.013611180397709931,0.0001852642318190031,0.38000044779850894,61.04553119730185,593,0.9973089609302053,0.7276194748846665,2.2429834586998525,7.164567312897296,0.15346818280362748,0.38000044779850894,61.04553119730185,False,10.0
Integra,DIARIO_GRADIENT_BOOSTING,diario_recursivo,prueba,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.009132701710969904,0.012766606714777326,0.235155679120715,9.483190843690798e-06,0.012777381247087138,0.00016326147153341406,0.5129756277299586,64.92411467116358,593,0.9121603183911888,0.6386800563676243,2.2513944495097613,6.786357992751757,0.018469548449311514,0.5129756277299586,64.92411467116358,False,5.0
Integra,DIARIO_EXTRA_TREES,diario_recursivo,prueba,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 20}",593,0.009241784464272826,0.012964223905532517,0.21129402128232877,0.0003437121560794868,0.012970607840677955,0.0001682366677566564,0.4722313168421079,64.08094435075886,593,0.9235065234553133,0.6385257921753595,2.264639873446928,7.012113231991468,0.05191804079153214,0.4722313168421079,64.08094435075886,False,8.0
Integra,DIRECTO_RIDGE,directo_acumulado,prueba,"{""alpha"": 100.0}",593,0.009003746096351793,0.012440302542202441,0.27375363558786314,0.0009304614968646184,0.012415930377443742,0.00015415532713753028,0.5270857415146859,67.95952782462057,593,0.89998551386439,0.6679404609248429,2.1072116074818585,6.874432585322254,0.10820531568762268,0.5270857415146859,67.95952782462057,False,3.0
Integra,DIRECTO_POLY_RIDGE,directo_acumulado,prueba,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.010351128265373427,0.018542028550806725,-0.6133796605931399,0.0010711327535853398,0.01852669193681686,0.00034323831412171485,0.2804683597367445,67.79089376053963,593,1.035198421582923,0.6508328459926993,2.178640143176574,18.493732169793397,0.12155768817083315,0.2804683597367445,67.79089376053963,False,11.0
Integra,DIRECTO_SVR_RBF,directo_acumulado,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.010823948319657445,0.015216068904907136,-0.08649321669223453,0.002765805517867279,0.014975221095716829,0.00022425724686560232,0.32591293186539233,60.70826306913997,593,1.0830651939499085,0.7725528637487988,2.522546199178035,8.107518626488819,0.292324826362767,0.32591293186539233,60.70826306913997,False,12.0
Integra,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,prueba,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.00906919678928291,0.012609133455142913,0.25390768034887223,0.00031747107248851486,0.012615777937309041,0.00015915785296349356,0.5075258381860894,65.7672849915683,593,0.9057354344115904,0.6463904352498773,2.1824089984536674,6.552339345999436,0.04807783720550653,0.5075258381860894,65.7672849915683,False,4.0
Integra,DIRECTO_EXTRA_TREES,directo_acumulado,prueba,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.008868882704350918,0.0122899457947525,0.2912027538689529,0.0007292134120807299,0.01227865045588184,0.0001507652570177273,0.5487615394310935,68.12816188870153,593,0.886145482529247,0.6156065417275647,2.083387719849213,6.718463192481616,0.08863778549915016,0.5487615394310935,68.12816188870153,False,1.0
Prima,DIARIO_RIDGE,diario_recursivo,prueba,"{""alpha"": 100.0}",593,0.009137221549629359,0.01330161600847664,0.26141603572783734,0.00030374220223893417,0.013309374386475292,0.00017713944655936456,0.5120067964793119,70.65767284991568,593,0.9147396196152372,0.5870260922797854,2.1535145574104284,6.649004708039796,0.0483639982164568,0.5120067964793119,70.65767284991568,True,6.0
Prima,DIARIO_POLY_RIDGE,diario_recursivo,prueba,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.009432754957233277,0.013607979650677005,0.2270020117082776,-0.00017641952266510147,0.013618323425583065,0.00018545873292378446,0.4881558083065799,68.97133220910624,593,0.9433998373748984,0.6597093962619871,2.0500294787879274,6.1997104020540705,-0.0004967203412151463,0.4881558083065799,68.97133220910624,False,9.0
Prima,DIARIO_SVR_RBF,diario_recursivo,prueba,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": 0.1}",593,0.009957466256651455,0.014163504541384205,0.16260085402895563,0.00031165813912074073,0.014172029691902335,0.0002008464255881614,0.4043027903139179,65.93591905564924,593,0.9974232036473512,0.6729975718245074,2.3234615963433503,7.546846735186041,0.051134412511693164,0.4043027903139179,65.93591905564924,False,10.0
Prima,DIARIO_GRADIENT_BOOSTING,diario_recursivo,prueba,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 250}",593,0.009183385974667885,0.01349101398671769,0.24023331470184006,-0.0003448452541878008,0.01349799186161109,0.00018219578429611922,0.49517561014436573,69.47723440134908,593,0.9186192523138246,0.60658764270074,2.2377693840004347,7.165394610436415,-0.015407296127792342,0.49517561014436573,69.47723440134908,False,7.0
Prima,DIARIO_EXTRA_TREES,diario_recursivo,prueba,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.009348451295858411,0.013671572800315038,0.2197603432544427,0.0001696362261279434,0.013682061516519746,0.00018719880734183062,0.48591418187108004,68.97133220910624,593,0.9358496148011248,0.6241783546985236,2.250737414594116,7.457953503024273,0.036877112230211985,0.48591418187108004,68.97133220910624,False,8.0
Prima,DIRECTO_RIDGE,directo_acumulado,prueba,"{""alpha"": 100.0}",593,0.009009733931511802,0.013062856130360971,0.2876927761175244,0.0007308928226161665,0.013053403533648613,0.00017039134381227012,0.5385971527394593,69.81450252951096,593,0.9024616107007369,0.5976181505116918,2.0065076011586247,6.481299558041043,0.09025467012520108,0.5385971527394593,69.81450252951096,False,5.0
Prima,DIRECTO_POLY_RIDGE,directo_acumulado,prueba,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.011187137355655855,0.02223685334697426,-1.0641332282083198,-0.00024991117208197943,0.022254220992360588,0.0004952503519768226,0.21388165143007454,68.46543001686341,593,1.1195976862177233,0.6396931054076682,2.3944513437593353,26.622310974457964,-0.007372252697783608,0.21388165143007454,68.46543001686341,False,12.0
