afp,fecha_inicio_train,fecha_fin_train,n_train,adf_estadistico,adf_pvalor,kpss_estadistico,kpss_pvalor,ljungbox_pvalor_lag5,ljungbox_pvalor_lag10,ljungbox_pvalor_lag20,arch_lm_estadistico,arch_lm_pvalor,media,desviacion,asimetria,curtosis_exceso,outliers_abs_z_mayor_3_pct
Habitat,2015-01-02,2021-11-12,1779,-11.998277875395276,3.3934501669188453e-22,0.07792308786739918,0.1,8.821741587353084e-36,7.464987972241288e-35,3.741915686282475e-32,278.5662277879651,5.224638192856537e-54,0.00035715627586133667,0.005147410079022743,-0.6499439385759948,5.696475616657921,1.3490725126475547
Integra,2015-01-02,2021-11-12,1779,-24.836102220045593,0.0,0.11974339363266609,0.1,1.0791328217049187e-23,2.270336400184847e-22,5.562501999928793e-20,325.19666916036806,7.235073439297386e-64,0.00030331438320193975,0.005072286976316671,-1.1116484163187004,8.979971785714097,1.2366498032602586
Prima,2015-01-02,2021-11-12,1779,-12.155703086593546,1.5338844179142691e-22,0.10379528866085817,0.1,7.600005182632735e-26,1.5871526966054313e-24,5.299093763017543e-22,434.83787873985443,3.574038744746673e-87,0.00026353656015662045,0.005087845802596775,-1.3563796702381696,11.788321148082549,1.0118043844856661
Profuturo,2015-01-02,2021-11-12,1779,-25.234972262726465,0.0,0.13789378732511717,0.1,3.143084613163255e-14,2.264488207313235e-13,2.072140611604979e-11,379.18166379139836,2.5235789904988703e-75,0.0003462022598249621,0.005269638230735396,-1.0826549460457158,8.263856938183542,1.2366498032602586
